rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
1.0,Aaron Rodgers,312.0,475.0,65.7,3922.0,8.3,28.0,11.0,31.0,64.0,356.0,4.0,1.0,15.0,304.4,20.3,97.4,QB,2010,team
2.0,Tom Brady,324.0,492.0,65.9,3900.0,7.9,36.0,4.0,25.0,31.0,30.0,1.0,1.0,16.0,299.0,18.7,99.1,QB,2010,team
3.0,Drew Brees,448.0,658.0,68.1,4620.0,7.0,33.0,22.0,25.0,18.0,-3.0,0.0,2.0,16.0,269.2,16.8,35.7,QB,2010,team
4.0,Matt Ryan,357.0,571.0,62.5,3705.0,6.5,28.0,9.0,23.0,46.0,122.0,0.0,3.0,16.0,248.4,15.5,36.3,QB,2010,team
5.0,Matt Schaub,365.0,574.0,63.6,4370.0,7.6,24.0,12.0,32.0,22.0,28.0,0.0,3.0,16.0,243.6,15.2,0.0,QB,2010,team
6.0,Joe Flacco,306.0,489.0,62.6,3622.0,7.4,25.0,10.0,40.0,43.0,84.0,1.0,4.0,16.0,231.2,14.5,0.3,QB,2010,team
7.0,Ben Roethlisberger,240.0,389.0,61.7,3200.0,8.2,17.0,5.0,32.0,34.0,176.0,2.0,3.0,12.0,209.6,17.5,23.8,QB,2010,team
8.0,Ryan Fitzpatrick,255.0,441.0,57.8,3000.0,6.8,23.0,15.0,24.0,40.0,269.0,0.0,5.0,13.0,198.8,15.3,6.1,QB,2010,team
9.0,Chad Henne,301.0,490.0,61.4,3301.0,6.7,15.0,19.0,30.0,35.0,52.0,0.0,2.0,15.0,155.2,10.3,0.1,QB,2010,team
10.0,Alex Smith,204.0,342.0,59.6,2370.0,6.9,14.0,10.0,25.0,18.0,60.0,0.0,2.0,11.0,132.8,12.1,5.0,QB,2010,team
11.0,Colt McCoy,135.0,222.0,60.8,1576.0,7.1,6.0,9.0,23.0,28.0,136.0,1.0,0.0,8.0,90.0,11.3,0.4,QB,2010,team
12.0,Drew Stanton,69.0,119.0,58.0,780.0,6.6,4.0,3.0,6.0,18.0,113.0,1.0,1.0,6.0,56.5,9.4,0.0,QB,2010,team
13.0,Matthew Stafford,57.0,96.0,59.4,535.0,5.6,6.0,1.0,4.0,4.0,11.0,1.0,1.0,3.0,48.5,16.2,97.2,QB,2010,team
15.0,Matt Moore,79.0,143.0,55.2,857.0,6.0,5.0,10.0,13.0,5.0,25.0,0.0,2.0,6.0,32.8,5.5,0.0,QB,2010,team
16.0,Josh Johnson,14.0,16.0,87.5,111.0,6.9,0.0,0.0,2.0,4.0,39.0,0.0,0.0,11.0,8.4,0.8,1.1,QB,2010,team
