rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,Joe Mixon,29.0,127.0,4.4,19.0,0.0,1.0,4.0,4.0,23.0,5.8,0.0,0.0,1.0,21.0,21.0,98.1,RB,1,2021,CIN
2.0,Nick Chubb,15.0,83.0,5.5,18.0,0.0,2.0,2.0,2.0,18.0,9.0,0.0,1.0,1.0,20.1,20.1,99.8,RB,1,2021,CLE
3.0,Christian McCaffrey,21.0,98.0,4.7,18.0,0.0,0.0,9.0,9.0,89.0,9.9,0.0,0.0,1.0,18.7,18.7,47.2,RB,1,2021,CAR
4.0,David Montgomery,16.0,108.0,6.8,41.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,17.8,17.8,98.7,RB,1,2021,CHI
5.0,Melvin Gordon III,11.0,101.0,9.2,70.0,0.0,1.0,3.0,3.0,17.0,5.7,0.0,0.0,1.0,17.8,17.8,87.8,RB,1,2021,DEN
6.0,Jamaal Williams,9.0,54.0,6.0,20.0,0.0,1.0,8.0,9.0,56.0,7.0,0.0,0.0,1.0,17.0,17.0,58.2,RB,1,2021,DET
7.0,D'Andre Swift,11.0,39.0,3.5,16.0,0.0,0.0,8.0,11.0,65.0,8.1,1.0,0.0,1.0,16.4,16.4,97.2,RB,1,2021,DET
8.0,Elijah Mitchell,19.0,104.0,5.5,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.4,16.4,88.5,RB,1,2021,SF
9.0,Josh Jacobs,10.0,34.0,3.4,15.0,0.0,2.0,1.0,2.0,6.0,6.0,0.0,0.0,1.0,16.0,16.0,98.0,RB,1,2021,LV
10.0,Ty'Son Williams,9.0,65.0,7.2,35.0,0.0,1.0,3.0,4.0,29.0,9.7,0.0,0.0,1.0,15.4,15.4,5.2,RB,1,2021,BAL
11.0,Alvin Kamara,20.0,83.0,4.2,14.0,0.0,0.0,3.0,4.0,8.0,2.7,1.0,0.0,1.0,15.1,15.1,100.0,RB,1,2021,NO
12.0,Darrell Henderson Jr.,16.0,70.0,4.4,15.0,0.0,1.0,1.0,1.0,17.0,17.0,0.0,0.0,1.0,14.7,14.7,76.0,RB,1,2021,LAR
13.0,Mark Ingram II,26.0,85.0,3.3,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.5,14.5,39.1,RB,1,2021,HOU
14.0,Dalvin Cook,20.0,61.0,3.1,17.0,0.0,1.0,6.0,7.0,43.0,7.2,0.0,1.0,1.0,14.4,14.4,100.0,RB,1,2021,MIN
15.0,Kareem Hunt,6.0,33.0,5.5,15.0,0.0,1.0,3.0,3.0,28.0,9.3,0.0,0.0,1.0,14.1,14.1,82.1,RB,1,2021,CLE
16.0,Miles Sanders,15.0,74.0,4.9,23.0,0.0,0.0,4.0,5.0,39.0,9.8,0.0,0.0,1.0,13.3,13.3,77.0,RB,1,2021,PHI
17.0,Austin Ekeler,15.0,57.0,3.8,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.7,11.7,99.9,RB,1,2021,LAC
18.0,Jonathan Taylor,17.0,56.0,3.3,12.0,0.0,0.0,6.0,7.0,60.0,10.0,0.0,0.0,1.0,11.6,11.6,100.0,RB,1,2021,IND
19.0,Chase Edmonds,12.0,63.0,5.3,16.0,0.0,0.0,4.0,4.0,43.0,10.8,0.0,0.0,1.0,10.6,10.6,85.1,RB,1,2021,ARI
20.0,Kenneth Gainwell,9.0,37.0,4.1,8.0,0.0,1.0,2.0,3.0,6.0,3.0,0.0,0.0,1.0,10.3,10.3,12.8,RB,1,2021,PHI
21.0,Damien Harris,23.0,100.0,4.3,35.0,0.0,0.0,2.0,3.0,17.0,8.5,0.0,1.0,1.0,9.7,9.7,89.8,RB,1,2021,NE
22.0,Chris Carson,16.0,91.0,5.7,33.0,0.0,0.0,3.0,3.0,26.0,8.7,0.0,1.0,1.0,9.7,9.7,31.7,RB,1,2021,SEA
23.0,David Johnson,3.0,10.0,3.3,5.0,0.0,0.0,3.0,4.0,18.0,6.0,1.0,0.0,1.0,8.8,8.8,35.4,RB,1,2021,HOU
24.0,Antonio Gibson,20.0,90.0,4.5,27.0,0.0,0.0,3.0,5.0,18.0,6.0,0.0,1.0,1.0,8.8,8.8,95.9,RB,1,2021,WAS
25.0,Latavius Murray,10.0,28.0,2.8,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.8,8.8,22.2,RB,1,2021,BAL
26.0,Phillip Lindsay,8.0,25.0,3.1,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.5,8.5,9.0,RB,1,2021,HOU
27.0,Nyheim Hines,9.0,34.0,3.8,8.0,0.0,0.0,6.0,8.0,48.0,8.0,0.0,0.0,1.0,8.2,8.2,44.8,RB,1,2021,IND
28.0,Devin Singletary,11.0,72.0,6.5,25.0,0.0,0.0,3.0,5.0,8.0,2.7,0.0,0.0,1.0,8.0,8.0,89.1,RB,1,2021,BUF
29.0,JaMycal Hasty,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,15.0,15.0,0.0,0.0,1.0,7.8,7.8,4.2,RB,1,2021,SF
30.0,Derrick Henry,17.0,58.0,3.4,19.0,0.0,0.0,3.0,4.0,19.0,6.3,0.0,0.0,1.0,7.7,7.7,78.0,RB,1,2021,TEN
31.0,Myles Gaskin,9.0,49.0,5.4,15.0,0.0,0.0,5.0,5.0,27.0,5.4,0.0,0.0,1.0,7.6,7.6,83.2,RB,1,2021,MIA
32.0,Mike Davis,15.0,49.0,3.3,12.0,0.0,0.0,3.0,6.0,23.0,7.7,0.0,0.0,1.0,7.2,7.2,49.7,RB,1,2021,ATL
33.0,Clyde Edwards-Helaire,14.0,43.0,3.1,9.0,0.0,0.0,3.0,3.0,29.0,9.7,0.0,0.0,1.0,7.2,7.2,86.8,RB,1,2021,KC
34.0,Kenyan Drake,6.0,11.0,1.8,6.0,0.0,0.0,5.0,5.0,59.0,11.8,0.0,0.0,1.0,7.0,7.0,29.4,RB,1,2021,LV
35.0,Cordarrelle Patterson,7.0,54.0,7.7,14.0,0.0,0.0,2.0,2.0,13.0,6.5,0.0,0.0,1.0,6.7,6.7,95.1,RB,1,2021,ATL
36.0,James White,4.0,12.0,3.0,10.0,0.0,0.0,6.0,7.0,49.0,8.2,0.0,0.0,1.0,6.1,6.1,7.9,RB,1,2021,NE
37.0,Leonard Fournette,9.0,32.0,3.6,7.0,0.0,0.0,5.0,7.0,27.0,5.4,0.0,0.0,1.0,5.9,5.9,74.8,RB,1,2021,TB
