rank,player,rushing_att,rushing_yds,rushing_ya,rushing_lg,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Dalvin Cook,27,205,7.6,30,0,2,1,3,17,17.0,0,0,1,34.2,34.2,100.0,MIN,14,RB
2,Rashaad Penny,16,137,8.6,47,0,2,1,1,1,1.0,0,0,1,25.8,25.8,78.9,SEA,14,RB
3,James Conner,13,31,2.4,13,0,2,9,9,94,10.4,0,0,1,24.5,24.5,94.6,ARI,14,RB
4,Melvin Gordon III,24,111,4.6,16,0,2,0,0,0,0.0,0,0,1,23.1,23.1,87.8,DEN,14,RB
5,Najee Harris,20,94,4.7,23,0,1,3,3,10,3.3,1,0,1,22.4,22.4,99.9,PIT,14,RB
6,Alvin Kamara,27,120,4.4,16,0,1,4,5,25,6.3,0,0,1,20.5,20.5,100.0,NO,14,RB
7,Javonte Williams,15,73,4.9,9,0,1,1,2,10,10.0,1,0,1,20.3,20.3,92.7,DEN,14,RB
8,Leonard Fournette,19,113,5.9,47,0,1,4,7,19,4.8,0,0,1,19.2,19.2,74.8,TB,14,RB
9,Aaron Jones,5,35,7.0,15,0,1,3,3,30,10.0,1,0,1,18.5,18.5,98.9,GB,14,RB
10,Clyde Edwards-Helaire,10,37,3.7,7,0,2,3,3,5,1.7,0,0,1,16.2,16.2,86.8,KC,14,RB
11,Saquon Barkley,16,64,4.0,13,0,0,3,3,31,10.3,1,0,1,15.5,15.5,97.6,NYG,14,RB
12,Derrick Gore,9,66,7.3,51,0,1,2,2,23,11.5,0,0,1,14.9,14.9,4.0,KC,14,RB
13,Austin Ekeler,12,67,5.6,17,0,1,2,4,17,8.5,0,0,1,14.4,14.4,99.9,LAC,14,RB
14,D'Onta Foreman,13,47,3.6,8,0,1,2,2,15,7.5,0,0,1,12.2,12.2,66.5,TEN,14,RB
15,Cordarrelle Patterson,16,58,3.6,11,0,1,2,5,1,0.5,0,0,1,11.9,11.9,95.1,ATL,14,RB
16,Craig Reynolds,11,83,7.5,35,0,0,2,2,16,8.0,0,0,1,9.9,9.9,12.7,DET,14,RB
17,Darrel Williams,2,8,4.0,7,0,0,3,3,31,10.3,1,0,1,9.9,9.9,79.6,KC,14,RB
18,Jonathan Williams,4,16,4.0,7,0,1,1,1,19,19.0,0,0,1,9.5,9.5,0.6,WAS,14,RB
19,Chuba Hubbard,10,33,3.3,17,0,1,0,0,0,0.0,0,0,1,9.3,9.3,58.1,CAR,14,RB
20,Elijhaa Penny,1,8,8.0,8,0,0,1,1,3,3.0,1,0,1,9.1,9.1,0.1,NYG,14,RB
