,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Austin Ekeler(LAC),12,58,4.8,19,0,1,6,7,96,16.0,2,0,1,33.4,33.4,99.9%
1,2,Christian McCaffrey(CAR),19,128,6.7,23,1,2,10,11,81,8.1,0,0,1,32.9,32.9,47.2%
2,3,Derrick Henry(TEN),19,84,4.4,18,0,1,1,2,75,75.0,1,0,1,27.9,27.9,78.0%
3,4,Marlon Mack(IND),25,174,7.0,63,2,1,0,0,0,0,0,0,1,25.4,25.4,1.6%
4,5,Dalvin Cook(MIN),21,111,5.3,22,2,2,2,2,9,4.5,0,0,1,24.0,24.0,100.0%
5,6,Josh Jacobs(LV),23,85,3.7,13,0,2,1,1,28,28.0,0,0,1,23.3,23.3,98.0%
6,7,Mark Ingram II(NO),14,107,7.6,49,1,2,0,0,0,0,0,0,1,22.7,22.7,39.1%
7,8,David Johnson(HOU),18,82,4.6,18,0,0,6,7,55,9.2,1,0,1,19.7,19.7,35.4%
8,9,Chris Carson(SEA),15,46,3.1,21,1,1,6,7,34,5.7,1,1,1,18.0,18.0,31.7%
9,10,Malcolm Brown(MIA),11,53,4.8,17,0,2,0,0,0,0,0,0,1,17.3,17.3,3.6%
10,11,Le'Veon Bell(FA),17,60,3.5,12,0,0,6,9,32,5.3,1,0,1,17.2,17.2,5.4%
11,12,Alvin Kamara(NO),13,97,7.5,28,2,0,7,8,72,10.3,0,0,1,16.9,16.9,100.0%
12,13,Saquon Barkley(NYG),11,120,10.9,59,1,0,4,6,19,4.8,0,0,1,13.9,13.9,97.6%
13,14,Damien Williams(CHI),13,26,2.0,6,0,1,6,6,39,6.5,0,0,1,12.5,12.5,4.4%
14,15,Ezekiel Elliott(DAL),13,53,4.1,10,0,1,1,2,10,10.0,0,0,1,12.3,12.3,99.7%
15,16,Latavius Murray(BAL),6,43,7.2,30,1,1,2,3,4,2.0,0,0,1,10.7,10.7,22.2%
16,17,Todd Gurley II(FA),14,97,6.9,25,1,0,1,1,4,4.0,0,0,1,10.1,10.1,0.4%
17,18,Wayne Gallman Jr.(MIN),2,17,8.5,15,0,1,3,3,24,8.0,0,0,1,10.1,10.1,1.0%
18,19,Devin Singletary(BUF),4,70,17.5,23,2,0,5,6,28,5.6,0,0,1,9.8,9.8,89.1%
19,20,LeSean McCoy(FA),10,81,8.1,31,1,0,1,1,12,12.0,0,0,1,9.3,9.3,2.0%
20,21,Ronald Jones II(TB),13,75,5.8,16,0,0,1,1,18,18.0,0,0,1,9.3,9.3,83.5%
21,22,Duke Johnson Jr.(MIA),9,57,6.3,32,1,0,4,5,33,8.3,0,0,1,9.0,9.0,7.4%
22,23,Rex Burkhead(HOU),8,44,5.5,11,0,0,5,8,41,8.2,0,0,1,8.5,8.5,31.5%
23,24,Carlos Hyde(JAC),10,83,8.3,20,1,0,1,1,2,2.0,0,0,1,8.5,8.5,6.9%
24,25,Nick Chubb(CLE),17,75,4.4,15,0,0,3,4,10,3.3,0,0,1,8.5,8.5,99.8%
25,26,Darren Sproles(FA),9,47,5.2,17,0,0,3,3,16,5.3,0,0,1,8.3,8.3,0.1%
26,27,James White(NE),4,26,6.5,9,0,0,5,7,56,11.2,0,0,1,8.2,8.2,7.9%
27,28,Dontrell Hilliard(TEN),1,4,4.0,4,0,1,1,2,14,14.0,0,0,1,7.8,7.8,27.5%
28,29,Chris Thompson(FA),3,10,3.3,7,0,0,7,10,68,9.7,0,0,1,7.8,7.8,0.0%
29,30,Leonard Fournette(TB),13,66,5.1,14,0,0,4,6,28,7.0,0,1,1,7.4,7.4,74.8%
30,31,Phillip Lindsay(MIA),11,43,3.9,9,0,0,4,6,23,5.8,0,0,1,6.6,6.6,9.0%
