rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,Dalvin Cook,20.0,154.0,7.7,75.0,1.0,1.0,3.0,3.0,37.0,12.3,0.0,0.0,1.0,25.1,25.1,100.0,RB,2,2019,MIN
2.0,Raheem Mostert,13.0,83.0,6.4,20.0,1.0,0.0,3.0,4.0,68.0,22.7,1.0,0.0,1.0,21.1,21.1,13.0,RB,2,2019,SF
3.0,Aaron Jones,23.0,116.0,5.0,15.0,0.0,1.0,4.0,6.0,34.0,8.5,0.0,0.0,1.0,21.0,21.0,98.9,RB,2,2019,GB
4.0,Saquon Barkley,18.0,107.0,5.9,27.0,1.0,1.0,3.0,7.0,28.0,9.3,0.0,0.0,1.0,19.5,19.5,97.6,RB,2,2019,NYG
5.0,Ezekiel Elliott,23.0,111.0,4.8,27.0,1.0,1.0,2.0,2.0,9.0,4.5,0.0,0.0,1.0,18.0,18.0,99.7,RB,2,2019,DAL
6.0,Austin Ekeler,17.0,66.0,3.9,12.0,0.0,1.0,6.0,6.0,67.0,11.2,0.0,1.0,1.0,17.3,17.3,99.9,RB,2,2019,LAC
7.0,Nick Chubb,18.0,62.0,3.4,19.0,0.0,1.0,4.0,4.0,36.0,9.0,0.0,0.0,1.0,15.8,15.8,99.8,RB,2,2019,CLE
9.0,Derrick Henry,15.0,82.0,5.5,18.0,0.0,1.0,2.0,3.0,12.0,6.0,0.0,0.0,1.0,15.4,15.4,78.0,RB,2,2019,TEN
10.0,Peyton Barber,23.0,82.0,3.6,16.0,0.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,14.9,14.9,1.2,RB,2,2019,TB
11.0,Kerryon Johnson,12.0,41.0,3.4,9.0,0.0,0.0,2.0,3.0,47.0,23.5,1.0,0.0,1.0,14.8,14.8,0.1,RB,2,2019,DET
12.0,Frank Gore,19.0,68.0,3.6,9.0,0.0,1.0,2.0,2.0,15.0,7.5,0.0,0.0,1.0,14.3,14.3,12.2,RB,2,2019,BUF
13.0,Matt Breida,12.0,121.0,10.1,34.0,1.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,1.0,13.2,13.2,8.2,RB,2,2019,SF
14.0,David Montgomery,18.0,62.0,3.4,12.0,0.0,1.0,1.0,3.0,6.0,6.0,0.0,0.0,1.0,12.8,12.8,98.7,RB,2,2019,CHI
16.0,Rashaad Penny,10.0,62.0,6.2,37.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,12.5,12.5,78.9,RB,2,2019,SEA
17.0,Sony Michel,21.0,83.0,4.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.3,12.3,89.4,RB,2,2019,NE
18.0,Devin Singletary,6.0,57.0,9.5,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.7,11.7,89.1,RB,2,2019,BUF
19.0,Le'Veon Bell,21.0,68.0,3.2,8.0,0.0,0.0,10.0,10.0,61.0,6.1,0.0,1.0,1.0,10.9,10.9,5.4,RB,2,2019,NYJ
20.0,James Conner,11.0,33.0,3.0,14.0,0.0,1.0,3.0,4.0,12.0,4.0,0.0,0.0,1.0,10.5,10.5,94.6,RB,2,2019,PIT
21.0,Royce Freeman,11.0,54.0,4.9,14.0,0.0,0.0,5.0,7.0,48.0,9.6,0.0,0.0,1.0,10.2,10.2,5.2,RB,2,2019,DEN
22.0,Jamaal Williams,9.0,28.0,3.1,10.0,0.0,0.0,3.0,4.0,13.0,4.3,1.0,0.0,1.0,10.1,10.1,58.2,RB,2,2019,GB
23.0,Josh Jacobs,12.0,99.0,8.3,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.9,9.9,98.0,RB,2,2019,LV
24.0,Adrian Peterson,10.0,25.0,2.5,10.0,0.0,1.0,2.0,2.0,7.0,3.5,0.0,0.0,1.0,9.2,9.2,4.9,RB,2,2019,WAS
