rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Dalvin Cook,20.0,154.0,7.7,75.0,1.0,1.0,3.0,3.0,37.0,12.3,0.0,0.0,1.0,25.1,25.1,100.0,MIN,RB,2,2019
2.0,Raheem Mostert,13.0,83.0,6.4,20.0,1.0,0.0,3.0,4.0,68.0,22.7,1.0,0.0,1.0,21.1,21.1,13.0,SF,RB,2,2019
3.0,Aaron Jones,23.0,116.0,5.0,15.0,0.0,1.0,4.0,6.0,34.0,8.5,0.0,0.0,1.0,21.0,21.0,98.9,GB,RB,2,2019
4.0,Saquon Barkley,18.0,107.0,5.9,27.0,1.0,1.0,3.0,7.0,28.0,9.3,0.0,0.0,1.0,19.5,19.5,97.6,NYG,RB,2,2019
5.0,Ezekiel Elliott,23.0,111.0,4.8,27.0,1.0,1.0,2.0,2.0,9.0,4.5,0.0,0.0,1.0,18.0,18.0,99.7,DAL,RB,2,2019
6.0,Austin Ekeler,17.0,66.0,3.9,12.0,0.0,1.0,6.0,6.0,67.0,11.2,0.0,1.0,1.0,17.3,17.3,99.9,LAC,RB,2,2019
7.0,Nick Chubb,18.0,62.0,3.4,19.0,0.0,1.0,4.0,4.0,36.0,9.0,0.0,0.0,1.0,15.8,15.8,99.8,CLE,RB,2,2019
9.0,Derrick Henry,15.0,82.0,5.5,18.0,0.0,1.0,2.0,3.0,12.0,6.0,0.0,0.0,1.0,15.4,15.4,78.0,TEN,RB,2,2019
10.0,Peyton Barber,23.0,82.0,3.6,16.0,0.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,14.9,14.9,1.2,TB,RB,2,2019
11.0,Kerryon Johnson,12.0,41.0,3.4,9.0,0.0,0.0,2.0,3.0,47.0,23.5,1.0,0.0,1.0,14.8,14.8,0.1,DET,RB,2,2019
12.0,Frank Gore,19.0,68.0,3.6,9.0,0.0,1.0,2.0,2.0,15.0,7.5,0.0,0.0,1.0,14.3,14.3,12.2,BUF,RB,2,2019
13.0,Matt Breida,12.0,121.0,10.1,34.0,1.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,1.0,13.2,13.2,8.2,SF,RB,2,2019
14.0,David Montgomery,18.0,62.0,3.4,12.0,0.0,1.0,1.0,3.0,6.0,6.0,0.0,0.0,1.0,12.8,12.8,98.7,CHI,RB,2,2019
16.0,Rashaad Penny,10.0,62.0,6.2,37.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,12.5,12.5,78.9,SEA,RB,2,2019
17.0,Sony Michel,21.0,83.0,4.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.3,12.3,89.4,NE,RB,2,2019
18.0,Devin Singletary,6.0,57.0,9.5,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.7,11.7,89.1,BUF,RB,2,2019
19.0,Le'Veon Bell,21.0,68.0,3.2,8.0,0.0,0.0,10.0,10.0,61.0,6.1,0.0,1.0,1.0,10.9,10.9,5.4,NYJ,RB,2,2019
20.0,James Conner,11.0,33.0,3.0,14.0,0.0,1.0,3.0,4.0,12.0,4.0,0.0,0.0,1.0,10.5,10.5,94.6,PIT,RB,2,2019
21.0,Royce Freeman,11.0,54.0,4.9,14.0,0.0,0.0,5.0,7.0,48.0,9.6,0.0,0.0,1.0,10.2,10.2,5.2,DEN,RB,2,2019
22.0,Jamaal Williams,9.0,28.0,3.1,10.0,0.0,0.0,3.0,4.0,13.0,4.3,1.0,0.0,1.0,10.1,10.1,58.2,GB,RB,2,2019
23.0,Josh Jacobs,12.0,99.0,8.3,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.9,9.9,98.0,OAK,RB,2,2019
24.0,Adrian Peterson,10.0,25.0,2.5,10.0,0.0,1.0,2.0,2.0,7.0,3.5,0.0,0.0,1.0,9.2,9.2,4.9,WAS,RB,2,2019
25.0,Carlos Hyde,20.0,90.0,4.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,6.9,HOU,RB,2,2019
26.0,James White,3.0,10.0,3.3,5.0,0.0,0.0,3.0,4.0,19.0,6.3,1.0,0.0,1.0,8.9,8.9,7.9,NE,RB,2,2019
27.0,Leonard Fournette,15.0,47.0,3.1,14.0,0.0,0.0,4.0,6.0,40.0,10.0,0.0,0.0,1.0,8.7,8.7,74.8,JAC,RB,2,2019
28.0,Jordan Wilkins,5.0,82.0,16.4,55.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,8.6,8.6,0.0,IND,RB,2,2019
30.0,David Johnson,7.0,14.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.4,7.4,35.4,ARI,RB,2,2019
31.0,Rex Burkhead,5.0,21.0,4.2,12.0,0.0,0.0,2.0,2.0,47.0,23.5,0.0,0.0,1.0,6.8,6.8,31.5,NE,RB,2,2019
32.0,Chris Carson,15.0,60.0,4.0,21.0,1.0,0.0,3.0,3.0,27.0,9.0,0.0,1.0,1.0,6.7,6.7,31.7,SEA,RB,2,2019
33.0,Phillip Lindsay,13.0,36.0,2.8,9.0,0.0,0.0,4.0,7.0,30.0,7.5,0.0,0.0,1.0,6.6,6.6,9.0,DEN,RB,2,2019
34.0,Devonta Freeman,11.0,22.0,2.0,9.0,0.0,0.0,3.0,4.0,42.0,14.0,0.0,0.0,1.0,6.4,6.4,74.2,ATL,RB,2,2019
35.0,Justin Jackson,7.0,59.0,8.4,40.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,6.4,6.4,42.5,LAC,RB,2,2019
36.0,Marlon Mack,20.0,51.0,2.6,10.0,0.0,0.0,2.0,3.0,12.0,6.0,0.0,0.0,1.0,6.3,6.3,1.6,IND,RB,2,2019
37.0,Alvin Kamara,13.0,45.0,3.5,12.0,0.0,0.0,1.0,3.0,15.0,15.0,0.0,0.0,1.0,6.0,6.0,100.0,NO,RB,2,2019
38.0,Damien Williams,9.0,8.0,0.9,5.0,0.0,0.0,3.0,5.0,48.0,16.0,0.0,0.0,1.0,5.6,5.6,4.4,KC,RB,2,2019
39.0,Christian McCaffrey,16.0,37.0,2.3,10.0,0.0,0.0,2.0,6.0,16.0,8.0,0.0,0.0,1.0,5.3,5.3,47.2,CAR,RB,2,2019
40.0,Chris Thompson,2.0,3.0,1.5,2.0,0.0,0.0,5.0,8.0,48.0,9.6,0.0,0.0,1.0,5.1,5.1,0.0,WAS,RB,2,2019
41.0,D'Ernest Johnson,3.0,8.0,2.7,6.0,0.0,0.0,3.0,4.0,42.0,14.0,0.0,0.0,1.0,5.0,5.0,18.7,CLE,RB,2,2019
42.0,Kenyan Drake,6.0,19.0,3.2,9.0,0.0,0.0,5.0,6.0,29.0,5.8,0.0,0.0,1.0,4.8,4.8,29.4,CIN,RB,2,2019
43.0,Malcolm Brown,6.0,37.0,6.2,13.0,0.0,0.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,4.7,4.7,3.6,LAR,RB,2,2019
