rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Cam Newton,21.0,34.0,61.8,246.0,7.2,5.0,0.0,2.0,4.0,16.0,0.0,0.0,1.0,31.4,31.4,20.3,CAR,QB,11,2015
2.0,Jameis Winston,19.0,29.0,65.5,246.0,8.5,5.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,29.8,29.8,5.2,TB,QB,11,2015
3.0,Russell Wilson,24.0,29.0,82.8,260.0,9.0,3.0,0.0,2.0,9.0,30.0,0.0,0.0,1.0,25.4,25.4,90.4,SEA,QB,11,2015
4.0,Carson Palmer,20.0,31.0,64.5,317.0,10.2,4.0,2.0,2.0,1.0,-1.0,0.0,0.0,1.0,24.6,24.6,5.6,ARI,QB,11,2015
5.0,Andy Dalton,22.0,39.0,56.4,315.0,8.1,2.0,0.0,4.0,8.0,34.0,0.0,1.0,1.0,22.0,22.0,1.6,CIN,QB,11,2015
6.0,Matthew Stafford,22.0,35.0,62.9,282.0,8.1,0.0,0.0,4.0,6.0,31.0,1.0,0.0,1.0,20.4,20.4,97.2,DET,QB,11,2015
7.0,Teddy Bridgewater,25.0,37.0,67.6,296.0,8.0,1.0,0.0,6.0,4.0,43.0,0.0,0.0,1.0,20.1,20.1,15.6,MIN,QB,11,2015
8.0,Aaron Rodgers,16.0,34.0,47.1,212.0,6.2,2.0,0.0,2.0,3.0,6.0,0.0,0.0,1.0,19.1,19.1,97.4,GB,QB,11,2015
9.0,Brock Osweiler,20.0,27.0,74.1,250.0,9.3,2.0,0.0,5.0,2.0,4.0,0.0,0.0,1.0,18.4,18.4,0.0,DEN,QB,11,2015
10.0,Marcus Mariota,22.0,35.0,62.9,231.0,6.6,0.0,0.0,4.0,5.0,29.0,1.0,0.0,1.0,18.1,18.1,0.2,TEN,QB,11,2015
11.0,Matt Ryan,25.0,46.0,54.3,280.0,6.1,3.0,3.0,1.0,2.0,7.0,0.0,0.0,1.0,17.9,17.9,36.3,ATL,QB,11,2015
12.0,Blaine Gabbert,22.0,34.0,64.7,264.0,7.8,1.0,0.0,2.0,4.0,22.0,0.0,0.0,1.0,16.8,16.8,0.1,SF,QB,11,2015
13.0,Ryan Fitzpatrick,19.0,39.0,48.7,216.0,5.5,1.0,2.0,3.0,5.0,12.0,1.0,0.0,1.0,15.8,15.8,6.1,NYJ,QB,11,2015
14.0,Ryan Tannehill,13.0,24.0,54.2,188.0,7.8,2.0,1.0,3.0,3.0,13.0,0.0,0.0,1.0,14.8,14.8,62.7,MIA,QB,11,2015
15.0,T.J. Yates,16.0,34.0,47.1,229.0,6.7,2.0,0.0,1.0,3.0,-5.0,0.0,1.0,1.0,14.7,14.7,0.0,HOU,QB,11,2015
16.0,Mark Sanchez,26.0,41.0,63.4,261.0,6.4,2.0,3.0,3.0,2.0,14.0,0.0,0.0,1.0,13.8,13.8,0.1,PHI,QB,11,2015
17.0,Alex Smith,20.0,25.0,80.0,253.0,10.1,0.0,0.0,3.0,7.0,33.0,0.0,0.0,1.0,13.4,13.4,5.0,KC,QB,11,2015
18.0,Matt Hasselbeck,23.0,32.0,71.9,213.0,6.7,2.0,2.0,2.0,3.0,8.0,0.0,0.0,1.0,13.3,13.3,0.0,IND,QB,11,2015
19.0,Tony Romo,18.0,28.0,64.3,227.0,8.1,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,13.3,13.3,0.1,DAL,QB,11,2015
20.0,Tom Brady,20.0,39.0,51.3,277.0,7.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.1,13.1,99.1,NE,QB,11,2015
21.0,Joe Flacco,27.0,44.0,61.4,299.0,6.8,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.3,BAL,QB,11,2015
