rank,player,passing_cmp,passing_att,passing_pct,passing_yds,passing_ya,passing_td,passing_int,passing_sacks,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Marcus Mariota,19,26,73.1,295,11.3,4,0,1,5,0,0,0,1,28.6,28.6,0.2,LV,QB,10,2016
2,Ben Roethlisberger,37,46,80.4,408,8.9,3,0,1,1,1,0,0,1,28.4,28.4,23.8,FA,QB,10,2016
3,Aaron Rodgers,31,51,60.8,371,7.3,2,2,5,3,27,1,0,1,27.5,27.5,97.4,GB,QB,10,2016
4,Russell Wilson,25,37,67.6,348,9.4,3,0,3,3,6,0,0,1,26.5,26.5,90.4,SEA,QB,10,2016
5,Colin Kaepernick,17,30,56.7,210,7.0,1,0,3,10,55,1,0,1,23.9,23.9,0.3,FA,QB,10,2016
6,Cam Newton,23,38,60.5,261,6.9,1,1,2,12,54,1,0,1,23.8,23.8,20.3,CAR,QB,10,2016
7,Joe Flacco,30,41,73.2,296,7.2,3,2,2,1,3,0,0,1,22.1,22.1,0.3,NYJ,QB,10,2016
8,Drew Brees,21,29,72.4,303,10.4,3,2,1,2,9,0,0,1,21.0,21.0,35.7,FA,QB,10,2016
9,Ryan Tannehill,17,24,70.8,240,10.0,2,0,1,3,16,0,0,1,19.2,19.2,62.7,TEN,QB,10,2016
10,Dak Prescott,22,32,68.8,319,10.0,2,0,2,0,0,0,1,1,18.8,18.8,98.2,DAL,QB,10,2016
11,Jameis Winston,23,33,69.7,312,9.5,2,1,4,0,0,0,0,1,18.5,18.5,5.2,NO,QB,10,2016
12,Kirk Cousins,22,33,66.7,262,7.9,2,0,1,1,-1,0,0,1,18.4,18.4,70.7,MIN,QB,10,2016
13,Sam Bradford,31,40,77.5,307,7.7,2,1,3,0,0,0,0,1,18.3,18.3,0.0,FA,QB,10,2016
14,Eli Manning,28,44,63.6,240,5.5,3,2,1,3,4,0,0,1,18.0,18.0,2.3,FA,QB,10,2016
15,Blake Bortles,32,49,65.3,265,5.4,2,1,2,3,11,0,1,1,17.7,17.7,0.1,NO,QB,10,2016
16,Philip Rivers,23,44,52.3,326,7.4,3,4,3,0,0,0,0,1,17.0,17.0,20.6,FA,QB,10,2016
17,Trevor Siemian,25,40,62.5,258,6.5,2,2,6,6,5,0,0,1,14.8,14.8,1.1,NO,QB,10,2016
18,Carson Palmer,30,49,61.2,376,7.7,1,2,2,1,16,0,1,1,14.6,14.6,5.6,FA,QB,10,2016
19,Brock Osweiler,14,27,51.9,99,3.7,2,0,1,3,23,0,0,1,14.3,14.3,0.0,FA,QB,10,2016
20,Matt Ryan,18,33,54.5,267,8.1,1,1,2,0,0,0,0,1,12.7,12.7,36.3,ATL,QB,10,2016
21,Andy Dalton,16,29,55.2,204,7.0,1,1,3,1,15,0,0,1,11.7,11.7,1.6,CHI,QB,10,2016
