team,games,first_downs_total_against,first_downs_rush_against,first_downs_pass_against,first_downs_penalty_against,third_downs_made_against,third_downs_att_against,third_downs_percentage_against,fourth_downs_made_against,fourth_downs_att_against,fourth_downs_percentage_against,penalties,penalties_yds,year
NE,16,261,72,150,39,47,195,24.1,8,22,36.4,107,920,2019
BAL,16,276,74,163,39,72,194,37.1,6,18,33.3,97,795,2019
LAC,16,285,101,156,28,88,195,45.1,8,13,61.5,108,959,2019
SF,16,285,105,150,30,64,192,33.3,8,25,32.0,116,957,2019
PHI,16,289,76,185,28,70,205,34.2,11,18,61.1,115,959,2019
BUF,16,295,93,169,33,76,212,35.9,8,21,38.1,94,815,2019
NYJ,16,302,75,187,40,88,225,39.1,3,12,25.0,107,902,2019
PIT,16,304,110,164,30,76,209,36.4,10,21,47.6,115,1118,2019
DEN,16,305,96,175,34,79,211,37.4,9,19,47.4,121,1041,2019
CHI,16,306,86,190,30,76,209,36.4,13,23,56.5,113,923,2019
GB,16,310,99,191,20,75,197,38.1,8,18,44.4,97,968,2019
NO,16,311,71,197,43,73,210,34.8,11,25,44.0,92,713,2019
IND,16,323,93,207,23,85,199,42.7,8,19,42.1,111,1040,2019
LAR,16,324,100,194,30,86,218,39.5,14,24,58.3,105,829,2019
MIN,16,324,78,215,31,85,214,39.7,16,29,55.2,83,713,2019
DAL,16,327,101,188,38,67,201,33.3,10,22,45.5,102,855,2019
CIN,16,328,124,183,21,89,209,42.6,5,10,50.0,122,988,2019
ATL,16,330,108,192,30,77,193,39.9,12,20,60.0,127,1080,2019
TB,16,331,70,222,39,75,218,34.4,13,27,48.2,111,971,2019
TEN,16,335,95,213,27,74,204,36.3,10,25,40.0,125,1025,2019
JAC,16,340,114,193,33,79,190,41.6,5,11,45.5,102,883,2019
NYG,16,343,100,211,32,86,216,39.8,8,14,57.1,117,922,2019
KC,16,344,115,190,39,75,202,37.1,16,31,51.6,116,844,2019
LV,16,344,91,201,52,81,190,42.6,9,13,69.2,91,763,2019
CLE,16,345,124,184,37,74,195,38.0,6,17,35.3,107,836,2019
SEA,16,346,97,224,25,71,185,38.4,7,12,58.3,96,798,2019
HOU,16,346,98,220,28,98,202,48.5,7,16,43.8,109,859,2019
WAS,16,354,120,200,34,111,227,48.9,12,19,63.2,94,805,2019
CAR,16,355,128,197,30,77,193,39.9,6,9,66.7,109,940,2019
MIA,16,361,113,214,34,81,194,41.8,8,13,61.5,111,1084,2019
DET,16,365,94,232,39,94,214,43.9,7,15,46.7,117,960,2019
ARI,16,375,94,243,38,100,214,46.7,3,14,21.4,114,1041,2019
