rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Vance McDonald,4,4,112,28.0,75,1,1,0,0,0,0,1,17.2,17.2,0.0,FA,TE,3,2018
2,Dallas Goedert,7,7,73,10.4,19,0,1,0,0,0,0,1,13.3,13.3,89.8,PHI,TE,3,2018
3,Travis Kelce,8,10,114,14.3,25,2,0,0,0,0,0,1,11.4,11.4,100.0,KC,TE,3,2018
4,Kyle Rudolph,5,6,48,9.6,17,0,1,0,0,0,0,1,10.8,10.8,0.3,NYG,TE,3,2018
5,Rhett Ellison,3,3,39,13.0,17,0,1,0,0,0,0,1,9.9,9.9,0.0,FA,TE,3,2018
6,George Kittle,5,7,79,15.8,23,1,0,0,0,0,0,1,9.9,9.9,99.7,SF,TE,3,2018
7,Ricky Seals-Jones,1,3,35,35.0,35,1,1,0,0,0,0,1,9.5,9.5,10.8,WAS,TE,3,2018
8,Cameron Brate,3,4,34,11.3,21,1,1,0,0,0,0,1,9.4,9.4,2.8,TB,TE,3,2018
9,Jason Croom,1,1,26,26.0,26,1,1,0,0,0,0,1,8.6,8.6,0.0,PHI,TE,3,2018
10,C.J. Uzomah,2,2,19,9.5,18,0,1,0,0,0,0,1,7.9,7.9,20.8,CIN,TE,3,2018
11,Tyler Eifert,6,8,74,12.3,20,1,0,0,0,0,0,1,7.4,7.4,0.0,FA,TE,3,2018
12,Zach Ertz,5,10,73,14.6,28,1,0,0,0,0,0,1,7.3,7.3,85.8,ARI,TE,3,2018
13,Demetrius Harris,1,3,13,13.0,13,0,1,0,0,0,0,1,7.3,7.3,0.1,ARI,TE,3,2018
14,O.J. Howard,6,8,72,12.0,21,1,0,0,0,0,0,1,7.2,7.2,1.2,TB,TE,3,2018
15,Benjamin Watson,5,6,71,14.2,27,1,0,0,0,0,0,1,7.1,7.1,2.8,FA,TE,3,2018
16,Vernon Davis,2,2,70,35.0,50,2,0,0,0,0,0,1,7.0,7.0,1.6,FA,TE,3,2018
17,Jordan Reed,4,7,65,16.3,34,1,0,0,0,0,0,1,6.5,6.5,19.0,FA,TE,3,2018
18,Mark Andrews,2,3,59,29.5,30,2,0,0,0,0,0,1,5.9,5.9,99.9,BAL,TE,3,2018
19,Trey Burton,4,5,55,13.8,25,1,0,0,0,0,0,1,5.5,5.5,0.0,FA,TE,3,2018
