team,games,passing_cmp_against,passing_att_against,passing_cmp_percent_against,passing_yds_against,passing_ya_against,passing_yds_per_game_against,passing_longest_pass_against,passing_td_against,passing_int_against,passing_sack_against,sack_yards_lost,passer_rating,year
DEN,16,306,552,55.4,2972,5.8,185.8,80,13,14,42,228,69.7,2016
HOU,16,319,522,61.1,3226,6.6,201.6,86,20,11,31,198,84.3,2016
MIN,16,332,548,60.6,3327,6.6,207.9,67,22,14,41,310,83.0,2016
ARI,16,344,547,62.9,3365,6.8,210.3,71,21,14,48,374,85.1,2016
JAC,16,345,551,62.6,3444,6.6,215.3,64,20,7,33,183,88.5,2016
BUF,16,306,511,59.9,3582,7.5,223.9,66,19,12,39,253,85.9,2016
CHI,16,342,530,64.5,3598,7.2,224.9,60,22,8,37,230,93.5,2016
SEA,16,331,537,61.6,3612,7.2,225.8,80,16,11,42,272,85.0,2016
BAL,16,369,578,63.8,3724,6.8,232.8,79,28,18,31,223,86.9,2016
LAR,16,378,582,64.9,3732,6.7,233.3,64,32,10,31,196,95.5,2016
CIN,16,374,593,63.1,3800,6.7,237.5,74,22,17,33,185,83.1,2016
NE,16,368,596,61.7,3806,6.8,237.9,66,21,13,34,227,84.4,2016
PHI,16,333,553,60.2,3832,7.3,239.5,80,25,16,34,207,85.7,2016
SF,16,322,521,61.8,3848,7.7,240.5,78,30,10,33,165,96.9,2016
MIA,16,368,591,62.3,3875,6.9,242.2,77,30,16,33,226,88.5,2016
PIT,16,381,590,64.6,3882,7.0,242.6,95,20,13,38,259,87.3,2016
NYJ,16,347,545,63.7,3898,7.5,243.6,84,30,8,27,179,98.5,2016
KC,16,350,598,58.5,3958,6.9,247.4,76,23,18,28,162,79.8,2016
DET,16,399,549,72.7,3975,7.5,248.4,64,33,10,26,161,106.5,2016
LAC,16,364,580,62.8,3987,7.3,249.2,64,21,18,35,230,83.8,2016
CLE,16,347,543,63.9,3996,7.7,249.8,63,36,10,26,177,101.8,2016
TB,16,347,548,63.3,4012,7.7,250.8,68,24,17,38,234,88.8,2016
NYG,16,369,630,58.6,4018,6.8,251.1,71,15,17,35,242,75.8,2016
LV,16,328,541,60.6,4120,7.9,257.5,98,27,16,25,147,89.8,2016
WAS,16,387,589,65.7,4130,7.4,258.1,54,22,13,38,253,91.1,2016
DAL,16,425,633,67.1,4167,6.9,260.4,67,25,9,36,209,94.1,2016
IND,16,378,582,64.9,4200,7.6,262.5,49,27,8,33,211,97.5,2016
ATL,16,422,655,64.4,4267,6.9,266.7,58,31,12,34,228,92.5,2016
CAR,16,409,612,66.8,4291,7.5,268.2,87,27,17,47,270,92.0,2016
TEN,16,388,635,61.1,4307,7.2,269.2,58,25,12,40,278,88.3,2016
GB,16,370,571,64.8,4308,8.1,269.3,73,32,17,40,295,95.9,2016
NO,16,378,582,64.9,4380,7.9,273.8,66,27,9,30,213,98.1,2016
