team,games,passing_cmp,passing_att,passing_cmp_percent,passing_yds,passing_ya,passing_yds_per_game,passing_longest_pass,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year
NO,16,472,674,70.0,5074,7.8,317.1,98,38,15,27,184,102.5,2016
WAS,16,407,607,67.1,4758,8.2,297.4,80,25,12,23,190,97.4,2016
ATL,16,374,537,69.6,4725,9.2,295.3,76,38,7,37,235,116.8,2016
NE,16,368,550,66.9,4308,8.1,269.3,79,32,2,24,148,109.5,2016
IND,16,370,584,63.4,4202,7.7,262.6,64,32,15,44,289,94.5,2016
PIT,16,381,596,63.9,4202,7.3,262.6,72,33,15,21,175,93.9,2016
GB,16,403,620,65.0,4199,7.2,262.4,66,40,8,35,246,102.3,2016
LAC,16,349,580,60.2,4198,7.6,262.4,59,33,21,36,188,87.6,2016
ARI,16,383,646,59.3,4136,6.9,258.5,80,28,17,41,289,83.5,2016
SEA,16,368,567,64.9,4124,7.8,257.8,59,23,12,42,298,93.4,2016
DET,16,388,594,65.3,4111,7.3,256.9,73,24,10,37,216,93.3,2016
BAL,16,439,679,64.7,4100,6.4,256.3,95,20,16,33,243,82.6,2016
LV,16,379,596,63.6,4051,6.9,253.2,75,29,7,18,86,95.3,2016
CHI,16,347,559,62.1,3969,7.4,248.1,64,19,19,28,170,81.8,2016
CIN,16,364,563,64.7,3942,7.5,246.4,86,18,8,41,264,91.8,2016
TB,16,355,578,61.4,3926,7.2,245.4,45,29,18,35,239,87.0,2016
NYG,16,377,598,63.0,3879,6.7,242.4,75,26,16,22,148,86.0,2016
MIN,16,414,588,70.4,3836,7.0,239.8,71,20,5,38,283,97.7,2016
KC,16,365,546,66.9,3740,7.2,233.8,80,19,8,32,174,93.2,2016
JAC,16,369,626,58.9,3728,6.3,233.0,51,24,16,34,197,79.5,2016
DEN,16,339,570,59.5,3685,6.9,230.3,76,20,11,40,229,83.9,2016
CAR,16,306,563,54.4,3685,7.0,230.3,88,21,19,36,277,75.1,2016
DAL,16,325,483,67.3,3631,7.9,226.9,83,25,6,28,168,103.0,2016
PHI,16,380,609,62.4,3585,6.2,224.1,73,16,14,33,213,79.2,2016
TEN,16,307,504,60.9,3541,7.4,221.3,60,29,11,28,179,93.7,2016
MIA,16,316,477,66.2,3500,7.8,218.8,74,27,15,30,216,95.5,2016
NYJ,16,311,550,56.5,3466,6.6,216.6,69,16,25,35,179,67.6,2016
CLE,16,338,567,59.6,3264,6.5,204.0,58,15,14,66,429,77.4,2016
HOU,16,347,583,59.5,3176,5.9,198.5,53,15,16,32,242,73.3,2016
BUF,16,286,474,60.3,3036,6.9,189.8,84,17,7,46,214,86.7,2016
LAR,16,312,536,58.2,2951,6.2,184.4,66,14,20,49,362,69.5,2016
SF,16,287,491,58.5,2911,6.4,181.9,75,21,10,47,255,83.4,2016
