Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Mike Evans(TB),96,173,"1,321",13.8,45,15,12,0,0,0,0,16,208.1,13.0,97.8%
2,Jordy Nelson(FA),97,152,"1,257",13.0,60,19,14,0,0,0,1,16,207.7,13.0,0.1%
3,Antonio Brown(FA),106,154,"1,284",12.1,51,22,12,3,9,0,0,15,201.3,13.4,84.1%
4,Odell Beckham Jr.(LAR),101,169,"1,367",13.5,75,20,10,1,9,0,1,16,195.6,12.2,90.8%
5,T.Y. Hilton(IND),91,155,"1,448",15.9,63,28,6,0,0,0,0,16,182.8,11.4,16.8%
6,Julio Jones(TEN),83,129,"1,409",17.0,75,27,6,0,0,0,0,14,176.9,12.6,60.7%
7,Davante Adams(GB),75,121,997,13.3,66,17,12,0,0,0,1,16,171.7,10.7,100.0%
8,Brandin Cooks(HOU),78,117,"1,173",15.0,98,15,8,6,30,0,0,16,168.3,10.5,92.7%
9,Michael Thomas(NO),92,121,"1,137",12.4,46,18,9,0,0,0,2,15,163.7,10.9,20.6%
10,Doug Baldwin(FA),94,125,"1,128",12.0,59,16,7,3,2,0,0,16,159.6,10.0,0.0%
11,Michael Crabtree(FA),89,145,"1,003",11.3,56,10,8,0,0,0,0,16,150.3,9.4,0.0%
12,Amari Cooper(DAL),83,132,"1,153",13.9,64,21,5,1,0,0,0,16,148.9,9.3,97.7%
13,Tyrell Williams(FA),69,119,"1,059",15.3,51,19,7,0,0,0,0,16,147.9,9.2,4.8%
14,Rishard Matthews(FA),65,108,945,14.5,60,16,9,0,0,0,1,16,146.5,9.2,0.0%
15,Tyreek Hill(KC),61,83,593,9.7,49,8,6,24,267,3,1,16,138.0,8.6,100.0%
16,Jarvis Landry(CLE),94,131,"1,136",12.1,71,16,4,5,17,0,2,16,137.5,8.6,72.5%
17,Larry Fitzgerald(FA),107,150,"1,023",9.6,32,8,6,2,5,0,1,16,136.9,8.6,0.3%
18,Terrelle Pryor Sr.(FA),77,140,"1,007",13.1,54,11,4,8,21,1,0,16,136.4,8.5,0.0%
19,Demaryius Thomas(FA),90,144,"1,083",12.0,55,10,5,0,0,0,2,16,136.3,8.5,0.1%
20,Kelvin Benjamin(FA),63,118,941,14.9,50,10,7,0,0,0,1,16,134.1,8.4,0.1%
21,Emmanuel Sanders(BUF),79,137,"1,032",13.1,64,12,5,1,4,0,0,16,133.6,8.4,46.6%
22,Julian Edelman(FA),98,159,"1,106",11.3,77,11,3,12,57,0,2,16,132.3,8.3,13.1%
23,Golden Tate(FA),91,135,"1,077",11.8,67,13,4,10,4,0,1,16,132.1,8.3,0.1%
24,Mike Wallace(FA),72,116,"1,017",14.1,95,10,4,5,31,0,0,16,130.8,8.2,0.0%
25,Dez Bryant(FA),50,96,796,15.9,56,10,8,0,0,0,1,13,130.0,10.0,2.6%
26,Kenny Britt(FA),68,111,"1,002",14.7,66,15,5,0,0,0,1,15,128.2,8.5,0.0%
27,Kenny Stills(NO),42,81,726,17.3,74,10,9,0,0,0,0,16,126.6,7.9,0.1%
28,Allen Robinson II(CHI),73,151,883,12.1,42,11,6,0,0,0,0,16,126.3,7.9,53.7%
29,Adam Thielen(MIN),69,92,967,14.0,71,16,5,2,15,0,1,16,126.2,7.9,82.7%
30,DeSean Jackson(LV),56,100,"1,005",17.9,80,19,4,0,0,0,0,15,124.5,8.3,4.4%
31,Jamison Crowder(NYJ),67,99,847,12.6,55,11,7,2,-2,0,1,16,124.5,7.8,23.6%
32,Pierre Garcon(FA),79,114,"1,041",13.2,70,15,3,0,0,0,0,16,122.1,7.6,0.0%
33,Brandon LaFell(FA),64,107,862,13.5,86,11,6,1,-2,0,0,16,122.0,7.6,0.0%
34,A.J. Green(ARI),66,100,964,14.6,54,15,4,0,0,0,0,10,120.4,12.0,51.8%
35,Willie Snead IV(FA),72,104,895,12.4,49,12,4,0,0,0,0,15,119.5,8.0,0.1%
36,Sterling Shepard(NYG),65,105,683,10.5,32,6,8,3,31,0,0,16,119.4,7.5,23.7%
37,DeAndre Hopkins(ARI),78,151,954,12.2,51,10,4,0,0,0,0,16,119.4,7.5,69.3%
38,Marvin Jones Jr.(JAC),55,103,930,16.9,73,16,4,1,3,0,0,15,117.3,7.8,55.4%
39,Cole Beasley(BUF),75,98,833,11.1,47,6,5,1,7,0,0,16,114.0,7.1,63.2%
40,Steve Smith(FA),70,101,799,11.4,52,12,5,0,0,0,0,14,113.9,8.1,0.0%
41,Cameron Meredith(FA),66,97,888,13.5,50,13,4,1,6,0,2,14,113.5,8.1,0.0%
42,Quincy Enunwa(FA),58,105,857,14.8,69,14,4,1,12,0,0,16,110.9,6.9,0.0%
43,Marqise Lee(FA),63,105,851,13.5,51,13,3,6,35,0,1,16,109.4,6.8,0.0%
44,Stefon Diggs(BUF),84,112,903,10.8,46,10,3,3,10,0,0,13,109.3,8.4,100.0%
45,Anquan Boldin(FA),67,95,584,8.7,35,5,8,0,0,0,0,16,106.4,6.7,0.1%
46,Taylor Gabriel(FA),35,50,579,16.5,76,8,6,4,51,1,0,13,105.9,8.1,0.1%
47,J.J. Nelson(IND),34,74,568,16.7,80,9,6,4,83,1,1,15,105.1,7.0,0.0%
48,Dontrelle Inman(FA),58,97,810,14.0,57,10,4,0,0,0,0,16,105.0,6.6,0.0%
49,Ted Ginn Jr.(FA),54,95,752,13.9,88,9,4,14,98,0,2,16,105.0,6.6,0.0%
50,DeVante Parker(MIA),56,87,744,13.3,56,9,4,0,0,0,0,15,98.4,6.6,64.3%
51,Jordan Matthews(SF),73,117,804,11.0,54,13,3,0,0,0,0,14,98.4,7.0,0.0%
52,Brandon Marshall(FA),59,128,788,13.4,41,10,3,0,0,0,0,15,96.7,6.4,2.6%
53,Ty Montgomery(NO),44,56,348,7.9,24,1,0,77,457,3,1,15,96.5,6.4,0.6%
54,Alshon Jeffery(FA),52,94,821,15.8,54,12,2,0,0,0,0,12,94.1,7.8,0.1%
55,Chris Hogan(FA),38,58,680,17.9,79,11,4,3,9,0,1,15,90.9,6.1,0.0%
56,Mohamed Sanu Sr.(SF),59,81,653,11.1,59,6,4,1,5,0,1,15,89.8,6.0,0.1%
