rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Julio Jones,9.0,11.0,141.0,15.7,44.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,26.1,26.1,60.7,ATL,WR,1,2015
2.0,DeAndre Hopkins,9.0,13.0,98.0,10.9,17.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,23.8,23.8,69.3,HOU,WR,1,2015
3.0,Antonio Brown,9.0,11.0,133.0,14.8,37.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,19.3,19.3,84.1,PIT,WR,1,2015
4.0,James Jones,4.0,4.0,51.0,12.8,34.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,17.1,17.1,0.0,GB,WR,1,2015
5.0,Keenan Allen,15.0,17.0,166.0,11.1,21.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,16.6,16.6,99.3,SD,WR,1,2015
6.0,Kendall Wright,4.0,4.0,101.0,25.3,52.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,16.1,16.1,0.0,TEN,WR,1,2015
7.0,Travis Benjamin,3.0,3.0,89.0,29.7,54.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,14.9,14.9,0.0,CLE,WR,1,2015
8.0,Percy Harvin,5.0,5.0,79.0,15.8,51.0,1.0,1.0,1.0,9.0,0.0,0.0,1.0,14.8,14.8,0.1,BUF,WR,1,2015
9.0,Steve Johnson,6.0,6.0,82.0,13.7,34.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.2,14.2,0.0,SD,WR,1,2015
10.0,Brandon Marshall,6.0,9.0,62.0,10.3,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.2,12.2,2.6,NYJ,WR,1,2015
11.0,Julian Edelman,11.0,12.0,97.0,8.8,14.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,10.6,10.6,13.1,NE,WR,1,2015
12.0,John Brown,4.0,7.0,46.0,11.5,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.6,10.6,1.3,ARI,WR,1,2015
13.0,Donte Moncrief,6.0,11.0,46.0,7.7,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.6,10.6,0.0,IND,WR,1,2015
14.0,Jerricho Cotchery,4.0,6.0,45.0,11.3,24.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.5,10.5,0.0,CAR,WR,1,2015
15.0,Nate Washington,6.0,11.0,105.0,17.5,32.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.5,10.5,0.0,HOU,WR,1,2015
16.0,Jordan Matthews,10.0,13.0,102.0,10.2,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.2,10.2,0.0,PHI,WR,1,2015
17.0,Brandon Coleman,4.0,7.0,41.0,10.3,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.1,10.1,0.0,NO,WR,1,2015
18.0,Randall Cobb,5.0,5.0,38.0,7.6,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.8,9.8,7.6,GB,WR,1,2015
19.0,Eric Decker,2.0,3.0,37.0,18.5,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.7,9.7,0.6,NYJ,WR,1,2015
20.0,Rishard Matthews,4.0,6.0,34.0,8.5,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.4,9.4,0.0,MIA,WR,1,2015
21.0,Rashad Greene,7.0,13.0,28.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.8,8.8,0.0,JAC,WR,1,2015
22.0,T.Y. Hilton,7.0,14.0,88.0,12.6,30.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.8,8.8,16.8,IND,WR,1,2015
23.0,Larry Fitzgerald,6.0,8.0,87.0,14.5,29.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.7,8.7,0.3,ARI,WR,1,2015
24.0,Roddy White,4.0,8.0,84.0,21.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,8.4,8.4,0.0,ATL,WR,1,2015
25.0,Harry Douglas,2.0,2.0,24.0,12.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.4,8.4,0.0,TEN,WR,1,2015
26.0,Alshon Jeffery,5.0,11.0,78.0,15.6,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.8,7.8,0.1,CHI,WR,1,2015
27.0,Jermaine Kearse,8.0,10.0,76.0,9.5,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.6,7.6,0.0,SEA,WR,1,2015
28.0,Markus Wheaton,3.0,7.0,55.0,18.3,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,0.0,PIT,WR,1,2015
29.0,Tavon Austin,2.0,5.0,-2.0,-1.0,7.0,0.0,0.0,4.0,17.0,1.0,0.0,1.0,7.5,7.5,0.1,STL,WR,1,2015
30.0,Pierre Garcon,6.0,8.0,74.0,12.3,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4,7.4,0.0,WAS,WR,1,2015
31.0,Jarvis Landry,8.0,12.0,53.0,6.6,20.0,1.0,0.0,1.0,14.0,0.0,0.0,1.0,6.7,6.7,72.5,MIA,WR,1,2015
32.0,Emmanuel Sanders,8.0,12.0,65.0,8.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,6.5,46.6,DEN,WR,1,2015
33.0,A.J. Green,5.0,8.0,63.0,12.6,30.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,6.3,51.8,CIN,WR,1,2015
35.0,Mike Wallace,6.0,7.0,63.0,10.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,6.3,0.0,MIN,WR,1,2015
36.0,Terrance Williams,5.0,8.0,60.0,12.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,DAL,WR,1,2015
37.0,Demaryius Thomas,7.0,11.0,60.0,8.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.1,DEN,WR,1,2015
38.0,Davante Adams,4.0,8.0,59.0,14.8,25.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.9,5.9,100.0,GB,WR,1,2015
39.0,Marquess Wilson,2.0,2.0,59.0,29.5,50.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.9,5.9,0.0,CHI,WR,1,2015
40.0,Stedman Bailey,3.0,4.0,58.0,19.3,29.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.8,5.8,0.0,STL,WR,1,2015
41.0,Darrius Heyward-Bey,4.0,7.0,58.0,14.5,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.8,5.8,0.0,PIT,WR,1,2015
42.0,Cecil Shorts,4.0,8.0,57.0,14.3,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.7,5.7,0.0,HOU,WR,1,2015
43.0,Chris Owusu,4.0,6.0,55.0,13.8,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,0.0,NYJ,WR,1,2015
