rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,New England Patriots,3,2,0,0,0,0,2,1,31.0,31.0,93.2,NE,DST,13,2020
2,Miami Dolphins,6,2,0,0,0,0,0,1,14.0,14.0,60.2,MIA,DST,13,2020
3,Jacksonville Jaguars,4,1,1,0,1,0,0,1,14.0,14.0,6.9,JAC,DST,13,2020
4,Minnesota Vikings,2,2,2,2,0,1,0,1,13.0,13.0,28.0,MIN,DST,13,2020
5,New York Giants,5,1,1,2,0,0,0,1,13.0,13.0,4.5,NYG,DST,13,2020
6,Indianapolis Colts,5,1,1,1,0,1,0,1,12.0,12.0,66.4,IND,DST,13,2020
7,Los Angeles Rams,2,1,1,1,1,0,0,1,11.0,11.0,74.5,LAR,DST,13,2020
8,Green Bay Packers,7,1,0,0,0,0,0,1,10.0,10.0,60.6,GB,DST,13,2020
9,Seattle Seahawks,2,1,0,0,0,1,0,1,9.0,9.0,39.4,SEA,DST,13,2020
10,Las Vegas Raiders,3,1,2,2,0,0,0,1,8.0,8.0,7.6,LV,DST,13,2020
11,Philadelphia Eagles,2,0,0,0,0,0,1,1,7.0,7.0,52.5,PHI,DST,13,2020
12,New Orleans Saints,3,0,1,1,0,0,0,1,6.0,6.0,79.3,NO,DST,13,2020
13,New York Jets,2,1,1,2,0,0,0,1,5.0,5.0,3.3,NYJ,DST,13,2020
14,Cleveland Browns,3,1,2,3,0,0,0,1,5.0,5.0,40.8,CLE,DST,13,2020
15,Kansas City Chiefs,0,2,0,0,0,0,0,1,5.0,5.0,45.7,KC,DST,13,2020
16,Detroit Lions,2,0,1,1,0,0,0,1,5.0,5.0,1.1,DET,DST,13,2020
17,Atlanta Falcons,2,0,1,2,0,0,0,1,4.0,4.0,5.8,ATL,DST,13,2020
18,Buffalo Bills,0,2,0,0,0,0,0,1,4.0,4.0,95.9,BUF,DST,13,2020
19,Baltimore Ravens,1,1,0,0,0,0,0,1,4.0,4.0,51.9,BAL,DST,13,2020
20,Pittsburgh Steelers,3,0,0,1,0,0,0,1,3.0,3.0,44.6,PIT,DST,13,2020
21,Washington Commanders,0,1,0,0,0,0,0,1,3.0,3.0,27.5,WAS,DST,13,2020
22,Houston Texans,3,0,0,0,0,0,0,1,3.0,3.0,6.4,HOU,DST,13,2020
23,Cincinnati Bengals,0,0,1,1,0,0,0,1,3.0,3.0,14.7,CIN,DST,13,2020
24,Chicago Bears,2,1,0,0,0,0,0,1,3.0,3.0,35.9,CHI,DST,13,2020
25,San Francisco 49ers,1,0,1,1,0,0,0,1,2.0,2.0,79.5,SF,DST,13,2020
26,Arizona Cardinals,1,0,1,0,0,0,0,1,2.0,2.0,60.9,ARI,DST,13,2020
27,Denver Broncos,1,0,0,0,0,0,0,1,1.0,1.0,48.5,DEN,DST,13,2020
28,Dallas Cowboys,0,1,0,0,0,0,0,1,1.0,1.0,82.9,DAL,DST,13,2020
29,Carolina Panthers,0,0,0,0,0,0,0,0,0.0,0.0,27.8,CAR,DST,13,2020
30,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0.0,0.0,98.0,TB,DST,13,2020
31,Tennessee Titans,0,0,1,1,0,0,0,1,-2.0,-2.0,48.4,TEN,DST,13,2020
32,Los Angeles Chargers,1,0,0,1,0,0,0,1,-3.0,-3.0,44.3,LAC,DST,13,2020
