Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Travis Kelce(KC),103,150,"1,336",13.0,43,18,10,0,0,0,1,16,191.6,12.0,100.0%
2,George Kittle(SF),88,135,"1,377",15.6,85,20,5,1,10,0,0,16,170.7,10.7,99.7%
3,Zach Ertz(ARI),116,156,"1,163",10.0,34,13,8,0,0,0,0,16,164.3,10.3,85.8%
4,Eric Ebron(FA),66,110,750,11.4,53,7,13,3,-8,1,1,16,156.2,9.8,3.0%
5,Jared Cook(LAC),68,101,896,13.2,45,15,6,0,0,0,0,16,125.6,7.9,50.2%
6,Trey Burton(FA),54,76,569,10.5,47,7,6,1,2,0,1,16,93.1,5.8,0.0%
7,Austin Hooper(CLE),71,88,660,9.3,36,7,4,0,0,0,0,16,92.0,5.8,28.8%
8,David Njoku(CLE),56,88,639,11.4,66,9,4,0,0,0,0,16,87.9,5.5,12.9%
9,Kyle Rudolph(FA),64,82,634,9.9,44,6,4,0,0,0,0,16,87.4,5.5,0.3%
10,O.J. Howard(TB),34,48,565,16.6,75,11,5,0,0,0,0,10,86.5,8.7,1.2%
11,Rob Gronkowski(TB),47,72,682,14.5,42,8,3,0,0,0,1,13,84.2,6.5,97.7%
12,Vance McDonald(FA),50,72,610,12.2,75,6,4,0,0,0,1,15,83.0,5.5,0.0%
13,Evan Engram(NYG),45,64,577,12.8,54,8,3,3,36,0,0,11,81.3,7.4,28.5%
14,Jimmy Graham(CHI),55,90,636,11.6,54,7,2,0,0,0,0,16,75.6,4.7,0.8%
15,Chris Herndon IV(MIN),39,56,502,12.9,32,9,4,0,0,0,0,16,74.2,4.6,0.2%
16,Mark Andrews(BAL),34,50,552,16.2,74,8,3,0,0,0,0,16,73.2,4.6,99.9%
17,Jordan Reed(FA),54,84,558,10.3,34,7,2,0,0,0,1,13,65.8,5.1,19.0%
18,Cameron Brate(TB),30,49,289,9.6,21,2,6,0,0,0,1,16,62.9,3.9,2.8%
19,C.J. Uzomah(CIN),43,66,439,10.2,29,6,3,0,0,0,0,16,61.9,3.9,20.8%
20,Dallas Goedert(PHI),33,42,334,10.1,32,5,4,0,0,0,0,16,57.4,3.6,89.8%
21,Jesse James(CHI),30,39,423,14.1,51,8,2,0,0,0,0,16,54.3,3.4,0.0%
22,Gerald Everett(FA),33,50,320,9.7,40,4,3,2,16,0,0,16,53.6,3.4,35.7%
23,Greg Olsen(FA),27,38,291,10.8,23,2,4,0,0,0,0,9,53.1,5.9,7.0%
24,Benjamin Watson(FA),35,46,400,11.4,32,6,2,0,0,0,0,16,52.0,3.3,2.8%
25,Vernon Davis(FA),25,36,367,14.7,53,8,2,0,0,0,0,14,50.7,3.6,1.6%
26,Blake Jarwin(DAL),27,36,307,11.4,39,3,3,0,0,0,0,16,48.7,3.0,2.7%
27,Antonio Gates(FA),28,45,333,11.9,27,5,2,0,0,0,1,16,47.3,3.0,0.2%
28,Ian Thomas(CAR),36,49,333,9.3,31,4,2,0,0,0,0,16,45.3,2.8,0.1%
29,Nick Vannett(NO),29,43,269,9.3,32,1,3,0,0,0,0,15,44.9,3.0,0.1%
30,Jonnu Smith(NE),20,30,258,12.9,61,3,3,0,0,0,0,13,43.8,3.4,22.7%
31,Jordan Thomas(DET),20,27,215,10.8,39,2,4,0,0,0,0,16,42.8,2.7,0.0%
32,Tyler Higbee(LAR),24,33,292,12.2,36,3,2,0,0,0,0,16,41.2,2.6,77.4%
33,Ricky Seals-Jones(WAS),34,70,343,10.1,40,5,1,0,0,0,0,15,40.3,2.7,10.8%
34,Jeff Heuerman(FA),31,48,281,9.1,36,2,2,0,0,0,0,11,40.1,3.6,0.0%
35,Rhett Ellison(FA),25,35,272,10.9,29,2,1,0,0,0,0,14,35.2,2.5,0.0%
36,Jack Doyle(FA),26,33,245,9.4,20,1,2,0,0,0,1,6,34.5,5.8,2.2%
37,Demetrius Harris(ARI),12,25,164,13.7,35,2,3,0,0,0,0,15,34.4,2.3,0.1%
38,Ed Dickson(FA),12,13,143,11.9,42,2,3,1,9,0,0,10,33.2,3.3,0.0%
39,Levine Toilolo(NYG),21,24,263,12.5,39,2,1,0,0,0,0,16,32.3,2.0,0.0%
40,Matt LaCosse(FA),24,37,250,10.4,44,1,1,0,0,0,0,15,31.0,2.1,0.0%
41,Ryan Griffin(NYJ),24,43,305,12.7,47,3,0,0,0,0,0,14,30.5,2.2,0.6%
42,Geoff Swaim(TEN),26,32,242,9.3,43,3,1,0,0,0,0,9,30.2,3.4,0.3%
43,Darren Fells(FA),11,12,117,10.6,49,1,3,0,0,0,0,16,29.7,1.9,0.0%
44,Luke Stocker(MIN),15,21,165,11.0,31,2,2,1,0,0,0,16,28.5,1.8,0.0%
45,Michael Roberts(FA),9,20,100,11.1,29,1,3,0,0,0,0,8,28.0,3.5,0.0%
46,Jason Croom(PHI),22,35,259,11.8,26,5,1,0,0,0,2,15,27.9,1.9,0.0%
47,Will Dissly(SEA),8,14,156,19.5,66,3,2,0,0,0,0,4,27.6,6.9,0.2%
