player,sacks,defense_int,fumble_recovery,fumble_forced,defense_td,defense_safety,pa,yds_against,fantasy_points,team,position,week,year
Dallas Cowboys,2.6,1.1,0.7,1.1,0.2,0.0,18.3,330.0,8.5,DAL,DST,16,2021
Tampa Bay Buccaneers,2.7,1.1,0.7,0.9,0.2,0.0,18.3,303.1,8.4,TB,DST,16,2021
Cincinnati Bengals,2.8,1.1,0.6,0.9,0.2,0.0,18.3,337.5,8.3,CIN,DST,16,2021
Los Angeles Chargers,2.6,1.0,0.5,0.9,0.2,0.0,17.2,305.2,7.8,LAC,DST,16,2021
Philadelphia Eagles,2.4,1.0,0.6,0.8,0.2,0.0,15.7,308.1,7.6,PHI,DST,16,2021
Seattle Seahawks,2.2,1.0,0.6,0.8,0.2,0.0,16.1,308.8,7.5,SEA,DST,16,2021
Miami Dolphins,2.3,0.9,0.5,1.0,0.2,0.0,18.9,302.6,7.3,MIA,DST,16,2021
Green Bay Packers,2.3,0.9,0.6,0.9,0.2,0.0,18.7,339.9,7.2,GB,DST,16,2021
New Orleans Saints,2.1,0.9,0.6,0.8,0.2,0.0,19.1,322.8,7.1,NO,DST,16,2021
New York Jets,2.0,0.9,0.7,1.0,0.2,0.0,19.1,335.9,7.0,NYJ,DST,16,2021
Atlanta Falcons,1.9,0.9,0.6,0.9,0.2,0.0,18.3,320.9,7.0,ATL,DST,16,2021
Jacksonville Jaguars,2.9,1.0,0.5,0.5,0.2,0.0,21.7,318.5,7.0,JAC,DST,16,2021
Kansas City Chiefs,2.1,0.8,0.6,1.0,0.2,0.0,18.0,324.6,6.9,KC,DST,16,2021
San Francisco 49ers,2.7,0.8,0.8,1.3,0.2,0.0,21.4,329.3,6.9,SF,DST,16,2021
Baltimore Ravens,2.7,0.8,0.6,0.9,0.1,0.0,24.5,346.9,6.4,BAL,DST,16,2021
Indianapolis Colts,2.3,0.9,0.7,1.0,0.1,0.0,25.4,369.3,6.4,IND,DST,16,2021
Tennessee Titans,2.2,0.9,0.7,1.0,0.2,0.0,22.9,361.2,6.3,TEN,DST,16,2021
New England Patriots,2.0,1.0,0.6,0.9,0.1,0.0,20.7,355.9,6.2,NE,DST,16,2021
Arizona Cardinals,2.2,0.7,0.7,1.2,0.2,0.1,22.5,343.3,6.1,ARI,DST,16,2021
Buffalo Bills,2.0,1.0,0.6,0.9,0.1,0.0,21.2,314.2,6.0,BUF,DST,16,2021
Chicago Bears,2.8,0.6,0.5,0.8,0.1,0.1,23.3,321.1,5.9,CHI,DST,16,2021
Las Vegas Raiders,2.0,0.9,0.5,0.8,0.1,0.0,21.0,324.5,5.9,LV,DST,16,2021
Los Angeles Rams,2.2,0.8,0.6,0.8,0.1,0.0,22.7,337.1,5.8,LAR,DST,16,2021
Denver Broncos,2.0,0.8,0.6,0.8,0.2,0.0,20.6,357.2,5.7,DEN,DST,16,2021
Pittsburgh Steelers,2.0,0.7,0.6,1.1,0.1,0.0,26.5,382.0,5.6,PIT,DST,16,2021
Detroit Lions,2.0,0.8,0.5,0.7,0.1,0.0,23.9,350.8,5.5,DET,DST,16,2021
New York Giants,1.9,0.7,0.6,0.9,0.1,0.0,24.8,350.2,5.5,NYG,DST,16,2021
Houston Texans,1.9,0.8,0.6,0.8,0.1,0.0,27.8,389.9,5.4,HOU,DST,16,2021
Minnesota Vikings,2.0,0.8,0.5,0.8,0.1,0.0,25.2,389.4,5.4,MIN,DST,16,2021
Washington Commanders,1.9,0.7,0.6,1.0,0.1,0.0,27.4,387.8,5.4,WAS,DST,16,2021
Carolina Panthers,1.8,0.7,0.6,0.9,0.1,0.0,26.7,364.1,5.3,CAR,DST,16,2021
Cleveland Browns,2.2,0.5,0.5,0.8,0.1,0.0,26.0,359.2,5.0,CLE,DST,16,2021
