player,sacks,defense_int,fumble_recovery,fumble_forced,defense_td,defense_safety,pa,yds_against,fantasy_points,team,week,position
Buffalo Bills,2.4,1.4,0.6,0.9,0.2,0.0,16.2,302.6,8.6,,10,DST
Arizona Cardinals,2.9,1.0,0.7,1.3,0.2,0.0,16.4,326.0,8.5,,10,DST
Baltimore Ravens,2.8,0.9,0.7,1.0,0.2,0.0,19.1,316.7,7.9,,10,DST
Pittsburgh Steelers,2.5,0.8,0.7,1.1,0.2,0.0,16.6,322.1,7.5,,10,DST
Indianapolis Colts,2.0,1.0,0.7,1.2,0.2,0.0,18.3,339.4,7.4,,10,DST
Los Angeles Rams,2.7,1.0,0.7,1.1,0.2,0.0,22.1,347.4,7.3,,10,DST
Tampa Bay Buccaneers,2.3,1.2,0.7,1.1,0.2,0.0,20.4,314.6,7.1,,10,DST
New Orleans Saints,2.6,0.9,0.6,0.8,0.1,0.0,22.4,339.8,6.5,,10,DST
Carolina Panthers,2.5,0.9,0.7,0.9,0.1,0.0,24.5,326.1,6.4,,10,DST
Miami Dolphins,2.6,0.9,0.6,1.0,0.1,0.1,26.5,398.2,6.4,,10,DST
Cleveland Browns,2.2,0.9,0.6,0.8,0.2,0.0,23.2,327.8,6.2,,10,DST
New England Patriots,2.4,0.8,0.6,0.8,0.1,0.0,20.4,346.9,6.2,,10,DST
Philadelphia Eagles,2.8,0.7,0.5,0.7,0.1,0.0,23.3,352.4,6.1,,10,DST
Green Bay Packers,2.9,0.7,0.5,0.7,0.1,0.0,21.7,331.1,6.1,,10,DST
Dallas Cowboys,2.2,0.9,0.6,0.8,0.2,0.0,22.6,367.5,6.0,,10,DST
Kansas City Chiefs,2.1,0.8,0.6,0.8,0.2,0.0,25.2,390.1,5.9,,10,DST
Tennessee Titans,2.2,0.8,0.5,0.8,0.2,0.0,20.2,317.0,5.8,,10,DST
Minnesota Vikings,2.1,0.8,0.6,0.9,0.1,0.0,26.3,386.3,5.7,,10,DST
Las Vegas Raiders,1.9,0.7,0.6,1.1,0.1,0.0,25.9,388.1,5.5,,10,DST
Denver Broncos,2.1,0.7,0.5,0.7,0.1,0.0,20.8,323.3,5.3,,10,DST
Washington Commanders,1.8,0.7,0.6,1.0,0.1,0.0,29.6,387.1,5.2,,10,DST
Detroit Lions,1.8,0.8,0.5,0.8,0.1,0.0,23.5,336.9,5.2,,10,DST
Los Angeles Chargers,2.0,0.6,0.6,0.8,0.1,0.0,24.2,374.5,5.2,,10,DST
San Francisco 49ers,1.9,0.7,0.5,0.9,0.1,0.0,25.6,367.4,5.1,,10,DST
Atlanta Falcons,1.6,0.7,0.6,1.1,0.1,0.0,30.2,407.9,5.1,,10,DST
Jacksonville Jaguars,1.9,0.6,0.5,0.6,0.1,0.1,28.6,374.1,5.0,,10,DST
New York Jets,1.7,0.7,0.6,0.9,0.1,0.0,30.0,401.4,5.0,,10,DST
Seattle Seahawks,2.0,0.5,0.5,0.8,0.1,0.0,25.1,357.5,4.7,,10,DST
