player,sacks,defense_int,fumble_recovery,fumble_forced,defense_td,defense_safety,pa,yds_against,fantasy_points,team,position,week,year
Indianapolis Colts,2.6,1.1,0.7,1.1,0.2,0.0,18.0,312.5,8.4,IND,DST,6,2021
Green Bay Packers,3.1,0.9,0.5,0.6,0.2,0.0,19.6,292.8,8.1,GB,DST,6,2021
Pittsburgh Steelers,2.6,0.9,0.6,0.9,0.2,0.0,18.8,329.5,7.5,PIT,DST,6,2021
Minnesota Vikings,2.8,1.1,0.5,0.8,0.2,0.0,22.1,347.6,7.2,MIN,DST,6,2021
Los Angeles Rams,2.7,0.9,0.7,1.1,0.2,0.0,20.4,336.9,6.9,LAR,DST,6,2021
Tampa Bay Buccaneers,2.7,0.8,0.7,0.9,0.2,0.0,21.5,337.3,6.7,TB,DST,6,2021
Buffalo Bills,2.6,0.9,0.7,1.1,0.2,0.0,21.6,351.6,6.6,BUF,DST,6,2021
Miami Dolphins,2.1,1.1,0.6,1.0,0.2,0.0,21.7,358.7,6.5,MIA,DST,6,2021
Dallas Cowboys,2.2,1.0,0.6,1.0,0.2,0.0,22.5,346.3,6.5,DAL,DST,6,2021
Arizona Cardinals,2.3,0.8,0.7,1.2,0.2,0.1,24.2,357.0,6.4,ARI,DST,6,2021
Kansas City Chiefs,1.9,1.1,0.6,0.8,0.2,0.0,25.2,356.9,6.2,KC,DST,6,2021
Los Angeles Chargers,2.4,0.8,0.6,0.8,0.1,0.1,26.0,378.8,6.1,LAC,DST,6,2021
Detroit Lions,2.5,0.8,0.6,0.9,0.1,0.0,24.4,364.8,6.1,DET,DST,6,2021
Cleveland Browns,2.3,0.9,0.6,0.7,0.1,0.0,23.5,364.4,6.1,CLE,DST,6,2021
Denver Broncos,2.2,0.8,0.6,0.9,0.2,0.1,20.1,354.8,6.0,DEN,DST,6,2021
Cincinnati Bengals,2.1,0.8,0.6,0.8,0.2,0.0,21.3,345.9,5.9,CIN,DST,6,2021
Houston Texans,2.5,0.7,0.6,0.8,0.1,0.1,27.2,364.5,5.9,HOU,DST,6,2021
Las Vegas Raiders,2.3,0.8,0.6,0.8,0.1,0.0,24.1,355.5,5.9,LV,DST,6,2021
Jacksonville Jaguars,2.2,0.8,0.5,0.8,0.2,0.0,23.8,345.0,5.8,JAC,DST,6,2021
Baltimore Ravens,2.1,0.7,0.6,0.9,0.1,0.1,24.0,389.3,5.7,BAL,DST,6,2021
Carolina Panthers,2.3,0.6,0.6,0.9,0.1,0.0,22.6,356.5,5.6,CAR,DST,6,2021
New England Patriots,2.1,0.7,0.5,0.8,0.1,0.0,25.2,391.7,5.4,NE,DST,6,2021
Washington Commanders,1.9,0.8,0.6,1.0,0.1,0.0,28.7,400.6,5.4,WAS,DST,6,2021
Chicago Bears,2.2,0.5,0.6,1.0,0.1,0.0,23.3,363.6,5.3,CHI,DST,6,2021
Philadelphia Eagles,2.0,0.7,0.5,0.8,0.1,0.0,28.3,382.0,5.2,PHI,DST,6,2021
Tennessee Titans,1.8,0.7,0.6,0.8,0.1,0.0,29.3,400.5,5.1,TEN,DST,6,2021
Seattle Seahawks,1.6,0.8,0.5,0.8,0.1,0.0,23.5,335.6,5.0,SEA,DST,6,2021
New York Giants,1.9,0.7,0.5,0.8,0.1,0.0,26.6,385.3,5.0,NYG,DST,6,2021
