rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Kareem Hunt,17.0,148.0,8.7,58.0,1.0,1.0,5.0,5.0,98.0,19.6,2.0,1.0,1.0,40.6,40.6,82.1,KC,RB,1,2017
2.0,Mike Gillislee,15.0,45.0,3.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.5,22.5,0.0,NE,RB,1,2017
3.0,Leonard Fournette,26.0,100.0,3.8,17.0,0.0,1.0,3.0,3.0,24.0,8.0,0.0,0.0,1.0,18.4,18.4,74.8,JAC,RB,1,2017
4.0,Tarik Cohen,5.0,66.0,13.2,46.0,1.0,0.0,8.0,12.0,47.0,5.9,1.0,0.0,1.0,17.3,17.3,3.0,CHI,RB,1,2017
5.0,LeSean McCoy,22.0,110.0,5.0,27.0,3.0,0.0,5.0,6.0,49.0,9.8,0.0,0.0,1.0,15.9,15.9,2.0,BUF,RB,1,2017
8.0,Jonathan Stewart,18.0,65.0,3.6,10.0,0.0,0.0,2.0,2.0,17.0,8.5,1.0,0.0,1.0,14.2,14.2,0.0,CAR,RB,1,2017
9.0,Ezekiel Elliott,24.0,104.0,4.3,10.0,0.0,0.0,5.0,5.0,36.0,7.2,0.0,0.0,1.0,14.0,14.0,99.7,DAL,RB,1,2017
10.0,Terrance West,19.0,80.0,4.2,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,0.0,BAL,RB,1,2017
12.0,Dalvin Cook,22.0,127.0,5.8,33.0,2.0,0.0,3.0,5.0,10.0,3.3,0.0,0.0,1.0,13.7,13.7,100.0,MIN,RB,1,2017
13.0,Jordan Howard,13.0,52.0,4.0,11.0,0.0,1.0,3.0,5.0,14.0,4.7,0.0,0.0,1.0,12.6,12.6,18.7,CHI,RB,1,2017
