Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Dak Prescott(DAL),34,47,72.3,450,9.6,1,0,1,5,18,3,1,1,39.8,39.8,98.2%
2,Cam Newton(CAR),30,44,68.2,397,9.0,1,1,1,11,47,2,0,1,35.6,35.6,20.3%
3,Josh Allen(BUF),24,35,68.6,415,11.9,4,0,1,4,19,0,0,1,34.5,34.5,100.0%
4,Russell Wilson(DEN),21,28,75.0,288,10.3,5,1,2,5,39,0,0,1,34.4,34.4,90.4%
5,Kyler Murray(ARI),26,38,68.4,286,7.5,1,1,3,8,67,2,0,1,33.1,33.1,99.3%
6,Matt Ryan(ATL),24,36,66.7,273,7.6,4,0,1,4,16,0,0,1,28.5,28.5,36.3%
7,Patrick Mahomes II(KC),27,47,57.4,302,6.4,2,0,1,6,54,0,0,1,27.5,27.5,100.0%
8,Ryan Tannehill(TEN),18,24,75.0,239,10.0,4,0,1,4,12,0,0,1,26.8,26.8,62.7%
9,Gardner Minshew II(PHI),30,45,66.7,339,7.5,3,2,2,4,19,0,0,1,25.5,25.5,2.2%
10,Joe Burrow(CIN),37,61,60.7,316,5.2,3,0,3,7,19,0,1,1,24.5,24.5,88.3%
11,Ryan Fitzpatrick(WAS),31,47,66.0,328,7.0,2,0,3,3,12,0,0,1,24.3,24.3,6.1%
12,Jared Goff(DET),20,27,74.1,267,9.9,3,0,1,7,13,0,0,1,24.0,24.0,5.3%
13,Justin Herbert(LAC),22,33,66.7,311,9.4,1,1,2,4,18,1,0,1,23.2,23.2,98.8%
14,Derek Carr(LV),28,38,73.7,284,7.5,3,0,3,3,3,0,1,1,21.7,21.7,58.1%
15,Jeff Driskel(HOU),18,34,52.9,256,7.5,2,1,6,2,5,0,0,1,19.7,19.7,0.0%
16,Ben Roethlisberger(FA),29,41,70.7,311,7.6,2,1,1,3,-2,0,0,1,19.2,19.2,23.8%
17,Aaron Rodgers(GB),18,30,60.0,240,8.0,2,0,1,2,12,0,0,1,18.2,18.2,97.4%
18,Lamar Jackson(BAL),18,24,75.0,204,8.5,1,0,4,16,54,0,0,1,17.6,17.6,94.0%
19,Matthew Stafford(LAR),20,33,60.6,244,7.4,2,1,4,1,4,0,0,1,17.2,17.2,97.2%
20,Baker Mayfield(CLE),16,23,69.6,219,9.5,2,1,0,3,5,0,0,1,16.3,16.3,26.4%
21,Deshaun Watson(HOU),25,36,69.4,275,7.6,1,1,4,5,17,0,0,1,15.7,15.7,5.0%
22,Drew Brees(FA),26,38,68.4,312,8.2,1,1,0,0,0,0,0,1,15.5,15.5,35.7%
23,Mitchell Trubisky(BUF),18,28,64.3,190,6.8,2,2,4,4,16,0,0,1,15.2,15.2,0.4%
24,Carson Wentz(WAS),26,43,60.5,242,5.6,0,2,0,2,7,1,0,1,14.4,14.4,44.0%
25,Jimmy Garoppolo(SF),14,16,87.5,131,8.2,2,0,1,0,0,0,0,1,13.2,13.2,23.3%
26,Sam Darnold(CAR),21,32,65.6,179,5.6,1,0,1,2,7,0,0,1,11.9,11.9,5.5%
27,Philip Rivers(FA),19,25,76.0,214,8.6,1,1,2,4,3,0,0,1,11.9,11.9,20.6%
28,Dwayne Haskins(PIT),19,33,57.6,223,6.8,1,0,4,1,8,0,1,1,11.7,11.7,0.1%
29,Teddy Bridgewater(DEN),33,42,78.6,367,8.7,0,2,5,0,0,0,1,1,10.7,10.7,15.6%
30,Tom Brady(FA),23,35,65.7,217,6.2,1,1,0,1,0,0,1,1,9.7,9.7,99.1%
31,Daniel Jones(NYG),25,40,62.5,241,6.0,0,1,4,3,21,0,1,1,8.7,8.7,13.6%
32,Nick Mullens(CLE),8,11,72.7,71,6.5,0,1,2,2,-2,0,0,1,1.6,1.6,0.3%
33,Kirk Cousins(MIN),11,26,42.3,113,4.3,0,3,3,0,0,0,0,1,1.5,1.5,70.7%
34,Taysom Hill(NO),0,0,0,0,0,0,0,0,2,8,0,0,1,0.8,0.8,53.2%
35,Mac Jones(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5%
36,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
37,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
38,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
40,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
41,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
42,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
43,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
44,Jake Browning(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
45,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
46,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
47,Eric Dungey(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
48,Jarrett Stidham(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
50,David Blough(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,John Lovett(MIA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
52,Kurt Benkert(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,Kyle Allen(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
54,John Wolford(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
55,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,James Morgan(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
57,Brian Lewerke(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
58,Chris Streveler(MIA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
59,Trevor Lawrence(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9%
60,Justin Fields(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0%
61,Jake Luton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
62,Steven Montez(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
63,Jordan Love(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%
64,Tua Tagovailoa(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2%
65,Jacob Eason(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
66,Jake Fromm(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
67,Jalen Hurts(PHI),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,94.4%
68,Tyler Huntley(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7%
