rank,player,passing_cmp,passing_att,passing_pct,passing_yds,passing_ya,passing_td,passing_int,passing_sacks,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Lamar Jackson,11,17,64.7,163,9.6,1,0,4,9,124,2,0,1,34.9,34.9,94.0,BAL,14,QB
2,Baker Mayfield,28,47,59.6,343,7.3,2,1,0,5,23,1,0,1,31.0,31.0,26.4,CLE,14,QB
3,Aaron Rodgers,26,33,78.8,290,8.8,3,0,0,6,13,1,0,1,30.9,30.9,97.4,GB,14,QB
4,Tua Tagovailoa,28,48,58.3,316,6.6,2,1,4,6,24,1,0,1,28.0,28.0,44.2,MIA,14,QB
5,Derek Carr,31,45,68.9,316,7.0,2,2,0,3,12,1,0,1,25.8,25.8,58.1,LV,14,QB
6,Drew Lock,21,27,77.8,280,10.4,4,0,1,6,4,0,1,1,25.6,25.6,1.5,DEN,14,QB
7,Mitchell Trubisky,24,33,72.7,267,8.1,3,0,3,4,23,0,0,1,25.0,25.0,0.4,BUF,14,QB
8,Russell Wilson,21,27,77.8,206,7.6,4,1,0,1,-1,0,0,1,23.1,23.1,90.4,SEA,14,QB
9,Patrick Mahomes II,24,34,70.6,393,11.6,2,3,3,5,9,0,0,1,21.6,21.6,100.0,KC,14,QB
10,Teddy Bridgewater,30,40,75.0,283,7.1,0,0,4,3,31,1,0,1,20.4,20.4,15.6,DEN,14,QB
11,Taysom Hill,28,38,73.7,291,7.7,2,1,5,5,33,0,1,1,19.9,19.9,53.2,NO,14,QB
12,Jalen Hurts,17,30,56.7,167,5.6,1,0,0,18,106,0,1,1,19.3,19.3,94.4,PHI,14,QB
13,Josh Allen,24,43,55.8,238,5.5,2,1,1,6,28,0,0,1,19.3,19.3,100.0,BUF,14,QB
14,Kyler Murray,24,35,68.6,244,7.0,1,0,1,13,47,0,0,1,18.5,18.5,99.3,ARI,14,QB
15,Philip Rivers,19,28,67.9,244,8.7,2,0,0,0,0,0,0,1,17.8,17.8,20.6,FA,14,QB
16,Kirk Cousins,24,37,64.9,225,6.1,1,0,6,5,41,0,1,1,17.1,17.1,70.7,MIN,14,QB
17,Justin Herbert,36,44,81.8,243,5.5,2,1,1,0,0,0,0,1,16.7,16.7,98.8,LAC,14,QB
18,Deshaun Watson,21,30,70.0,219,7.3,1,0,6,7,38,0,0,1,16.6,16.6,5.0,HOU,14,QB
19,Ryan Tannehill,19,24,79.2,212,8.8,2,0,1,0,0,0,0,1,16.5,16.5,62.7,TEN,14,QB
20,Tom Brady,15,23,65.2,196,8.5,2,0,0,3,-2,0,0,1,15.6,15.6,99.1,FA,14,QB
21,Jared Goff,16,25,64.0,137,5.5,1,1,1,4,11,1,0,1,15.6,15.6,5.3,DET,14,QB
22,Ben Roethlisberger,21,37,56.8,187,5.1,2,2,1,0,0,0,0,1,15.5,15.5,23.8,FA,14,QB
23,Andy Dalton,16,23,69.6,185,8.0,2,0,2,1,-1,0,0,1,15.3,15.3,1.6,CHI,14,QB
24,Matthew Stafford,24,34,70.6,244,7.2,1,0,4,1,6,0,0,1,14.4,14.4,97.2,LAR,14,QB
25,Brandon Allen,27,36,75.0,217,6.0,1,0,0,4,12,0,0,1,13.9,13.9,0.4,CIN,14,QB
26,Nick Mullens,25,45,55.6,260,5.8,1,1,4,0,0,0,1,1,13.4,13.4,0.3,CLE,14,QB
27,Gardner Minshew II,18,31,58.1,178,5.7,1,0,0,2,22,0,0,1,13.3,13.3,2.2,PHI,14,QB
28,Matt Ryan,21,32,65.6,224,7.0,1,3,2,1,3,0,0,1,10.3,10.3,36.3,ATL,14,QB
29,Sam Darnold,14,26,53.8,132,5.1,0,0,3,1,3,0,0,1,5.6,5.6,5.5,CAR,14,QB
30,Cam Newton,9,16,56.3,119,7.4,0,1,4,7,16,0,0,1,5.4,5.4,20.3,CAR,14,QB
31,Daniel Jones,11,21,52.4,127,6.0,0,0,6,0,0,0,1,1,3.1,3.1,13.6,NYG,14,QB
32,Mike Glennon,13,23,56.5,85,3.7,0,1,0,0,0,0,0,1,2.4,2.4,0.8,NYG,14,QB
33,Logan Woodside,0,0,0.0,0,0.0,0,0,0,1,18,0,0,1,1.8,1.8,0.0,TEN,14,QB
34,Jarrett Stidham,5,7,71.4,27,3.9,0,0,2,1,3,0,0,1,1.4,1.4,0.0,NE,14,QB
35,Alex Smith,8,19,42.1,57,3.0,0,1,1,0,0,0,0,1,1.3,1.3,5.0,FA,14,QB
36,Chase Daniel,3,6,50.0,29,4.8,0,0,0,0,0,0,0,1,1.2,1.2,0.1,LAC,14,QB
37,Geno Smith,4,5,80.0,33,6.6,0,0,1,2,-2,0,0,1,1.1,1.1,0.6,SEA,14,QB
38,Dwayne Haskins,7,12,58.3,51,4.3,0,0,1,4,-12,0,0,1,0.8,0.8,0.1,PIT,14,QB
39,Trace McSorley,1,4,25.0,13,3.3,0,0,0,2,1,0,0,1,0.6,0.6,0.3,ARI,14,QB
40,Ryan Finley,1,2,50.0,5,2.5,0,0,2,0,0,0,0,1,0.2,0.2,0.0,FA,14,QB
41,Feleipe Franks,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,14,QB
42,Jalen Morton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,14,QB
43,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,26.3,SF,14,QB
44,Reid Sinnett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PHI,14,QB
45,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TB,14,QB
46,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,IND,14,QB
47,Ben DiNucci,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,14,QB
48,Mac Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,28.5,NE,14,QB
49,Ian Book,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,NO,14,QB
50,Justin Fields,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,21.0,CHI,14,QB
51,David Blough,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DET,14,QB
52,Jake Browning,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CIN,14,QB
53,Eric Dungey,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CIN,14,QB
