,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Deshaun Watson(HOU),17,25,68.0,318,12.7,4,0,2,8,24,0,0,1,33.1,33.1,5.0%
1,2,Patrick Mahomes II(KC),37,49,75.5,462,9.4,3,0,2,4,28,0,1,1,31.3,31.3,100.0%
2,3,Kirk Cousins(MIN),34,45,75.6,307,6.8,3,0,2,3,19,0,1,1,26.2,26.2,70.7%
3,4,Aaron Rodgers(GB),21,29,72.4,211,7.3,4,0,0,2,12,0,0,1,25.6,25.6,97.4%
4,5,Tom Brady(FA),27,41,65.9,345,8.4,3,2,1,1,-1,0,0,1,23.7,23.7,99.1%
5,6,Mitchell Trubisky(BUF),26,46,56.5,242,5.3,3,2,3,3,10,0,1,1,20.7,20.7,0.4%
6,7,Carson Wentz(IND),25,45,55.6,215,4.8,2,1,6,5,42,0,0,1,19.8,19.8,44.0%
7,8,Ryan Fitzpatrick(WAS),24,39,61.5,257,6.6,2,0,4,3,10,0,0,1,19.3,19.3,6.1%
8,9,Ryan Tannehill(TEN),13,22,59.1,221,10.0,1,0,1,2,3,1,0,1,19.1,19.1,62.7%
9,10,Philip Rivers(FA),24,42,57.1,295,7.0,2,1,1,0,0,0,0,1,18.8,18.8,20.6%
10,11,Taysom Hill(NO),9,16,56.3,78,4.9,0,1,3,10,44,2,0,1,18.5,18.5,53.2%
11,12,Baker Mayfield(CLE),19,29,65.5,258,8.9,2,0,2,4,1,0,0,1,18.4,18.4,26.4%
12,13,Mike Glennon(NYG),20,35,57.1,235,6.7,2,0,0,2,6,0,0,1,18.0,18.0,0.8%
13,14,Justin Herbert(LAC),31,52,59.6,316,6.1,1,1,3,2,-2,0,0,1,17.4,17.4,98.8%
14,15,Matthew Stafford(LAR),28,42,66.7,295,7.0,1,1,4,1,3,0,0,1,17.1,17.1,97.2%
15,16,Josh Allen(BUF),18,24,75.0,157,6.5,1,1,2,9,32,1,1,1,16.5,16.5,100.0%
16,17,Teddy Bridgewater(DEN),19,36,52.8,267,7.4,1,1,0,2,12,0,0,1,14.9,14.9,15.6%
17,18,Matt Ryan(ATL),22,39,56.4,185,4.7,2,1,1,1,5,0,0,1,14.9,14.9,36.3%
18,19,Russell Wilson(SEA),22,31,71.0,230,7.4,1,0,2,6,12,0,0,1,14.4,14.4,90.4%
19,20,Ben Roethlisberger(FA),36,51,70.6,266,5.2,1,1,0,1,-1,0,0,1,13.5,13.5,23.8%
20,21,Andy Dalton(CHI),25,35,71.4,215,6.1,1,1,3,3,17,0,0,1,13.3,13.3,1.6%
21,22,Jacoby Brissett(MIA),0,2,0.0,0,0.0,0,0,1,4,3,2,0,1,12.3,12.3,0.6%
22,23,Daniel Jones(NYG),16,27,59.3,213,7.9,0,0,0,6,19,0,0,1,10.4,10.4,13.6%
23,24,Nick Mullens(CLE),24,35,68.6,252,7.2,0,1,2,0,0,0,0,1,9.1,9.1,0.3%
24,25,Alex Smith(FA),19,26,73.1,149,5.7,1,1,3,3,1,0,0,1,9.1,9.1,5.0%
25,26,Kyler Murray(ARI),23,34,67.6,170,5.0,0,1,2,5,31,0,0,1,8.9,8.9,99.3%
26,27,Trace McSorley(ARI),2,6,33.3,77,12.8,1,0,0,3,16,0,0,1,8.7,8.7,0.3%
27,28,Brandon Allen(CIN),17,29,58.6,136,4.7,1,1,2,4,7,0,1,1,7.1,7.1,0.4%
28,29,Sam Darnold(CAR),16,27,59.3,197,7.3,0,2,3,2,9,0,0,1,6.8,6.8,5.5%
29,30,Cam Newton(CAR),9,18,50.0,84,4.7,0,2,3,9,46,0,0,1,6.0,6.0,20.3%
30,31,Robert Griffin III(FA),7,12,58.3,33,2.8,0,1,3,7,68,0,1,1,5.1,5.1,0.6%
31,32,Jared Goff(DET),19,31,61.3,198,6.4,0,2,2,5,11,0,1,1,5.0,5.0,5.3%
32,33,Colt McCoy(ARI),6,10,60.0,31,3.1,0,0,0,5,7,0,0,1,1.9,1.9,0.4%
33,34,Nathan Peterman(FA),3,5,60.0,25,5.0,0,0,2,1,9,0,0,1,1.9,1.9,0.1%
34,35,Derek Carr(LV),22,34,64.7,215,6.3,0,1,3,0,0,0,3,1,1.6,1.6,58.1%
35,36,Jalen Hurts(PHI),1,1,100.0,6,6.0,0,0,0,0,0,0,0,1,0.2,0.2,94.4%
36,37,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
37,38,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
38,39,Justin Fields(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0%
39,40,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
40,41,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
41,42,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
42,43,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,44,Mac Jones(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5%
