rank,player,rushing_att,rushing_yds,rushing_ya,rushing_lg,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Melvin Gordon III,22,68,3.1,13,0,2,6,7,53,8.8,1,0,1,30.1,30.1,87.8,DEN,RB,7,2016
2,Jay Ajayi,28,214,7.6,53,1,1,1,1,2,2.0,0,0,1,27.6,27.6,7.0,FA,RB,7,2016
3,Matt Forte,30,100,3.3,15,0,1,4,4,54,13.5,1,1,1,25.4,25.4,19.1,FA,RB,7,2016
4,LeGarrette Blount,24,127,5.3,25,1,2,1,1,7,7.0,0,0,1,25.4,25.4,0.1,FA,RB,7,2016
5,Jeremy Hill,9,168,18.7,74,3,1,2,2,24,12.0,0,0,1,25.2,25.2,0.0,FA,RB,7,2016
6,Spencer Ware,17,77,4.5,12,0,0,2,2,54,27.0,1,0,1,19.1,19.1,0.0,FA,RB,7,2016
7,DeMarco Murray,25,107,4.3,14,0,1,3,5,20,6.7,0,0,1,18.7,18.7,0.1,FA,RB,7,2016
8,Latavius Murray,18,59,3.3,10,0,2,2,5,4,2.0,0,0,1,18.3,18.3,22.2,BAL,RB,7,2016
9,David Johnson,33,113,3.4,14,0,0,8,13,58,7.3,0,0,1,17.1,17.1,35.4,HOU,RB,7,2016
10,C.J. Anderson,16,107,6.7,19,0,1,0,0,0,0.0,0,0,1,16.7,16.7,1.0,FA,RB,7,2016
11,Jacquizz Rodgers,26,154,5.9,45,1,0,1,1,9,9.0,0,0,1,16.3,16.3,0.0,FA,RB,7,2016
12,Le'Veon Bell,21,81,3.9,12,0,0,10,13,68,6.8,0,0,1,14.9,14.9,5.4,FA,RB,7,2016
13,Devontae Booker,17,83,4.9,12,0,1,1,2,4,4.0,0,0,1,14.7,14.7,23.3,NYG,RB,7,2016
14,Giovani Bernard,17,80,4.7,17,0,1,1,2,7,7.0,0,0,1,14.7,14.7,5.4,TB,RB,7,2016
15,Peyton Barber,12,84,7.0,44,1,1,0,0,0,0.0,0,0,1,14.4,14.4,1.2,LV,RB,7,2016
16,Frank Gore,17,61,3.6,10,0,0,5,5,22,4.4,1,0,1,14.3,14.3,12.2,FA,RB,7,2016
17,Isaiah Crowell,12,63,5.3,21,1,1,3,4,16,5.3,0,0,1,13.9,13.9,0.1,FA,RB,7,2016
18,Tevin Coleman,8,64,8.0,30,1,1,1,1,10,10.0,0,0,1,13.4,13.4,18.5,NYJ,RB,7,2016
19,Mark Ingram II,16,62,3.9,7,0,0,4,4,20,5.0,1,1,1,12.2,12.2,39.1,NO,RB,7,2016
20,Chris Thompson,12,73,6.1,16,0,0,7,7,40,5.7,0,0,1,11.3,11.3,0.0,FA,RB,7,2016
21,Shaun Draughn,1,16,16.0,16,0,0,5,7,37,7.4,1,0,1,11.3,11.3,0.0,FA,RB,7,2016
22,Rashad Jennings,13,25,1.9,5,0,1,2,3,24,12.0,0,0,1,10.9,10.9,0.0,FA,RB,7,2016
23,Devonta Freeman,15,58,3.9,15,0,0,5,6,42,8.4,0,0,1,10.0,10.0,74.2,BAL,RB,7,2016
24,Reggie Bush,1,1,1.0,1,0,1,1,2,13,13.0,0,0,1,9.4,9.4,0.0,FA,RB,7,2016
25,James White,0,0,0.0,0,0,0,2,5,32,16.0,1,0,1,9.2,9.2,7.9,NE,RB,7,2016
26,Todd Gurley II,15,57,3.8,8,0,0,6,7,35,5.8,0,0,1,9.2,9.2,0.4,FA,RB,7,2016
27,Zach Zenner,9,29,3.2,9,0,1,0,2,0,0.0,0,0,1,8.9,8.9,0.0,FA,RB,7,2016
28,Mike Davis,7,21,3.0,8,0,1,0,0,0,0.0,0,0,1,8.1,8.1,49.7,ATL,RB,7,2016
29,Matt Asiata,12,55,4.6,29,1,0,6,8,25,4.2,0,0,1,8.0,8.0,0.0,FA,RB,7,2016
30,Robert Kelley,4,15,3.8,5,0,0,1,1,1,1.0,1,0,1,7.6,7.6,0.0,FA,RB,7,2016
31,Damien Williams,4,16,4.0,12,0,1,0,1,0,0.0,0,0,1,7.6,7.6,4.4,CHI,RB,7,2016
