rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,DeSean Jackson,9.0,15.0,193.0,21.4,61.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,25.3,25.3,4.4,PHI,WR,2,2013
2.0,Julio Jones,11.0,14.0,182.0,16.5,81.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,24.2,24.2,60.7,ATL,WR,2,2013
3.0,Dez Bryant,9.0,13.0,141.0,15.7,53.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,20.1,20.1,2.6,DAL,WR,2,2013
4.0,Randall Cobb,9.0,10.0,128.0,14.2,35.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,18.8,18.8,7.6,GB,WR,2,2013
5.0,DeAndre Hopkins,7.0,13.0,117.0,16.7,28.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,17.7,17.7,69.3,HOU,WR,2,2013
6.0,T.Y. Hilton,6.0,12.0,124.0,20.7,47.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,12.4,16.8,IND,WR,2,2013
8.0,Robert Woods,4.0,6.0,68.0,17.0,28.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,9.1,9.1,29.9,BUF,WR,2,2013
9.0,Julian Edelman,13.0,18.0,78.0,6.0,10.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,8.2,8.2,13.1,NE,WR,2,2013
10.0,Emmanuel Sanders,5.0,10.0,78.0,15.6,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.8,7.8,46.6,PIT,WR,2,2013
11.0,Antonio Brown,6.0,9.0,57.0,9.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.7,5.7,84.1,PIT,WR,2,2013
13.0,Alshon Jeffery,1.0,5.0,11.0,11.0,11.0,0.0,0.0,2.0,30.0,0.0,0.0,1.0,4.1,4.1,0.1,CHI,WR,2,2013
14.0,A.J. Green,6.0,14.0,41.0,6.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1,4.1,51.8,CIN,WR,2,2013
15.0,Andre Roberts,3.0,8.0,36.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6,3.6,0.1,ARI,WR,2,2013
17.0,Larry Fitzgerald,2.0,5.0,33.0,16.5,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3,3.3,0.3,ARI,WR,2,2013
18.0,Travis Benjamin,1.0,1.0,22.0,22.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.2,0.0,CLE,WR,2,2013
19.0,Golden Tate,1.0,2.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9,1.9,0.1,SEA,WR,2,2013
20.0,Kenny Stills,1.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1,NO,WR,2,2013
21.0,Dwayne Harris,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.0,DAL,WR,2,2013
264.0,Rishard Matthews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MIA,WR,2,2013
265.0,Damaris Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PHI,WR,2,2013
267.0,Jarrett Boykin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GB,WR,2,2013
