rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Josh Allen,29,42,69.0,249,5.9,2,0,0,8,55,1,0,1,29.5,29.5,100.0,BUF,QB,8,2021
2,Mike White,37,45,82.2,405,9.0,3,2,2,5,-1,0,0,1,28.1,28.1,0.8,NYJ,QB,8,2021
3,Jimmy Garoppolo,17,28,60.7,322,11.5,0,0,0,5,4,2,0,1,27.3,27.3,23.3,SF,QB,8,2021
4,Tom Brady,28,40,70.0,375,9.4,4,2,3,1,2,0,1,1,27.2,27.2,99.1,FA,QB,8,2021
5,Justin Fields,19,27,70.4,175,6.5,1,1,4,10,103,1,0,1,26.3,26.3,21.0,CHI,QB,8,2021
6,Matthew Stafford,21,32,65.6,305,9.5,3,0,0,0,0,0,0,1,24.2,24.2,97.2,LAR,QB,8,2021
7,Ryan Tannehill,23,33,69.7,265,8.0,3,2,3,2,26,0,0,1,23.2,23.2,62.7,TEN,QB,8,2021
8,Geno Smith,20,24,83.3,195,8.1,2,0,3,2,8,1,0,1,22.6,22.6,0.6,SEA,QB,8,2021
9,Davis Mills,29,38,76.3,310,8.2,2,1,5,0,0,0,0,1,21.4,21.4,3.7,HOU,QB,8,2021
10,Joe Burrow,21,34,61.8,259,7.6,3,1,3,1,-1,0,0,1,21.3,21.3,88.3,CIN,QB,8,2021
11,Carson Wentz,27,51,52.9,231,4.5,3,2,1,3,11,0,0,1,20.3,20.3,44.0,IND,QB,8,2021
12,Cooper Rush,24,40,60.0,325,8.1,2,1,3,1,2,0,1,1,18.2,18.2,0.3,DAL,QB,8,2021
13,Daniel Jones,22,32,68.8,222,6.9,2,1,3,5,12,0,0,1,17.1,17.1,13.6,NYG,QB,8,2021
14,Tua Tagovailoa,21,39,53.8,205,5.3,0,1,2,4,10,1,0,1,16.2,16.2,44.2,MIA,QB,8,2021
15,Justin Herbert,18,35,51.4,223,6.4,2,2,3,2,9,0,0,1,15.8,15.8,98.8,LAC,QB,8,2021
16,Aaron Rodgers,22,37,59.5,184,5.0,2,0,1,2,3,0,0,1,15.7,15.7,97.4,GB,QB,8,2021
17,Patrick Mahomes II,29,48,60.4,275,5.7,1,1,2,3,10,0,0,1,15.0,15.0,100.0,KC,QB,8,2021
18,Ben Roethlisberger,22,34,64.7,266,7.8,1,0,2,1,0,0,0,1,14.6,14.6,23.8,FA,QB,8,2021
19,Taylor Heinicke,24,39,61.5,270,6.9,1,2,5,1,10,0,0,1,13.8,13.8,21.2,WAS,QB,8,2021
20,Trevor Lawrence,32,54,59.3,238,4.4,1,1,1,3,11,0,0,1,13.6,13.6,23.9,JAC,QB,8,2021
21,Kirk Cousins,23,35,65.7,184,5.3,1,0,1,3,18,0,0,1,13.2,13.2,70.7,MIN,QB,8,2021
22,Teddy Bridgewater,19,26,73.1,213,8.2,1,0,4,1,1,0,0,1,12.6,12.6,15.6,DEN,QB,8,2021
23,Sam Darnold,13,24,54.2,129,5.4,0,0,0,8,66,0,0,1,11.8,11.8,5.5,CAR,QB,8,2021
24,Mac Jones,18,35,51.4,217,6.2,0,0,1,4,10,0,0,1,11.7,11.7,28.5,NE,QB,8,2021
