rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Josh Allen,29.0,42.0,69.0,249.0,5.9,2.0,0.0,0.0,8.0,55.0,1.0,0.0,1.0,29.5,29.5,100.0,BUF,QB,8,2021
2.0,Mike White,37.0,45.0,82.2,405.0,9.0,3.0,2.0,2.0,5.0,-1.0,0.0,0.0,1.0,28.1,28.1,0.8,NYJ,QB,8,2021
3.0,Jimmy Garoppolo,17.0,28.0,60.7,322.0,11.5,0.0,0.0,0.0,5.0,4.0,2.0,0.0,1.0,27.3,27.3,23.3,SF,QB,8,2021
4.0,Tom Brady,28.0,40.0,70.0,375.0,9.4,4.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,27.2,27.2,99.1,TB,QB,8,2021
5.0,Justin Fields,19.0,27.0,70.4,175.0,6.5,1.0,1.0,4.0,10.0,103.0,1.0,0.0,1.0,26.3,26.3,21.0,CHI,QB,8,2021
6.0,Matthew Stafford,21.0,32.0,65.6,305.0,9.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.2,24.2,97.2,LAR,QB,8,2021
7.0,Ryan Tannehill,23.0,33.0,69.7,265.0,8.0,3.0,2.0,3.0,2.0,26.0,0.0,0.0,1.0,23.2,23.2,62.7,TEN,QB,8,2021
8.0,Geno Smith,20.0,24.0,83.3,195.0,8.1,2.0,0.0,3.0,2.0,8.0,1.0,0.0,1.0,22.6,22.6,0.6,SEA,QB,8,2021
9.0,Davis Mills,29.0,38.0,76.3,310.0,8.2,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,21.4,21.4,3.7,HOU,QB,8,2021
10.0,Joe Burrow,21.0,34.0,61.8,259.0,7.6,3.0,1.0,3.0,1.0,-1.0,0.0,0.0,1.0,21.3,21.3,88.3,CIN,QB,8,2021
11.0,Carson Wentz,27.0,51.0,52.9,231.0,4.5,3.0,2.0,1.0,3.0,11.0,0.0,0.0,1.0,20.3,20.3,44.0,IND,QB,8,2021
12.0,Cooper Rush,24.0,40.0,60.0,325.0,8.1,2.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,18.2,18.2,0.3,DAL,QB,8,2021
13.0,Daniel Jones,22.0,32.0,68.8,222.0,6.9,2.0,1.0,3.0,5.0,12.0,0.0,0.0,1.0,17.1,17.1,13.6,NYG,QB,8,2021
14.0,Tua Tagovailoa,21.0,39.0,53.8,205.0,5.3,0.0,1.0,2.0,4.0,10.0,1.0,0.0,1.0,16.2,16.2,44.2,MIA,QB,8,2021
15.0,Justin Herbert,18.0,35.0,51.4,223.0,6.4,2.0,2.0,3.0,2.0,9.0,0.0,0.0,1.0,15.8,15.8,98.8,LAC,QB,8,2021
16.0,Aaron Rodgers,22.0,37.0,59.5,184.0,5.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,15.7,15.7,97.4,GB,QB,8,2021
17.0,Patrick Mahomes II,29.0,48.0,60.4,275.0,5.7,1.0,1.0,2.0,3.0,10.0,0.0,0.0,1.0,15.0,15.0,100.0,KC,QB,8,2021
18.0,Ben Roethlisberger,22.0,34.0,64.7,266.0,7.8,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,14.6,14.6,23.8,PIT,QB,8,2021
