rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Sam Darnold,26.0,39.0,66.7,301.0,7.7,2.0,2.0,5.0,6.0,35.0,2.0,0.0,1.0,33.5,33.5,5.5,CAR,QB,4,2021
2.0,Patrick Mahomes II,24.0,30.0,80.0,267.0,8.9,5.0,1.0,1.0,5.0,26.0,0.0,0.0,1.0,32.3,32.3,100.0,KC,QB,4,2021
3.0,Matt Ryan,25.0,42.0,59.5,283.0,6.7,4.0,0.0,1.0,1.0,17.0,0.0,0.0,1.0,29.0,29.0,36.3,ATL,QB,4,2021
4.0,Jalen Hurts,32.0,48.0,66.7,387.0,8.1,2.0,0.0,3.0,8.0,47.0,0.0,0.0,1.0,28.2,28.2,94.4,PHI,QB,4,2021
5.0,Taylor Heinicke,23.0,33.0,69.7,290.0,8.8,3.0,0.0,1.0,5.0,43.0,0.0,0.0,1.0,27.9,27.9,21.2,WAS,QB,4,2021
6.0,Daniel Jones,28.0,40.0,70.0,402.0,10.1,2.0,1.0,0.0,4.0,27.0,0.0,0.0,1.0,27.8,27.8,13.6,NYG,QB,4,2021
7.0,Dak Prescott,14.0,22.0,63.6,188.0,8.5,4.0,0.0,0.0,4.0,35.0,0.0,0.0,1.0,27.0,27.0,98.2,DAL,QB,4,2021
8.0,Aaron Rodgers,20.0,36.0,55.6,248.0,6.9,2.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,24.1,24.1,97.4,GB,QB,4,2021
9.0,Kyler Murray,24.0,32.0,75.0,268.0,8.4,2.0,0.0,3.0,6.0,39.0,0.0,0.0,1.0,22.6,22.6,99.3,ARI,QB,4,2021
10.0,Russell Wilson,16.0,23.0,69.6,149.0,6.5,2.0,0.0,3.0,4.0,26.0,1.0,0.0,1.0,22.6,22.6,90.4,SEA,QB,4,2021
11.0,Joe Burrow,25.0,32.0,78.1,348.0,10.9,2.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,22.3,22.3,88.3,CIN,QB,4,2021
12.0,Justin Herbert,25.0,38.0,65.8,222.0,5.8,3.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,21.3,21.3,98.8,LAC,QB,4,2021
13.0,Josh Allen,20.0,30.0,66.7,248.0,8.3,2.0,1.0,1.0,6.0,41.0,0.0,0.0,1.0,21.0,21.0,100.0,BUF,QB,4,2021
14.0,Trey Lance,9.0,18.0,50.0,157.0,8.7,2.0,0.0,1.0,7.0,41.0,0.0,0.0,1.0,20.4,20.4,26.3,SF,QB,4,2021
15.0,Matthew Stafford,26.0,41.0,63.4,280.0,6.8,2.0,1.0,0.0,6.0,21.0,0.0,0.0,1.0,20.3,20.3,97.2,LAR,QB,4,2021
16.0,Lamar Jackson,22.0,37.0,59.5,316.0,8.5,1.0,0.0,3.0,7.0,28.0,0.0,0.0,1.0,19.4,19.4,94.0,BAL,QB,4,2021
17.0,Ryan Tannehill,30.0,49.0,61.2,298.0,6.1,1.0,0.0,7.0,3.0,9.0,0.0,0.0,1.0,18.8,18.8,62.7,TEN,QB,4,2021
