rank,player,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_td,passing_int,sacked,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Kyler Murray,11,15,73.3,123,8.2,2,0,1,10,59,2,0,1,30.8,30.8,99.3,ARI,QB,13,2021
2,Tom Brady,38,51,74.5,368,7.2,4,1,0,1,-1,0,0,1,29.6,29.6,99.1,TB,QB,13,2021
3,Justin Herbert,26,35,74.3,317,9.1,3,1,4,1,6,0,0,1,26.3,26.3,98.8,LAC,QB,13,2021
4,Taysom Hill,19,41,46.3,264,6.4,2,4,2,11,101,0,0,1,24.7,24.7,53.2,NO,QB,13,2021
5,Matthew Stafford,26,38,68.4,295,7.8,3,0,1,1,2,0,0,1,24.0,24.0,97.2,LAR,QB,13,2021
6,Zach Wilson,23,38,60.5,226,5.9,2,1,2,3,0,1,0,1,22.0,22.0,6.6,NYJ,QB,13,2021
7,Jared Goff,25,41,61.0,296,7.2,3,1,3,2,1,0,1,1,20.9,20.9,5.3,DET,QB,13,2021
8,Kirk Cousins,30,40,75.0,340,8.5,2,0,3,2,6,0,1,1,20.2,20.2,70.7,MIN,QB,13,2021
9,Ben Roethlisberger,21,31,67.7,236,7.6,2,0,1,1,-1,0,0,1,19.3,19.3,23.8,PIT,QB,13,2021
10,Gardner Minshew II,20,25,80.0,242,9.7,2,0,2,4,11,0,0,1,18.8,18.8,2.2,PHI,QB,13,2021
11,Joe Burrow,24,40,60.0,300,7.5,1,2,6,1,6,1,1,1,18.6,18.6,88.3,CIN,QB,13,2021
12,Lamar Jackson,23,37,62.2,253,6.8,1,1,7,8,55,0,0,1,18.6,18.6,94.0,BAL,QB,13,2021
13,Jimmy Garoppolo,20,30,66.7,299,10.0,2,2,1,2,0,0,0,1,18.0,18.0,23.3,SF,QB,13,2021
14,Tua Tagovailoa,30,41,73.2,244,6.0,2,0,2,2,1,0,0,1,17.9,17.9,44.2,MIA,QB,13,2021
15,Russell Wilson,30,37,81.1,231,6.2,2,1,4,3,15,0,0,1,17.7,17.7,90.4,SEA,QB,13,2021
16,Taylor Heinicke,23,30,76.7,196,6.5,2,1,1,3,10,0,0,1,15.8,15.8,21.2,WAS,QB,13,2021
17,Andy Dalton,26,41,63.4,229,5.6,2,4,3,2,6,0,0,1,15.8,15.8,1.6,CHI,QB,13,2021
18,Teddy Bridgewater,22,40,55.0,257,6.4,1,2,1,4,17,0,0,1,14.0,14.0,15.6,DEN,QB,13,2021
19,Patrick Mahomes II,15,29,51.7,184,6.3,0,1,1,4,12,1,0,1,13.6,13.6,100.0,KC,QB,13,2021
20,Derek Carr,28,38,73.7,249,6.6,0,0,2,2,24,0,0,1,12.4,12.4,58.1,LV,QB,13,2021
21,Dak Prescott,26,40,65.0,238,6.0,1,1,1,3,-3,0,0,1,12.2,12.2,98.2,DAL,QB,13,2021
22,Matt Ryan,30,41,73.2,297,7.2,0,0,5,3,2,0,0,1,12.1,12.1,36.3,ATL,QB,13,2021
23,Josh Allen,15,30,50.0,145,4.8,1,0,2,6,39,0,1,1,11.7,11.7,100.0,BUF,QB,13,2021
24,Carson Wentz,16,22,72.7,158,7.2,1,0,1,3,8,0,0,1,11.1,11.1,44.0,IND,QB,13,2021
25,Trevor Lawrence,16,28,57.1,145,5.2,0,0,2,4,10,0,0,1,6.8,6.8,23.9,JAC,QB,13,2021
26,Mike Glennon,23,44,52.3,187,4.3,0,1,3,0,0,0,0,1,6.5,6.5,0.8,NYG,QB,13,2021
27,Davis Mills,6,14,42.9,49,3.5,0,0,2,2,11,0,0,1,3.1,3.1,3.7,HOU,QB,13,2021
28,Tyrod Taylor,5,13,38.5,45,3.5,0,1,2,3,15,0,0,1,2.3,2.3,4.9,HOU,QB,13,2021
29,Mac Jones,2,3,66.7,19,6.3,0,0,0,5,-3,0,0,1,0.5,0.5,28.5,NE,QB,13,2021
30,C.J. Beathard,0,0,0.0,0,0.0,0,0,0,1,2,0,0,1,0.2,0.2,0.0,JAC,QB,13,2021
31,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TB,QB,13,2021
32,Ben DiNucci,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,QB,13,2021
33,Reid Sinnett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PHI,QB,13,2021
34,Jalen Morton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,QB,13,2021
35,Justin Fields,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,21.0,CHI,QB,13,2021
36,Feleipe Franks,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,QB,13,2021
37,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,26.3,SF,QB,13,2021
38,Ian Book,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,NO,QB,13,2021
39,Chris Streveler,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MIA,QB,13,2021
40,Steven Montez,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DET,QB,13,2021
41,Daniel Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,13.6,NYG,QB,13,2021
42,John Wolford,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,LAR,QB,13,2021
43,Dwayne Haskins,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,PIT,QB,13,2021
44,Drew Lock,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.5,DEN,QB,13,2021
45,Will Grier,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DAL,QB,13,2021
46,Brett Rypien,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DEN,QB,13,2021
47,Alex McGough,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,SEA,QB,13,2021
