rank,player,passing_cmp,passing_att,passing_pct,passing_yds,passing_ya,passing_td,passing_int,passing_sacks,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Justin Herbert,26,43,60.5,398,9.3,4,0,2,4,29,1,0,1,42.8,42.8,98.8,LAC,5,QB
2,Lamar Jackson,37,43,86.0,442,10.3,4,0,2,14,62,0,1,1,41.9,41.9,94.0,BAL,5,QB
3,Tom Brady,30,41,73.2,411,10.0,5,0,2,1,13,0,0,1,37.7,37.7,99.1,FA,5,QB
4,Josh Allen,15,26,57.7,315,12.1,3,0,0,11,59,1,0,1,36.5,36.5,100.0,BUF,5,QB
5,Jameis Winston,15,30,50.0,279,9.3,4,1,2,6,26,0,1,1,26.8,26.8,5.2,NO,5,QB
6,Davis Mills,21,29,72.4,312,10.8,3,0,3,1,2,0,0,1,24.7,24.7,3.7,HOU,5,QB
7,Jalen Hurts,22,37,59.5,198,5.4,0,1,2,9,30,2,0,1,23.9,23.9,94.4,PHI,5,QB
8,Baker Mayfield,23,32,71.9,305,9.5,2,0,1,2,8,0,0,1,23.0,23.0,26.4,CLE,5,QB
9,Trevor Lawrence,23,33,69.7,273,8.3,1,1,2,7,28,1,0,1,22.7,22.7,23.9,JAC,5,QB
10,Carson Wentz,25,35,71.4,402,11.5,2,0,2,2,5,0,1,1,22.6,22.6,44.0,IND,5,QB
11,Dak Prescott,22,32,68.8,302,9.4,3,1,2,2,6,0,1,1,21.7,21.7,98.2,DAL,5,QB
12,Matt Ryan,33,45,73.3,342,7.6,2,0,0,1,-1,0,0,1,21.6,21.6,36.3,ATL,5,QB
13,Patrick Mahomes II,33,54,61.1,272,5.0,2,2,2,8,61,0,1,1,21.0,21.0,100.0,KC,5,QB
14,Aaron Rodgers,27,39,69.2,344,8.8,2,1,2,0,0,0,0,1,20.8,20.8,97.4,GB,5,QB
15,Joe Burrow,26,38,68.4,281,7.4,2,2,3,3,11,0,0,1,20.3,20.3,88.3,CIN,5,QB
16,Teddy Bridgewater,24,38,63.2,288,7.6,2,1,2,1,11,0,0,1,19.6,19.6,15.6,DEN,5,QB
17,Matthew Stafford,25,37,67.6,365,9.9,1,1,1,1,-1,0,0,1,17.5,17.5,97.2,LAR,5,QB
18,Ben Roethlisberger,15,25,60.0,253,10.1,2,0,1,1,-1,0,1,1,16.0,16.0,23.8,FA,5,QB
19,Jacoby Brissett,27,39,69.2,275,7.1,2,1,3,0,0,0,1,1,16.0,16.0,0.6,MIA,5,QB
20,Trey Lance,15,29,51.7,192,6.6,0,1,2,16,89,0,0,1,15.6,15.6,26.3,SF,5,QB
21,Kirk Cousins,25,34,73.5,275,8.1,1,1,2,1,4,0,0,1,14.4,14.4,70.7,MIN,5,QB
22,Ryan Tannehill,14,22,63.6,197,9.0,1,0,3,3,21,0,0,1,14.0,14.0,62.7,TEN,5,QB
23,Kyler Murray,22,31,71.0,239,7.7,1,0,2,7,1,0,0,1,13.7,13.7,99.3,ARI,5,QB
24,Mac Jones,23,30,76.7,231,7.7,1,1,1,1,3,0,0,1,12.5,12.5,28.5,NE,5,QB
25,Taylor Heinicke,20,41,48.8,248,6.0,0,2,2,5,40,0,0,1,11.9,11.9,21.2,WAS,5,QB
26,Geno Smith,10,17,58.8,131,7.7,1,1,0,3,23,0,0,1,10.5,10.5,0.6,SEA,5,QB
27,Russell Wilson,11,16,68.8,152,9.5,1,1,2,2,10,0,0,1,10.1,10.1,90.4,SEA,5,QB
28,Mike Glennon,16,25,64.0,196,7.8,1,2,0,2,2,0,0,1,10.0,10.0,0.8,NYG,5,QB
29,Sam Darnold,21,37,56.8,177,4.8,1,3,3,2,10,0,0,1,9.1,9.1,5.5,CAR,5,QB
30,Zach Wilson,19,32,59.4,192,6.0,0,1,2,1,3,0,0,1,9.0,9.0,6.6,NYJ,5,QB
31,Justin Fields,12,20,60.0,111,5.6,1,0,2,3,4,0,0,1,8.8,8.8,21.0,CHI,5,QB
32,Derek Carr,22,35,62.9,206,5.9,0,1,3,3,10,0,0,1,8.2,8.2,58.1,LV,5,QB
33,Jared Goff,21,35,60.0,203,5.8,0,1,4,0,0,0,1,1,7.1,7.1,5.3,DET,5,QB
34,Daniel Jones,5,13,38.5,98,7.5,0,0,0,3,9,0,0,1,4.8,4.8,13.6,NYG,5,QB
35,Blaine Gabbert,3,3,100.0,41,13.7,0,0,0,3,-1,0,0,1,1.5,1.5,0.1,TB,5,QB
36,Taysom Hill,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1.1,1.1,53.2,NO,5,QB
37,Andy Dalton,1,1,100.0,8,8.0,0,0,0,0,0,0,0,1,0.3,0.3,1.6,CHI,5,QB
38,Nathan Peterman,0,0,0.0,0,0.0,0,0,0,2,2,0,0,1,0.2,0.2,0.1,FA,5,QB
39,Feleipe Franks,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,5,QB
40,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TB,5,QB
41,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,IND,5,QB
42,Ben DiNucci,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,5,QB
43,Jalen Morton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,5,QB
44,Reid Sinnett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PHI,5,QB
45,Ian Book,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,NO,5,QB
46,Drew Lock,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.5,DEN,5,QB
