team,games,first_downs_total_against,first_downs_rush_against,first_downs_pass_against,first_downs_penalty_against,third_downs_made_against,third_downs_att_against,third_downs_percentage_against,fourth_downs_made_against,fourth_downs_att_against,fourth_downs_percentage_against,penalties,penalties_yds,year
CHI,16,278,67,186,25,75,219,34.3,16,28,57.1,114,1022,2018
BAL,16,286,82,174,30,72,211,34.1,10,20,50.0,113,1017,2018
JAC,16,288,89,162,37,80,212,37.7,3,12,25.0,92,735,2018
BUF,16,293,111,157,25,74,203,36.5,6,11,54.6,99,976,2018
TEN,16,298,98,182,18,75,205,36.6,11,20,55.0,120,984,2018
HOU,16,298,76,200,22,91,227,40.1,12,20,60.0,117,945,2018
MIN,16,303,107,160,36,58,190,30.5,9,19,47.4,106,834,2018
PHI,16,308,71,215,22,71,201,35.3,11,19,57.9,115,995,2018
DAL,16,309,89,193,27,85,201,42.3,6,14,42.9,89,681,2018
LAC,16,311,101,178,32,79,202,39.1,11,20,55.0,103,828,2018
DET,16,315,88,191,36,69,186,37.1,9,17,52.9,94,886,2018
IND,16,315,87,203,25,82,200,41.0,7,15,46.7,131,1115,2018
CAR,16,315,110,185,20,73,183,39.9,10,17,58.8,91,805,2018
LV,16,317,108,178,31,93,201,46.3,8,12,66.7,117,991,2018
PIT,16,317,84,200,33,72,197,36.6,7,13,53.9,136,1170,2018
DEN,16,318,85,197,36,82,211,38.9,6,11,54.6,123,1006,2018
LAR,16,322,101,185,36,70,188,37.2,9,15,60.0,99,852,2018
NE,16,322,93,208,21,76,197,38.6,6,16,37.5,91,838,2018
SEA,16,323,91,201,31,64,183,35.0,6,13,46.2,108,981,2018
WAS,16,330,109,197,24,86,196,43.9,5,13,38.5,102,791,2018
GB,16,331,100,199,32,79,212,37.3,12,18,66.7,97,792,2018
NO,16,333,72,224,37,78,189,41.3,14,29,48.3,85,814,2018
SF,16,337,104,195,38,87,216,40.3,10,17,58.8,117,1011,2018
NYJ,16,343,104,201,38,72,213,33.8,9,14,64.3,95,817,2018
NYG,16,346,103,205,38,87,206,42.2,14,17,82.4,110,919,2018
MIA,16,350,116,195,39,84,196,42.9,6,15,40.0,107,856,2018
TB,16,356,122,209,25,73,181,40.3,7,14,50.0,127,1156,2018
ARI,16,357,139,186,32,78,205,38.1,8,13,61.5,100,790,2018
CIN,16,372,125,221,26,109,223,48.9,11,17,64.7,113,944,2018
ATL,16,375,115,226,34,95,195,48.7,10,13,76.9,108,1001,2018
CLE,16,377,130,216,31,75,210,35.7,13,20,65.0,119,990,2018
KC,16,419,129,247,43,80,193,41.5,18,27,66.7,107,881,2018
