rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Michael Gallup,5,7,98,19.6,45,2,3,0,0,0,0,1,27.8,27.8,72.8,DAL,WR,17,2019
2,Deebo Samuel,5,5,102,20.4,30,3,0,2,33,1,0,1,19.5,19.5,98.8,SF,WR,17,2019
3,Breshad Perriman,5,8,134,26.8,37,4,1,0,0,0,0,1,19.4,19.4,2.5,TB,WR,17,2019
4,A.J. Brown,4,8,124,31.0,51,3,1,0,0,0,0,1,18.4,18.4,97.8,TEN,WR,17,2019
5,Hunter Renfrow,6,9,102,17.0,39,3,1,0,0,0,0,1,16.2,16.2,89.8,LV,WR,17,2019
6,Cooper Kupp,7,10,99,14.1,24,2,1,0,0,0,0,1,15.9,15.9,100.0,LAR,WR,17,2019
7,Davante Adams,7,13,93,13.3,33,2,1,0,0,0,0,1,15.3,15.3,100.0,GB,WR,17,2019
8,Dede Westbrook,7,8,72,10.3,18,0,1,0,0,0,0,1,15.2,15.2,0.1,MIN,WR,17,2019
9,Jarvis Landry,2,6,82,41.0,56,2,1,0,0,0,0,1,14.2,14.2,72.5,CLE,WR,17,2019
10,Keenan Allen,9,10,82,9.1,13,0,1,0,0,0,0,1,14.2,14.2,99.3,LAC,WR,17,2019
11,Odell Beckham Jr.,3,6,81,27.0,36,3,1,0,0,0,0,1,14.1,14.1,90.8,LAR,WR,17,2019
12,D.K. Metcalf,6,12,81,13.5,24,1,1,0,0,0,0,1,14.1,14.1,98.9,SEA,WR,17,2019
13,DeVante Parker,8,11,137,17.1,28,4,0,0,0,0,0,1,13.7,13.7,64.3,MIA,WR,17,2019
14,Robert Woods,7,12,67,9.6,37,1,1,1,9,0,0,1,13.6,13.6,29.9,LAR,WR,17,2019
15,Steven Sims Jr.,5,8,81,16.2,65,1,1,1,-6,0,0,1,13.5,13.5,0.0,PIT,WR,17,2019
16,Allen Lazard,4,8,69,17.3,28,1,1,0,0,0,0,1,12.9,12.9,23.4,GB,WR,17,2019
17,Golden Tate,5,8,68,13.6,20,3,1,0,0,0,0,1,12.8,12.8,0.1,FA,WR,17,2019
18,Keelan Cole Sr.,3,4,67,22.3,45,1,1,0,0,0,0,1,12.7,12.7,1.0,NYJ,WR,17,2019
19,Jamison Crowder,8,10,66,8.3,21,1,1,0,0,0,0,1,12.6,12.6,23.6,NYJ,WR,17,2019
20,Damion Ratley,2,3,64,32.0,46,1,1,0,0,0,0,1,12.4,12.4,0.0,FA,WR,17,2019
21,Tre'Quan Smith,5,5,56,11.2,32,1,1,0,0,0,0,1,11.6,11.6,7.5,NO,WR,17,2019
22,Damiere Byrd,7,8,74,10.6,33,1,1,0,0,0,1,1,11.4,11.4,0.1,CHI,WR,17,2019
23,Tyler Lockett,6,7,51,8.5,14,0,1,0,0,0,0,1,11.1,11.1,97.5,SEA,WR,17,2019
24,Duke Williams,6,12,108,18.0,41,2,0,0,0,0,0,1,10.8,10.8,0.0,FA,WR,17,2019
25,Amari Cooper,4,5,92,23.0,48,2,0,1,6,0,0,1,9.8,9.8,97.7,DAL,WR,17,2019
26,Brandon Zylstra,6,8,96,16.0,40,2,0,0,0,0,0,1,9.6,9.6,0.1,CAR,WR,17,2019
27,Mecole Hardman,1,1,30,30.0,30,1,0,0,0,0,0,1,9.0,9.0,29.2,KC,WR,17,2019
28,Demarcus Robinson,1,2,24,24.0,24,1,1,0,0,0,0,1,8.4,8.4,0.8,KC,WR,17,2019
29,Randall Cobb,5,6,81,16.2,32,1,0,0,0,0,0,1,8.1,8.1,7.6,GB,WR,17,2019
30,Julio Jones,7,13,78,11.1,29,1,0,0,0,0,0,1,7.8,7.8,60.7,TEN,WR,17,2019
31,Allen Robinson II,9,12,71,7.9,18,0,0,1,2,0,0,1,7.3,7.3,53.7,CHI,WR,17,2019
32,Kenny Golladay,3,4,72,24.0,42,1,0,0,0,0,0,1,7.2,7.2,51.8,NYG,WR,17,2019
33,T.Y. Hilton,3,3,72,24.0,33,2,0,0,0,0,0,1,7.2,7.2,16.8,IND,WR,17,2019
34,Russell Gage,7,13,68,9.7,13,0,0,0,0,0,0,1,6.8,6.8,60.2,ATL,WR,17,2019
35,Albert Wilson,5,8,59,11.8,24,1,0,0,0,0,0,1,6.7,6.7,0.8,MIA,WR,17,2019
36,Christian Kirk,7,10,60,8.6,16,0,0,1,6,0,0,1,6.6,6.6,79.5,ARI,WR,17,2019
37,Isaiah Ford,7,9,54,7.7,15,0,0,1,11,0,0,1,6.5,6.5,0.0,MIA,WR,17,2019
38,DeAndre Carter,6,7,65,10.8,21,2,0,0,0,0,0,1,6.5,6.5,1.8,WAS,WR,17,2019
39,DaeSean Hamilton,5,6,65,13.0,17,0,0,0,0,0,0,1,6.5,6.5,0.0,DEN,WR,17,2019
40,Danny Amendola,2,4,16,8.0,9,0,0,0,0,0,0,1,6.4,6.4,0.1,HOU,WR,17,2019
41,Tyreek Hill,4,5,61,15.3,47,1,0,0,0,0,0,1,6.1,6.1,100.0,KC,WR,17,2019
42,Tyler Boyd,5,7,59,11.8,22,1,0,0,0,0,0,1,5.9,5.9,71.3,CIN,WR,17,2019
43,Vyncint Smith,3,4,36,12.0,16,0,0,1,20,0,0,1,5.6,5.6,0.0,TB,WR,17,2019
44,Riley Ridley,3,4,54,18.0,32,1,0,0,0,0,0,1,5.4,5.4,0.0,FA,WR,17,2019
45,Diontae Johnson,4,7,54,13.5,21,1,0,0,0,0,0,1,5.4,5.4,98.1,PIT,WR,17,2019
46,Courtland Sutton,4,8,52,13.0,19,0,0,0,0,0,0,1,5.2,5.2,67.5,DEN,WR,17,2019
47,Phillip Dorsett II,1,4,50,50.0,50,1,0,0,0,0,0,1,5.0,5.0,0.0,HOU,WR,17,2019
48,Darius Slayton,4,9,50,12.5,33,1,0,0,0,0,0,1,5.0,5.0,4.3,NYG,WR,17,2019
49,Deontay Burnett,2,4,48,24.0,41,1,0,0,0,0,0,1,4.8,4.8,0.0,FA,WR,17,2019
50,Alexander Hollins,2,3,46,23.0,35,1,0,0,0,0,0,1,4.6,4.6,0.0,FA,WR,17,2019
51,Larry Fitzgerald,4,7,45,11.3,23,1,0,0,0,0,0,1,4.5,4.5,0.3,FA,WR,17,2019
52,Corey Davis,4,5,44,11.0,16,0,0,0,0,0,0,1,4.4,4.4,29.9,NYJ,WR,17,2019
53,Greg Ward,6,7,43,7.2,15,0,0,0,0,0,0,1,4.3,4.3,0.1,PHI,WR,17,2019
54,Brandin Cooks,3,5,40,13.3,22,1,0,0,0,0,0,1,4.0,4.0,92.7,HOU,WR,17,2019
55,John Ross,2,5,42,21.0,28,1,0,1,-2,0,0,1,4.0,4.0,0.1,NYG,WR,17,2019
56,Justin Hardy,3,3,40,13.3,21,1,0,0,0,0,0,1,4.0,4.0,0.0,FA,WR,17,2019
57,Sterling Shepard,5,10,39,7.8,17,0,0,0,0,0,0,1,3.9,3.9,23.7,NYG,WR,17,2019
58,Chris Conley,3,6,38,12.7,17,0,0,0,0,0,0,1,3.8,3.8,0.4,HOU,WR,17,2019
59,N'Keal Harry,3,7,29,9.7,18,0,0,1,9,0,0,1,3.8,3.8,0.2,NE,WR,17,2019
60,Mike Williams,2,5,38,19.0,22,1,0,0,0,0,0,1,3.8,3.8,91.9,LAC,WR,17,2019
61,Isaiah McKenzie,2,5,7,3.5,12,0,0,2,30,0,0,1,3.7,3.7,5.5,BUF,WR,17,2019
62,Steven Mitchell Jr.,2,5,37,18.5,21,1,0,0,0,0,0,1,3.7,3.7,0.0,FA,WR,17,2019
63,Michael Thomas,4,9,37,9.3,14,0,0,0,0,0,0,1,3.7,3.7,20.6,NO,WR,17,2019
64,Mohamed Sanu Sr.,3,5,35,11.7,22,1,0,0,0,0,0,1,3.5,3.5,0.1,SF,WR,17,2019
65,Bisi Johnson,3,4,34,11.3,14,0,0,0,0,0,0,1,3.4,3.4,0.0,MIN,WR,17,2019
66,D.J. Chark Jr.,4,5,34,8.5,19,0,0,0,0,0,0,1,3.4,3.4,17.9,JAC,WR,17,2019
67,Kelvin Harmon,3,5,33,11.0,25,1,0,0,0,0,0,1,3.3,3.3,0.0,WAS,WR,17,2019
68,Marcus Johnson,2,4,31,15.5,16,0,0,0,0,0,0,1,3.1,3.1,0.6,TEN,WR,17,2019
69,DeAndrew White,2,5,31,15.5,18,0,0,0,0,0,0,1,3.1,3.1,0.0,FA,WR,17,2019
70,David Moore,2,2,30,15.0,17,0,0,0,0,0,0,1,3.0,3.0,0.0,FA,WR,17,2019
71,Justin Watson,2,4,27,13.5,17,0,0,0,0,0,0,1,2.7,2.7,0.0,KC,WR,17,2019
72,Julian Edelman,3,7,26,8.7,14,0,0,0,0,0,0,1,2.6,2.6,13.1,FA,WR,17,2019
73,Marcell Ateman,3,7,46,15.3,20,1,0,0,0,0,1,1,2.6,2.6,0.0,FA,WR,17,2019
74,Emmanuel Sanders,3,4,25,8.3,12,0,0,0,0,0,0,1,2.5,2.5,46.6,BUF,WR,17,2019
75,Pharoh Cooper,1,2,24,24.0,24,1,0,0,0,0,0,1,2.4,2.4,0.1,FA,WR,17,2019
76,Javon Wims,3,7,23,7.7,17,0,0,0,0,0,0,1,2.3,2.3,0.0,LV,WR,17,2019
77,Willie Snead IV,3,5,22,7.3,10,0,0,1,0,0,0,1,2.2,2.2,0.1,FA,WR,17,2019
78,Olamide Zaccheaus,2,2,22,11.0,11,0,0,0,0,0,0,1,2.2,2.2,0.8,ATL,WR,17,2019
79,Zay Jones,2,2,21,10.5,16,0,0,0,0,0,0,1,2.1,2.1,6.0,LV,WR,17,2019
80,Alex Erickson,1,4,16,16.0,16,0,0,1,5,0,0,1,2.1,2.1,0.0,CAR,WR,17,2019
81,KhaDarel Hodge,1,2,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.1,DET,WR,17,2019
82,Marquez Valdes-Scantling,2,7,19,9.5,11,0,0,0,0,0,0,1,1.9,1.9,36.0,GB,WR,17,2019
83,Robby Anderson,3,7,18,6.0,11,0,0,0,0,0,0,1,1.8,1.8,42.2,CAR,WR,17,2019
84,Geronimo Allison,3,4,17,5.7,7,0,0,0,0,0,0,1,1.7,1.7,0.0,FA,WR,17,2019
85,Rashard Davis,1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.0,FA,WR,17,2019
86,Marquise Brown,2,2,15,7.5,8,0,0,0,0,0,0,1,1.5,1.5,92.8,BAL,WR,17,2019
87,Zach Pascal,1,3,10,10.0,10,0,0,1,4,0,0,1,1.4,1.4,3.5,IND,WR,17,2019
88,Chris Hogan,2,4,14,7.0,9,0,0,0,0,0,0,1,1.4,1.4,0.0,FA,WR,17,2019
89,Cordarrelle Patterson,0,0,0,0.0,0,0,0,2,14,0,0,1,1.4,1.4,95.1,ATL,WR,17,2019
90,Tim Patrick,1,2,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,17.6,DEN,WR,17,2019
91,Curtis Samuel,2,4,13,6.5,11,0,0,0,0,0,0,1,1.3,1.3,15.7,WAS,WR,17,2019
92,Tajae Sharpe,1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,1.1,ATL,WR,17,2019
93,Deonte Harty,0,0,0,0.0,0,0,0,2,13,0,0,1,1.3,1.3,8.7,NO,WR,17,2019
94,Chris Lacy,2,7,12,6.0,7,0,0,0,0,0,0,1,1.2,1.2,0.0,FA,WR,17,2019
95,Cody Latimer,2,3,12,6.0,9,0,0,0,0,0,0,1,1.2,1.2,0.0,FA,WR,17,2019
96,Cam Sims,1,2,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,0.1,WAS,WR,17,2019
97,Braxton Berrios,1,2,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,6.3,NYJ,WR,17,2019
98,John Ursua,1,1,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,0.0,SEA,WR,17,2019
99,Ted Ginn Jr.,1,2,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.0,FA,WR,17,2019
100,Jarius Wright,2,5,10,5.0,6,0,0,0,0,0,0,1,1.0,1.0,0.0,FA,WR,17,2019
101,Sammy Watkins,1,2,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,7.0,BAL,WR,17,2019
102,Keke Coutee,1,3,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0,IND,WR,17,2019
103,Jake Kumerow,1,2,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.1,BUF,WR,17,2019
104,JuJu Smith-Schuster,2,6,6,3.0,11,0,0,0,0,0,0,1,0.6,0.6,18.5,FA,WR,17,2019
105,Dontrelle Inman,1,3,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0,FA,WR,17,2019
106,Jaleel Scott,1,3,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0,FA,WR,17,2019
107,Anthony Miller,1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.3,PIT,WR,17,2019
108,Cyril Grayson Jr.,1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,2.8,TB,WR,17,2019
109,Tavon Austin,1,2,1,1.0,1,0,0,0,0,0,0,1,0.1,0.1,0.1,JAC,WR,17,2019
110,De'Anthony Thomas,0,0,0,0.0,0,0,0,1,1,0,0,1,0.1,0.1,0.0,FA,WR,17,2019
111,Amari Rodgers,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,GB,WR,17,2019
112,Jalen Reagor,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,13.3,PHI,WR,17,2019
113,Laviska Shenault Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,34.3,JAC,WR,17,2019
114,Nico Collins,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.8,HOU,WR,17,2019
