player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1,59,59,100,12,0,51,51,23.7,40.2,6,2021
Ben Roethlisberger,QB,PIT,1,75,75,100,3,0,56,56,10.9,14.5,6,2021
DeSean Jackson,WR,LAR,1,16,16,24,0,6,6,6,0.6,3.8,6,2021
Jared Cook,TE,LAC,1,36,36,64,0,19,11,19,8.5,23.6,6,2021
Marcedes Lewis,TE,GB,1,40,40,68,0,5,5,5,1.7,4.3,6,2021
Matthew Stafford,QB,LAR,1,56,56,85,4,0,54,54,26.2,46.8,6,2021
Tom Brady,QB,TB,1,75,75,100,5,0,61,61,19.0,25.3,6,2021
Andre Roberts,WR,HOU,1,2,2,3,0,0,0,0,0.0,0.0,6,2021
Colt McCoy,QB,ARI,1,7,7,9,43,0,43,43,-0.3,-4.3,6,2021
Emmanuel Sanders,WR,BUF,1,71,71,92,0,11,7,11,9.1,12.8,6,2021
Antonio Brown,WR,TB,1,37,37,49,0,35,24,35,15.3,41.4,6,2021
A.J. Green,WR,ARI,1,68,68,91,0,9,7,9,13.9,20.4,6,2021
Julio Jones,WR,TEN,1,35,35,66,0,14,9,14,5.9,16.9,6,2021
Mark Ingram II,RB,HOU,1,33,33,44,55,6,61,61,8.1,24.5,6,2021
Kyle Rudolph,TE,NYG,1,34,34,45,0,6,3,6,2.8,8.2,6,2021
Ryan Tannehill,QB,TEN,1,53,53,100,4,0,58,58,13.9,26.2,6,2021
Kirk Cousins,QB,MIN,1,89,89,100,2,0,56,56,28.5,32.0,6,2021
T.Y. Hilton,WR,IND,1,24,24,50,0,17,17,17,8.0,33.3,6,2021
Marvin Jones Jr.,WR,JAC,1,57,57,86,0,18,12,18,16.0,28.1,6,2021
Brandon Bolden,RB,NE,1,11,11,20,9,9,18,18,0.2,1.8,6,2021
Case Keenum,QB,CLE,1,4,4,7,0,0,75,75,0.2,5.0,6,2021
Cole Beasley,WR,BUF,1,67,67,87,0,13,10,13,14.8,22.1,6,2021
Travis Kelce,TE,KC,1,67,67,82,0,16,12,16,9.9,14.8,6,2021
Marquise Goodwin,WR,CHI,1,29,29,48,0,3,3,3,1.2,4.1,6,2021
DeAndre Hopkins,WR,ARI,1,67,67,89,0,6,4,6,17.5,26.1,6,2021
Robert Woods,WR,LAR,1,58,58,88,0,9,3,9,9.1,15.7,6,2021
Keenan Allen,WR,LAC,1,51,51,91,0,10,10,10,5.0,9.8,6,2021
Tavon Austin,WR,JAC,1,17,17,26,0,6,0,6,0.0,0.0,6,2021
Giovani Bernard,RB,TB,1,12,12,16,0,17,17,17,0.4,3.3,6,2021
Le'Veon Bell,RB,BAL,1,22,22,32,36,0,36,36,7.8,35.5,6,2021
Rex Burkhead,RB,HOU,1,5,5,7,0,20,0,20,0.0,0.0,6,2021
Geno Smith,QB,SEA,1,65,65,100,2,0,51,51,10.3,15.8,6,2021
Zach Ertz,TE,PHI,1,46,46,88,0,13,9,13,8.9,19.3,6,2021
Latavius Murray,RB,BAL,1,26,26,38,35,8,42,42,11.6,44.6,6,2021
Demetrius Harris,TE,ARI,1,20,20,27,0,0,0,0,0.0,0.0,6,2021
Jack Doyle,TE,IND,1,31,31,65,0,3,0,3,0.0,0.0,6,2021
Teddy Bridgewater,QB,DEN,1,81,81,100,2,0,63,63,21.3,26.3,6,2021
Derek Carr,QB,LV,1,56,56,100,4,0,52,52,21.5,38.4,6,2021
Carlos Hyde,RB,JAC,1,9,9,14,0,11,0,11,0.0,0.0,6,2021
Devonta Freeman,RB,BAL,1,21,21,30,43,10,43,52,11.3,53.8,6,2021
Mike Evans,WR,TB,1,70,70,93,0,6,3,6,2.7,3.9,6,2021
Brandin Cooks,WR,HOU,1,68,68,91,0,19,13,19,8.9,13.1,6,2021
Davante Adams,WR,GB,1,50,50,85,0,10,8,10,8.9,17.8,6,2021
Allen Robinson II,WR,CHI,1,56,56,92,0,13,7,13,5.3,9.5,6,2021
Odell Beckham Jr.,WR,CLE,1,32,32,54,0,25,16,25,7.9,24.7,6,2021
Eric Ebron,TE,PIT,1,34,34,45,3,6,9,9,7.1,20.9,6,2021
Jerick McKinnon,RB,KC,1,23,23,28,13,17,17,30,1.5,6.5,6,2021
Albert Wilson,WR,MIA,1,23,23,33,0,9,9,9,1.4,6.1,6,2021
Willie Snead IV,WR,LV,1,6,6,11,0,17,0,17,0.0,0.0,6,2021
Adam Thielen,WR,MIN,1,87,87,98,1,15,14,16,18.8,21.6,6,2021
Cameron Brate,TE,TB,1,44,44,59,0,9,7,9,2.6,5.9,6,2021
Diontae Spencer,WR,DEN,1,2,2,2,0,0,0,0,0.0,0.0,6,2021
Amari Cooper,WR,DAL,1,78,78,88,0,10,6,10,5.5,7.1,6,2021
Melvin Gordon III,RB,DEN,1,43,43,53,23,7,30,30,7.3,17.0,6,2021
Taylor Heinicke,QB,WAS,1,59,59,100,0,0,66,66,10.3,17.5,6,2021
David Johnson,RB,HOU,1,32,32,43,6,6,9,13,0.1,0.3,6,2021
Malcolm Brown,RB,MIA,1,25,25,36,20,4,24,24,3.1,12.4,6,2021
MyCole Pruitt,TE,TEN,1,16,16,30,0,6,0,6,0.0,0.0,6,2021
Nelson Agholor,WR,NE,1,32,32,59,3,13,6,16,2.8,8.8,6,2021
Tyler Lockett,WR,SEA,1,58,58,89,0,12,3,12,3.5,6.0,6,2021
Phillip Dorsett II,WR,SEA,1,7,7,11,0,14,14,14,0.3,4.3,6,2021
Stefon Diggs,WR,BUF,1,62,62,81,0,18,15,18,14.9,24.0,6,2021
Chris Manhertz,TE,JAC,1,30,30,45,0,3,3,3,1.1,3.7,6,2021
Jake Kumerow,WR,BUF,1,1,1,1,0,100,0,100,0.0,0.0,6,2021
C.J. Uzomah,TE,CIN,1,50,50,69,0,6,6,6,7.5,15.0,6,2021
DeAndre Carter,WR,WAS,1,12,12,20,0,8,0,8,0.0,0.0,6,2021
Darren Waller,TE,LV,1,46,46,82,0,11,11,11,5.9,12.8,6,2021
Chris Conley,WR,HOU,1,32,32,43,0,6,3,6,1.0,3.1,6,2021
Geoff Swaim,TE,TEN,1,38,38,72,0,5,3,5,0.8,2.1,6,2021
Michael Burton,RB,KC,1,6,6,7,0,0,0,0,0.0,0.0,6,2021
Damiere Byrd,WR,CHI,1,15,15,25,0,7,0,7,0.0,0.0,6,2021
Adam Humphries,WR,WAS,1,31,31,53,0,6,3,6,-0.4,-1.3,6,2021
Laquon Treadwell,WR,JAC,1,7,7,11,0,14,0,14,0.0,0.0,6,2021
Ezekiel Elliott,RB,DAL,1,63,63,71,27,14,38,41,11.9,18.9,6,2021
Jared Goff,QB,DET,1,63,63,100,2,0,68,68,9.2,14.6,6,2021
Derrick Henry,RB,TEN,1,43,43,81,47,7,51,53,33.6,78.1,6,2021
Carson Wentz,QB,IND,1,48,48,100,4,0,46,46,17.0,35.4,6,2021
Alex Collins,RB,SEA,1,39,39,60,51,3,54,54,15.8,40.5,6,2021
Tyler Boyd,WR,CIN,1,45,45,63,0,7,2,7,0.7,1.6,6,2021
Devontae Booker,RB,NYG,1,54,54,72,22,7,30,30,6.9,12.8,6,2021
Hunter Henry,TE,NE,1,37,37,69,0,5,5,5,8.5,23.0,6,2021
Sterling Shepard,WR,NYG,1,68,68,91,0,21,15,21,7.6,11.2,6,2021
Austin Hooper,TE,CLE,1,44,44,75,0,7,2,7,0.4,0.9,6,2021
Rashard Higgins,WR,CLE,1,37,37,63,0,8,0,8,0.0,0.0,6,2021
Dak Prescott,QB,DAL,1,89,89,100,3,0,61,61,27.8,31.2,6,2021
Tyler Higbee,TE,LAR,1,66,66,100,0,8,8,8,3.6,5.5,6,2021
Kenyan Drake,RB,LV,1,12,12,21,33,17,50,50,19.3,160.8,6,2021
Jacoby Brissett,QB,MIA,1,1,1,1,0,0,100,100,1.0,100.0,6,2021
Chris Moore,WR,HOU,1,49,49,65,0,10,8,10,1.4,2.9,6,2021
Demarcus Robinson,WR,KC,1,57,57,70,0,11,5,11,10.6,18.6,6,2021
