player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week
Aaron Rodgers,QB,GB,1,58,58,98,3,0,60,60,33.5,57.8,11
Adrian Peterson,RB,TEN,1,15,15,19,60,13,73,73,4.4,29.3,11
Ben Roethlisberger,QB,PIT,1,69,69,100,0,0,64,64,22.9,33.2,11
Danny Amendola,WR,HOU,1,13,13,20,0,8,0,8,0.0,0.0,11
DeSean Jackson,WR,LV,1,16,16,34,6,0,6,6,0.4,2.5,11
Jared Cook,TE,LAC,1,38,38,50,0,13,8,13,2.8,7.4,11
Joe Flacco,QB,NYJ,1,60,60,100,3,0,68,68,17.9,29.8,11
Matt Ryan,QB,ATL,1,50,50,93,0,0,56,56,4.1,8.2,11
Matthew Slater,WR,NE,1,2,2,3,0,0,0,0,0.0,0.0,11
Tom Brady,QB,TB,1,69,69,88,1,0,68,68,20.3,29.4,11
Andre Roberts,WR,LAC,1,1,1,1,100,0,100,100,0.4,40.0,11
Colt McCoy,QB,ARI,1,83,83,100,7,0,60,60,22.9,27.6,11
Emmanuel Sanders,WR,BUF,1,44,44,79,0,11,7,11,2.6,5.9,11
Jimmy Graham,TE,CHI,1,12,12,20,0,25,17,25,2.5,20.8,11
Rob Gronkowski,TE,TB,1,46,46,59,0,17,13,17,7.1,15.4,11
A.J. Green,WR,ARI,1,57,57,69,0,12,7,12,7.8,13.7,11
Blaine Gabbert,QB,TB,1,9,9,12,22,0,44,44,0.2,2.2,11
Cam Newton,QB,CAR,1,51,51,100,20,0,73,73,26.2,51.4,11
Mark Ingram II,RB,NO,1,47,47,72,34,17,47,51,9.3,19.8,11
Randall Cobb,WR,GB,1,45,45,76,0,4,2,4,1.5,3.3,11
Kyle Rudolph,TE,NYG,1,14,14,24,0,7,7,7,2.8,20.0,11
Andy Dalton,QB,CHI,1,29,29,49,0,0,79,79,16.0,55.2,11
Lee Smith,TE,ATL,1,22,22,41,0,0,0,0,0.0,0.0,11
Tyrod Taylor,QB,HOU,1,64,64,100,9,0,47,47,19.1,29.8,11
Ryan Tannehill,QB,TEN,1,81,81,100,2,0,67,67,13.2,16.3,11
Kirk Cousins,QB,MIN,1,70,70,100,3,0,53,53,25.2,36.0,11
Russell Wilson,QB,SEA,1,49,49,100,4,0,57,57,8.5,17.3,11
T.Y. Hilton,WR,IND,1,28,28,41,0,7,7,7,2.6,9.3,11
Marvin Jones Jr.,WR,JAC,1,42,42,91,0,14,10,14,5.2,12.4,11
Brandon Bolden,RB,NE,1,17,17,27,6,12,18,18,1.6,9.4,11
Josh Gordon,WR,KC,1,29,29,43,0,7,3,7,0.7,2.4,11
Cole Beasley,WR,BUF,1,32,32,57,0,16,13,16,2.3,7.2,11
Travis Kelce,TE,KC,1,59,59,87,2,14,10,15,13.8,23.4,11
Marquise Goodwin,WR,CHI,1,42,42,71,0,19,10,19,16.4,39.0,11
Keenan Allen,WR,LAC,1,62,62,82,0,21,15,21,11.2,18.1,11
Tavon Austin,WR,JAC,1,12,12,26,0,17,8,17,-0.2,-1.7,11
Giovani Bernard,RB,TB,1,8,8,10,0,13,13,13,0.3,3.8,11
Rex Burkhead,RB,HOU,1,27,27,42,67,0,67,67,4.0,14.8,11
Zach Ertz,TE,ARI,1,63,63,76,0,14,13,14,20.8,33.0,11
Kyle Juszczyk,RB,SF,1,38,38,55,0,5,3,5,0.7,1.8,11
Latavius Murray,RB,BAL,1,30,30,37,33,7,40,40,3.3,11.0,11
Ryan Griffin,TE,NYJ,1,47,47,78,0,9,6,9,3.9,8.3,11
Jack Doyle,TE,IND,1,51,51,74,0,10,6,10,3.0,5.9,11
Derek Carr,QB,LV,1,47,47,100,0,0,57,57,9.6,20.4,11
Carlos Hyde,RB,JAC,1,14,14,30,0,7,0,7,0.0,0.0,11
Devonta Freeman,RB,BAL,1,47,47,58,34,13,47,47,14.0,29.8,11
Sammy Watkins,WR,BAL,1,60,60,74,0,7,5,7,4.8,8.0,11
Mike Evans,WR,TB,1,64,64,82,2,17,11,19,14.3,22.3,11
Brandin Cooks,WR,HOU,1,53,53,83,0,6,4,6,1.8,3.4,11
Davante Adams,WR,GB,1,52,52,88,0,15,13,15,23.5,45.2,11
Jarvis Landry,WR,CLE,1,48,48,65,2,17,10,19,10.2,21.3,11
Eric Ebron,TE,PIT,1,32,32,46,0,9,9,9,8.4,26.3,11
Jimmy Garoppolo,QB,SF,1,64,64,93,3,0,38,38,15.6,24.4,11
John Brown,WR,JAC,1,4,4,9,0,25,0,25,0.0,0.0,11
Albert Wilson,WR,MIA,1,38,38,53,3,11,13,16,1.5,3.9,11
Keith Smith,RB,ATL,1,19,19,35,16,5,21,21,1.9,10.0,11
Adam Thielen,WR,MIN,1,66,66,94,0,15,12,15,14.2,21.5,11
