team,games,first_downs_total,first_downs_rush,first_downs_pass,first_downs_penalty,third_downs_made,third_downs_att,third_downs_percentage,fourth_downs_made,fourth_downs_att,fourth_downs_percentage,penalties,penalties_yds,year
KC,17,419,119,267,33,107,205,52.2,10,15,66.7,111,925,2021
TB,17,404,106,273,25,105,223,47.1,9,16,56.3,97,874,2021
LAC,17,401,112,256,33,100,221,45.3,22,34,64.7,116,1033,2021
BUF,17,398,134,236,28,103,222,46.4,11,22,50.0,113,980,2021
BAL,17,394,159,209,26,82,225,36.4,18,27,66.7,102,852,2021
DAL,17,390,111,248,31,99,228,43.4,14,24,58.3,127,1103,2021
GB,17,375,109,235,31,88,202,43.6,13,22,59.1,69,678,2021
ARI,17,367,127,214,26,100,221,45.3,17,29,58.6,114,990,2021
TEN,17,362,134,194,34,103,236,43.6,15,24,62.5,103,973,2021
NE,17,362,139,187,36,91,209,43.5,11,17,64.7,95,854,2021
SF,17,361,130,200,31,80,199,40.2,10,20,50.0,102,1066,2021
LAR,17,355,99,233,23,90,205,43.9,10,19,52.6,76,637,2021
IND,17,354,154,167,33,86,210,41.0,18,29,62.1,76,688,2021
PHI,17,352,163,167,22,101,221,45.7,11,24,45.8,107,842,2021
LV,17,349,95,217,37,77,206,37.4,12,19,63.2,124,1104,2021
WAS,17,345,129,181,35,87,224,38.8,16,32,50.0,82,743,2021
CLE,17,342,138,177,27,83,212,39.2,12,29,41.4,112,1035,2021
CIN,17,337,96,208,33,82,207,39.6,13,20,65.0,72,620,2021
CHI,17,333,119,180,34,75,216,34.7,15,36,41.7,106,914,2021
MIN,17,332,103,202,27,83,228,36.4,12,22,54.6,111,1043,2021
DEN,17,331,124,179,28,82,213,38.5,16,28,57.1,83,711,2021
DET,17,329,104,193,32,74,213,34.7,21,41,51.2,105,824,2021
MIA,17,325,87,206,32,95,233,40.8,12,22,54.6,105,825,2021
PIT,17,323,85,204,34,93,239,38.9,10,21,47.6,106,831,2021
CAR,17,322,118,174,30,84,235,35.8,14,34,41.2,107,864,2021
NYJ,17,310,87,195,28,77,212,36.3,14,29,48.3,102,859,2021
NO,17,307,113,165,29,78,220,35.5,11,21,52.4,98,811,2021
ATL,17,306,75,196,35,82,211,38.9,10,24,41.7,92,753,2021
JAC,17,304,92,178,34,76,212,35.9,18,31,58.1,104,856,2021
SEA,17,302,106,166,30,72,193,37.3,4,11,36.4,97,803,2021
NYG,17,299,90,171,38,84,230,36.5,13,30,43.3,88,674,2021
HOU,17,266,77,162,27,95,239,39.8,9,21,42.9,114,978,2021
