rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,A.J. Green,6.0,11.0,87.0,14.5,43.0,0.0,1.0,1.0,15.0,0.0,0.0,1.0,16.2,16.2,51.8,WR,13,2011,CIN
2.0,Dez Bryant,8.0,14.0,86.0,10.8,24.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.6,14.6,2.6,WR,13,2011,DAL
3.0,Golden Tate,4.0,4.0,47.0,11.8,25.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,11.5,11.5,0.1,WR,13,2011,SEA
4.0,Andre Roberts,6.0,6.0,111.0,18.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,11.1,0.1,WR,13,2011,ARI
5.0,Antonio Brown,2.0,4.0,67.0,33.5,45.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,7.6,7.6,84.1,WR,13,2011,PIT
7.0,Julio Jones,4.0,11.0,68.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,60.7,WR,13,2011,ATL
8.0,Larry Fitzgerald,4.0,7.0,55.0,13.8,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,0.3,WR,13,2011,ARI
9.0,DeSean Jackson,4.0,5.0,34.0,8.5,20.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,3.9,3.9,4.4,WR,13,2011,PHI
10.0,Emmanuel Sanders,1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,46.6,WR,13,2011,PIT
258.0,Dezmon Briscoe,1.0,2.0,23.0,23.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,13,2011,TB
262.0,Stephen Burton,2.0,3.0,38.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,13,2011,MIN
263.0,Jeremy Kerley,1.0,1.0,7.0,7.0,7.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,WR,13,2011,NYJ
264.0,Cecil Shorts,1.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,13,2011,JAC
268.0,Andrew Hawkins,1.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,13,2011,CIN
269.0,Doug Baldwin,1.0,2.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,13,2011,SEA
288.0,Vincent Brown,1.0,2.0,22.0,22.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,13,2011,SD
293.0,Jarett Dillard,2.0,7.0,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,13,2011,JAC
294.0,Jordy Nelson,4.0,4.0,94.0,23.5,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,WR,13,2011,GB
