,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Buffalo Bills(BUF),2,2,2,0,1,0,0,1,17.0,17.0,95.9%
1,2,Tennessee Titans(TEN),2,1,1,1,1,0,0,1,13.0,13.0,48.4%
2,3,Philadelphia Eagles(PHI),3,3,0,0,0,0,0,1,12.0,12.0,52.5%
3,4,Dallas Cowboys(DAL),0,2,0,0,1,0,0,1,11.0,11.0,82.9%
4,5,Minnesota Vikings(MIN),4,1,1,1,0,0,0,1,9.0,9.0,28.0%
5,6,Chicago Bears(CHI),3,1,0,0,0,0,0,1,9.0,9.0,35.9%
6,7,Arizona Cardinals(ARI),2,1,0,0,0,0,0,1,8.0,8.0,60.9%
7,8,Tampa Bay Buccaneers(TB),3,1,1,1,0,0,0,1,8.0,8.0,98.0%
8,9,Carolina Panthers(CAR),2,1,1,1,0,1,0,1,8.0,8.0,27.8%
9,10,Los Angeles Rams(LAR),2,2,0,0,0,0,0,1,7.0,7.0,74.5%
10,11,Detroit Lions(DET),2,1,1,1,0,0,0,1,7.0,7.0,1.1%
11,12,Green Bay Packers(GB),3,2,0,0,0,0,0,1,7.0,7.0,60.6%
12,13,Baltimore Ravens(BAL),2,0,1,1,0,0,0,1,6.0,6.0,51.9%
13,14,New Orleans Saints(NO),2,2,0,0,0,0,0,1,6.0,6.0,79.3%
14,15,San Francisco 49ers(SF),2,0,1,1,0,0,0,1,5.0,5.0,79.5%
15,16,Pittsburgh Steelers(PIT),2,1,0,0,0,0,0,1,5.0,5.0,44.6%
16,17,New England Patriots(NE),3,0,1,1,0,0,0,1,5.0,5.0,93.2%
17,18,Washington Commanders(WAS),2,1,1,1,0,0,0,1,5.0,5.0,27.5%
18,19,Atlanta Falcons(ATL),2,1,0,1,0,0,0,1,5.0,5.0,5.8%
19,20,Houston Texans(HOU),1,1,1,1,0,0,0,1,5.0,5.0,6.4%
20,21,New York Jets(NYJ),0,0,2,3,0,0,0,1,4.0,4.0,3.3%
21,22,Cincinnati Bengals(CIN),2,1,0,0,0,0,0,1,4.0,4.0,14.7%
22,23,Las Vegas Raiders(LV),2,0,0,0,0,0,0,1,3.0,3.0,7.6%
23,24,Indianapolis Colts(IND),2,0,1,1,0,0,0,1,3.0,3.0,66.4%
24,25,Seattle Seahawks(SEA),1,1,0,0,0,0,0,1,3.0,3.0,39.4%
25,26,Denver Broncos(DEN),1,0,1,1,0,0,0,1,3.0,3.0,48.5%
26,27,New York Giants(NYG),2,1,1,1,0,0,0,1,2.0,2.0,4.5%
27,28,Jacksonville Jaguars(JAC),3,0,0,0,0,0,0,1,2.0,2.0,6.9%
28,29,Cleveland Browns(CLE),2,0,1,2,0,0,0,1,0.0,0.0,40.8%
29,30,Kansas City Chiefs(KC),0,0,0,0,0,0,0,1,-1.0,-1.0,45.7%
30,31,Miami Dolphins(MIA),2,0,0,0,0,0,0,1,-2.0,-2.0,60.2%
31,32,Los Angeles Chargers(LAC),1,0,0,1,0,0,0,1,-3.0,-3.0,44.3%
