,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Arizona Cardinals(ARI),3,2,2,3,1,0,0,1,21.0,21.0,60.9%
1,2,New Orleans Saints(NO),2,3,0,0,1,0,0,1,20.0,20.0,79.3%
2,3,Denver Broncos(DEN),5,2,0,0,0,0,0,1,19.0,19.0,48.5%
3,4,Cleveland Browns(CLE),9,0,0,0,0,0,0,1,16.0,16.0,40.8%
4,5,Dallas Cowboys(DAL),2,2,0,0,1,0,0,1,13.0,13.0,82.9%
5,6,Cincinnati Bengals(CIN),4,2,0,1,0,0,0,1,12.0,12.0,14.7%
6,7,Los Angeles Chargers(LAC),2,2,2,2,0,0,0,1,10.0,10.0,44.3%
7,8,Miami Dolphins(MIA),3,1,0,1,1,0,0,1,10.0,10.0,60.2%
8,9,Jacksonville Jaguars(JAC),0,1,0,0,0,0,0,1,8.0,8.0,6.9%
9,10,Philadelphia Eagles(PHI),4,0,1,1,1,0,0,1,8.0,8.0,52.5%
10,11,Carolina Panthers(CAR),4,0,0,0,0,0,0,1,8.0,8.0,27.8%
11,12,Buffalo Bills(BUF),1,2,1,1,0,0,0,1,7.0,7.0,95.9%
12,13,Detroit Lions(DET),4,1,0,1,0,0,0,1,7.0,7.0,1.1%
13,14,Green Bay Packers(GB),4,1,1,1,0,0,0,1,7.0,7.0,60.6%
14,15,Indianapolis Colts(IND),1,2,1,1,0,0,0,1,7.0,7.0,66.4%
15,16,New York Giants(NYG),3,0,1,1,0,0,0,1,6.0,6.0,4.5%
16,17,Chicago Bears(CHI),5,0,0,0,0,0,0,1,5.0,5.0,35.9%
17,18,Atlanta Falcons(ATL),2,0,1,2,0,0,0,1,5.0,5.0,5.8%
18,19,New York Jets(NYJ),2,0,1,1,0,0,0,1,4.0,4.0,3.3%
19,20,Las Vegas Raiders(LV),2,0,0,1,0,1,0,1,4.0,4.0,7.6%
20,21,Minnesota Vikings(MIN),2,0,0,0,0,0,0,1,3.0,3.0,28.0%
21,22,New England Patriots(NE),3,0,0,0,0,0,0,1,3.0,3.0,93.2%
22,23,Houston Texans(HOU),3,0,0,2,0,0,0,1,3.0,3.0,6.4%
23,24,Baltimore Ravens(BAL),2,0,0,0,0,0,0,1,3.0,3.0,51.9%
24,25,Los Angeles Rams(LAR),3,0,0,2,0,0,0,1,3.0,3.0,74.5%
25,26,Tennessee Titans(TEN),2,0,0,0,0,0,0,1,3.0,3.0,48.4%
26,27,Pittsburgh Steelers(PIT),0,1,0,0,0,0,0,1,2.0,2.0,44.6%
27,28,Kansas City Chiefs(KC),1,0,0,1,0,0,0,1,0.0,0.0,45.7%
28,29,Seattle Seahawks(SEA),1,0,0,1,0,0,0,1,0.0,0.0,39.4%
29,30,San Francisco 49ers(SF),1,0,0,1,0,0,0,1,0.0,0.0,79.5%
30,31,Tampa Bay Buccaneers(TB),1,0,0,1,0,0,0,1,0.0,0.0,98.0%
31,32,Washington Commanders(WAS),0,0,0,0,0,0,0,1,-4.0,-4.0,27.5%
