player,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,week,position
Travis Kelce,6.9,88.7,0.8,0.1,13.3,KC,1,TE
George Kittle,5.5,72.0,0.6,0.0,10.7,SF,1,TE
Darren Waller,6.5,76.0,0.5,0.1,10.3,LV,1,TE
Mark Andrews,4.8,56.2,0.6,0.0,9.4,BAL,1,TE
T.J. Hockenson,4.6,50.9,0.3,0.0,7.1,DET,1,TE
Kyle Pitts,3.8,46.3,0.4,0.0,6.9,ATL,1,TE
Robert Tonyan,3.2,35.1,0.5,0.0,6.8,GB,1,TE
Logan Thomas,4.2,43.7,0.4,0.0,6.7,WAS,1,TE
Mike Gesicki,3.8,45.0,0.3,0.0,6.5,MIA,1,TE
Dallas Goedert,3.7,42.7,0.3,0.0,6.3,PHI,1,TE
Rob Gronkowski,2.5,30.8,0.5,0.0,6.1,TB,1,TE
Noah Fant,4.1,45.8,0.2,0.0,5.6,DEN,1,TE
Tyler Higbee,3.6,38.9,0.2,0.0,5.2,LAR,1,TE
Austin Hooper,3.6,38.2,0.2,0.0,5.1,CLE,1,TE
Jared Cook,3.2,38.3,0.2,0.0,5.0,LAC,1,TE
Anthony Firkser,3.2,35.6,0.2,0.0,4.6,TEN,1,TE
Hunter Henry,3.0,34.1,0.2,0.0,4.4,NE,1,TE
Jonnu Smith,3.0,32.0,0.2,0.0,4.3,NE,1,TE
Zach Ertz,3.1,34.4,0.1,0.0,4.2,ARI,1,TE
Kyle Rudolph,2.6,25.8,0.2,0.0,4.1,NYG,1,TE
Jordan Akins,2.9,32.4,0.1,0.0,4.0,HOU,1,TE
Hayden Hurst,2.5,26.4,0.2,0.0,3.5,ATL,1,TE
Dawson Knox,2.2,25.6,0.2,0.0,3.4,BUF,1,TE
Blake Jarwin,2.5,27.3,0.1,0.0,3.4,DAL,1,TE
O.J. Howard,1.9,25.0,0.2,0.0,3.4,TB,1,TE
Tyler Conklin,2.4,26.3,0.1,0.0,3.4,MIN,1,TE
Cole Kmet,2.8,26.6,0.1,0.0,3.3,CHI,1,TE
Jack Doyle,2.2,24.9,0.1,0.0,3.3,IND,1,TE
Dan Arnold,1.9,23.4,0.1,0.0,3.1,JAC,1,TE
Juwan Johnson,2.3,26.5,0.1,0.0,2.9,NO,1,TE
C.J. Uzomah,2.1,21.9,0.1,0.0,2.9,CIN,1,TE
Mo Alie-Cox,1.8,21.0,0.1,0.0,2.6,IND,1,TE
James O'Shaughnessy,2.0,20.0,0.1,0.0,2.5,JAC,1,TE
Pharaoh Brown,1.5,16.6,0.1,0.0,2.5,HOU,1,TE
David Njoku,1.5,17.6,0.1,0.0,2.5,CLE,1,TE
Tyler Kroft,1.9,17.3,0.1,0.0,2.4,NYJ,1,TE
Chris Herndon IV,1.5,17.2,0.1,0.0,2.4,MIN,1,TE
Dalton Schultz,1.8,18.8,0.1,0.0,2.4,DAL,1,TE
Jimmy Graham,1.8,18.2,0.1,0.0,2.4,CHI,1,TE
Donald Parham Jr.,1.5,17.3,0.1,0.0,2.3,LAC,1,TE
Will Dissly,1.6,16.4,0.1,0.0,2.2,SEA,1,TE
Albert Okwuegbunam,1.5,17.0,0.1,0.0,2.2,DEN,1,TE
Adam Trautman,1.4,16.3,0.1,0.0,2.2,NO,1,TE
Harrison Bryant,1.5,16.1,0.1,0.1,2.1,CLE,1,TE
Drew Sample,1.7,16.1,0.1,0.0,2.0,CIN,1,TE
Maxx Williams,1.2,13.2,0.1,0.0,1.8,ARI,1,TE
Garrett Griffin,0.9,12.3,0.1,0.0,1.8,NO,1,TE
Cameron Brate,1.1,11.2,0.1,0.0,1.7,TB,1,TE
Geoff Swaim,1.3,11.8,0.1,0.0,1.6,TEN,1,TE
Hunter Bryant,1.2,11.0,0.1,0.0,1.5,DET,1,TE
Chris Manhertz,1.2,12.3,0.0,0.0,1.5,JAC,1,TE
Durham Smythe,1.2,10.2,0.1,0.0,1.4,MIA,1,TE
Pat Freiermuth,1.2,10.6,0.1,0.0,1.3,PIT,1,TE
Luke Farrell,0.9,9.6,0.1,0.0,1.3,JAC,1,TE
Hunter Long,1.1,11.5,0.0,0.1,1.2,MIA,1,TE
Foster Moreau,0.6,6.9,0.1,0.0,1.2,LV,1,TE
Ian Thomas,1.0,8.4,0.1,0.0,1.2,CAR,1,TE
Noah Gray,0.9,9.2,0.1,0.0,1.2,KC,1,TE
Ross Dwelley,0.8,8.7,0.1,0.0,1.2,SF,1,TE
Kaden Smith,1.0,8.8,0.1,0.0,1.2,NYG,1,TE
Tommy Sweeney,0.7,8.4,0.1,0.0,1.2,BUF,1,TE
MyCole Pruitt,0.7,6.6,0.1,0.0,1.2,TEN,1,TE
