rank,player,passing_cmp,passing_att,passing_pct,passing_yds,passing_ya,passing_td,passing_int,passing_sacks,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Drew Brees,29,40,72.5,349,8.7,5,0,0,1,1,1,0,1,40.1,40.1,35.7,FA,QB,14,2019
2,Jameis Winston,33,45,73.3,456,10.1,4,3,1,6,5,1,0,1,37.7,37.7,5.2,NO,QB,14,2019
3,Mitchell Trubisky,23,31,74.2,244,7.9,3,1,2,10,63,1,0,1,33.1,33.1,0.4,BUF,QB,14,2019
4,Deshaun Watson,28,50,56.0,292,5.8,1,2,3,6,44,2,0,1,30.1,30.1,5.0,HOU,QB,14,2019
5,Jimmy Garoppolo,26,35,74.3,349,10.0,4,1,3,2,1,0,0,1,29.1,29.1,23.3,SF,QB,14,2019
6,Ryan Tannehill,21,27,77.8,391,14.5,3,1,0,4,19,0,0,1,28.5,28.5,62.7,TEN,QB,14,2019
7,Drew Lock,22,27,81.5,309,11.4,3,1,1,3,15,0,0,1,24.9,24.9,1.5,DEN,QB,14,2019
8,Philip Rivers,16,22,72.7,314,14.3,3,0,1,1,0,0,0,1,24.6,24.6,20.6,FA,QB,14,2019
9,Jacoby Brissett,19,36,52.8,251,7.0,2,0,1,4,26,0,0,1,22.6,22.6,0.6,MIA,QB,14,2019
10,Matt Ryan,20,34,58.8,313,9.2,2,0,1,1,8,0,0,1,21.3,21.3,36.3,ATL,QB,14,2019
11,Lamar Jackson,16,25,64.0,145,5.8,3,1,1,11,40,0,0,1,20.8,20.8,94.0,BAL,QB,14,2019
12,Derek Carr,25,34,73.5,262,7.7,2,0,2,2,17,0,0,1,20.2,20.2,58.1,LV,QB,14,2019
13,Kyle Allen,28,41,68.3,293,7.1,1,2,5,6,24,1,1,1,20.1,20.1,0.1,WAS,QB,14,2019
14,Carson Wentz,33,50,66.0,325,6.5,2,0,3,5,9,0,1,1,19.9,19.9,44.0,IND,QB,14,2019
15,Sam Darnold,20,36,55.6,270,7.5,2,1,1,3,3,0,0,1,18.1,18.1,5.5,CAR,QB,14,2019
16,Jared Goff,22,31,71.0,293,9.5,2,2,0,2,4,0,0,1,18.1,18.1,5.3,DET,QB,14,2019
17,Dak Prescott,27,49,55.1,334,6.8,1,0,2,3,1,0,0,1,17.5,17.5,98.2,DAL,QB,14,2019
18,Eli Manning,15,30,50.0,203,6.8,2,0,2,2,-1,0,0,1,16.0,16.0,2.3,FA,QB,14,2019
19,Ryan Fitzpatrick,21,37,56.8,245,6.6,0,1,2,7,65,0,0,1,15.3,15.3,6.1,WAS,QB,14,2019
20,Patrick Mahomes II,26,40,65.0,283,7.1,1,1,1,6,6,0,0,1,14.9,14.9,100.0,KC,QB,14,2019
21,Kirk Cousins,24,30,80.0,242,8.1,1,0,1,1,-1,0,0,1,13.6,13.6,70.7,MIN,QB,14,2019
22,Gardner Minshew II,24,37,64.9,162,4.4,1,0,2,6,31,0,0,1,13.6,13.6,2.2,PHI,QB,14,2019
23,Devlin Hodges,16,19,84.2,152,8.0,1,0,3,5,34,0,0,1,13.5,13.5,0.0,FA,QB,14,2019
24,Baker Mayfield,11,24,45.8,192,8.0,0,2,1,2,13,1,0,1,13.0,13.0,26.4,CLE,QB,14,2019
25,Kyler Murray,20,30,66.7,194,6.5,2,3,5,6,2,0,0,1,13.0,13.0,99.3,ARI,QB,14,2019
26,Tom Brady,19,36,52.8,169,4.7,1,1,3,2,20,0,0,1,11.8,11.8,99.1,FA,QB,14,2019
27,Russell Wilson,22,36,61.1,245,6.8,0,1,5,5,28,0,0,1,11.6,11.6,90.4,SEA,QB,14,2019
28,Aaron Rodgers,18,28,64.3,195,7.0,1,0,4,5,16,0,1,1,11.4,11.4,97.4,GB,QB,14,2019
29,Josh Allen,17,39,43.6,146,3.7,1,0,6,2,9,0,1,1,10.7,10.7,100.0,BUF,QB,14,2019
30,Andy Dalton,22,38,57.9,262,6.9,0,1,2,3,11,0,0,1,10.6,10.6,1.6,CHI,QB,14,2019
31,David Blough,24,40,60.0,205,5.1,1,2,5,0,0,0,0,1,10.2,10.2,0.0,DET,QB,14,2019
32,Dwayne Haskins,16,27,59.3,170,6.3,1,1,4,1,-1,0,0,1,9.7,9.7,0.1,PIT,QB,14,2019
33,Tyrod Taylor,3,5,60.0,26,5.2,1,0,0,4,10,0,0,1,6.0,6.0,4.9,HOU,QB,14,2019
34,Taysom Hill,0,1,0.0,0,0.0,0,0,0,5,13,0,0,1,2.5,2.5,53.2,NO,QB,14,2019
35,Ryan Griffin,2,4,50.0,18,4.5,0,0,0,0,0,0,0,1,0.7,0.7,0.0,FA,QB,14,2019
36,Mac Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,28.5,NE,QB,14,2019
37,Trey Lance,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,26.3,SF,QB,14,2019
38,Feleipe Franks,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,ATL,QB,14,2019
39,Ben DiNucci,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,DAL,QB,14,2019
40,Kyle Trask,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,TB,QB,14,2019
41,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,IND,QB,14,2019
42,Jalen Morton,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,IND,QB,14,2019
43,Reid Sinnett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PHI,QB,14,2019
44,Ian Book,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8,NO,QB,14,2019
45,Trevor Lawrence,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,23.9,JAC,QB,14,2019
46,Justin Fields,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,21.0,CHI,QB,14,2019
47,Easton Stick,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,LAC,QB,14,2019
48,Brett Rypien,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,DEN,QB,14,2019
49,Daniel Jones,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,13.6,NYG,QB,14,2019
50,Trace McSorley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,ARI,QB,14,2019
51,Eric Dungey,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,CIN,QB,14,2019
