player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Alex Smith,QB,KC,1,75,75,100,7,0,52,52,11.1,14.8,14,2017
Ben Roethlisberger,QB,PIT,1,89,89,100,1,0,75,75,28.7,32.2,14,2017
Benjamin Watson,TE,BAL,1,33,33,52,0,3,0,3,0.0,0.0,14,2017
Danny Amendola,WR,NE,1,50,50,82,0,18,12,18,7.6,15.2,14,2017
DeSean Jackson,WR,TB,1,30,30,42,3,23,17,27,6.4,21.3,14,2017
Drew Brees,QB,NO,1,52,52,100,2,0,69,69,17.0,32.7,14,2017
Eli Manning,QB,NYG,1,80,80,100,0,0,58,58,9.1,11.4,14,2017
Frank Gore,RB,IND,1,54,54,76,67,2,69,69,14.0,25.9,14,2017
Greg Olsen,TE,CAR,1,59,59,91,0,2,0,2,0.0,0.0,14,2017
Jared Cook,TE,OAK,1,54,54,89,0,11,9,11,13.5,25.0,14,2017
Jason Witten,TE,DAL,1,63,63,100,0,3,2,3,8.0,12.7,14,2017
Joe Flacco,QB,BAL,1,64,64,100,0,0,55,55,16.8,26.3,14,2017
Josh McCown,QB,NYJ,1,29,29,58,7,0,48,48,-1.5,-5.2,14,2017
Larry Fitzgerald,WR,ARI,1,62,62,95,0,11,8,11,4.4,7.1,14,2017
LeSean McCoy,RB,BUF,1,50,50,75,64,0,64,64,21.6,43.2,14,2017
Marcedes Lewis,TE,JAC,1,62,62,94,0,3,0,3,0.0,0.0,14,2017
Marshawn Lynch,RB,OAK,1,28,28,46,25,7,29,32,12.4,44.3,14,2017
Matt Ryan,QB,ATL,1,74,74,100,4,0,41,41,6.8,9.2,14,2017
Matthew Stafford,QB,DET,1,68,68,100,0,0,65,65,15.2,22.4,14,2017
Michael Crabtree,WR,OAK,1,54,54,89,0,24,13,24,8.0,14.8,14,2017
Philip Rivers,QB,LAC,1,57,57,79,0,0,54,54,20.8,36.5,14,2017
Ted Ginn Jr.,WR,NO,1,35,35,67,3,6,9,9,0.7,2.0,14,2017
Tom Brady,QB,NE,1,61,61,100,0,0,70,70,9.3,15.2,14,2017
Vernon Davis,TE,WAS,1,42,42,84,0,17,5,17,8.6,20.5,14,2017
Dez Bryant,WR,DAL,1,49,49,78,0,10,6,10,13.3,27.1,14,2017
Golden Tate,WR,DET,1,56,56,82,0,16,14,16,14.5,25.9,14,2017
Emmanuel Sanders,WR,DEN,1,47,47,67,0,9,2,9,1.6,3.4,14,2017
Jimmy Graham,TE,SEA,1,38,38,61,0,5,0,5,0.0,0.0,14,2017
Joe Webb III,QB,BUF,1,28,28,42,18,0,39,39,2.1,7.5,14,2017
Antonio Brown,WR,PIT,1,86,86,97,0,21,13,21,21.3,24.8,14,2017
Logan Paulsen,TE,SF,1,6,6,8,0,0,0,0,0.0,0.0,14,2017
A.J. Green,WR,CIN,1,45,45,83,0,27,11,27,4.4,9.8,14,2017
Blaine Gabbert,QB,ARI,1,65,65,100,6,0,46,46,8.3,12.8,14,2017
Julio Jones,WR,ATL,1,54,54,73,0,20,9,20,9.8,18.1,14,2017
Cam Newton,QB,CAR,1,64,64,98,17,0,56,56,14.5,22.7,14,2017
Mark Ingram II,RB,NO,1,42,42,81,29,12,38,40,9.2,21.9,14,2017
Randall Cobb,WR,GB,1,57,57,75,0,14,14,14,3.9,6.8,14,2017
Kyle Rudolph,TE,MIN,1,55,55,74,0,9,5,9,10.1,18.4,14,2017
Andy Dalton,QB,CIN,1,45,45,83,0,0,64,64,7.6,16.9,14,2017
Lance Kendricks,TE,GB,1,49,49,64,0,10,4,10,1.1,2.2,14,2017
Anthony Sherman,RB,KC,1,8,8,11,0,0,0,0,0.0,0.0,14,2017
Dion Lewis,RB,NE,1,18,18,30,28,28,56,56,6.7,37.2,14,2017
Lee Smith,TE,OAK,1,9,9,15,0,0,0,0,0.0,0.0,14,2017
Virgil Green,TE,DEN,1,44,44,63,0,0,0,0,0.0,0.0,14,2017
Nick Foles,QB,PHI,1,23,23,25,4,0,48,48,2.6,11.3,14,2017
Kirk Cousins,QB,WAS,1,50,50,100,4,0,58,58,8.8,17.6,14,2017
Russell Wilson,QB,SEA,1,62,62,100,8,0,58,58,21.8,35.2,14,2017
Lamar Miller,RB,HOU,1,49,49,73,35,4,39,39,6.0,12.2,14,2017
Alshon Jeffery,WR,PHI,1,87,87,95,0,13,6,13,11.2,12.9,14,2017
Mohamed Sanu Sr.,WR,ATL,1,54,54,73,0,15,11,15,14.3,26.5,14,2017
T.Y. Hilton,WR,IND,1,48,48,68,0,8,4,8,2.0,4.2,14,2017
Travis Benjamin,WR,LAC,1,33,33,46,3,12,9,15,4.3,13.0,14,2017
Marvin Jones Jr.,WR,DET,1,67,67,99,0,6,4,6,6.4,9.6,14,2017
Rhett Ellison,TE,NYG,1,39,39,49,0,13,10,13,8.0,20.5,14,2017
Alfred Morris,RB,DAL,1,33,33,52,58,9,67,67,8.5,25.8,14,2017
Derek Carrier,TE,LAR,1,3,3,6,0,0,0,0,0.0,0.0,14,2017
Case Keenum,QB,MIN,1,74,74,100,7,0,66,66,19.2,25.9,14,2017
Josh Gordon,WR,CLE,1,53,53,91,0,11,6,11,12.9,24.3,14,2017
Cole Beasley,WR,DAL,1,29,29,46,0,17,10,17,5.9,20.3,14,2017
Chris Hogan,WR,NE,1,55,55,90,0,9,2,9,0.1,0.2,14,2017
Garrett Celek,TE,SF,1,61,61,84,0,7,3,7,12.7,20.8,14,2017
Jermaine Kearse,WR,NYJ,1,44,44,88,0,14,2,14,0.4,0.9,14,2017
Josh Bellamy,WR,CHI,1,48,48,63,0,8,4,8,5.2,10.8,14,2017
Travis Kelce,TE,KC,1,69,69,92,0,19,10,19,7.4,10.7,14,2017
Marquise Goodwin,WR,SF,1,52,52,71,0,23,12,23,10.6,20.4,14,2017
Russell Shepard,WR,CAR,1,23,23,35,4,0,4,4,0.8,3.5,14,2017
DeAndre Hopkins,WR,HOU,1,67,67,100,0,24,16,24,24.9,37.2,14,2017
Kenny Stills,WR,MIA,1,61,61,84,0,7,3,7,1.8,3.0,14,2017
Cordarrelle Patterson,RB,OAK,1,26,26,43,0,23,12,23,0.8,3.1,14,2017
Keenan Allen,WR,LAC,1,49,49,68,0,16,12,16,11.1,22.7,14,2017
Tavon Austin,WR,LAR,1,14,14,29,7,0,7,7,-2.3,-16.4,14,2017
Giovani Bernard,RB,CIN,1,46,46,85,24,17,37,41,13.0,28.3,14,2017
Le'Veon Bell,RB,PIT,1,80,80,90,16,13,28,29,30.5,38.1,14,2017
Theo Riddick,RB,DET,1,48,48,71,21,21,33,42,21.3,44.4,14,2017
Rex Burkhead,RB,NE,1,17,17,28,29,29,59,59,11.3,66.5,14,2017
Kenjon Barner,RB,PHI,1,6,6,7,0,0,0,0,0.0,0.0,14,2017
Levine Toilolo,TE,ATL,1,43,43,58,0,2,2,2,0.7,1.6,14,2017
Vance McDonald,TE,PIT,1,35,35,39,0,17,11,17,5.2,14.9,14,2017
Kyle Juszczyk,RB,SF,1,36,36,49,0,11,8,11,6.4,17.8,14,2017
Luke Willson,TE,SEA,1,20,20,32,0,5,5,5,1.2,6.0,14,2017
Latavius Murray,RB,MIN,1,32,32,43,28,6,34,34,2.0,6.3,14,2017
Demetrius Harris,TE,KC,1,28,28,37,0,11,4,11,2.5,8.9,14,2017
Zach Line,RB,NO,1,11,11,21,0,0,0,0,0.0,0.0,14,2017
James Develin,RB,NE,1,11,11,18,0,9,9,9,0.2,1.8,14,2017
Jack Doyle,TE,IND,1,71,71,100,0,4,3,4,6.4,9.0,14,2017
Patrick DiMarco,RB,BUF,1,16,16,24,0,0,0,0,0.0,0.0,14,2017
Blake Bortles,QB,JAC,1,66,66,100,11,0,52,52,18.5,28.0,14,2017
AJ McCarron,QB,CIN,1,9,9,17,0,0,89,89,1.9,21.1,14,2017
Derek Carr,QB,OAK,1,61,61,100,0,0,67,67,10.4,17.0,14,2017
Logan Thomas,TE,BUF,1,3,3,4,0,0,0,0,0.0,0.0,14,2017
Carlos Hyde,RB,SF,1,41,41,56,34,2,34,37,13.8,33.7,14,2017
Devonta Freeman,RB,ATL,1,51,51,69,47,0,47,47,15.1,29.6,14,2017
Sammy Watkins,WR,LAR,1,45,45,94,0,16,7,16,8.1,18.0,14,2017
Mike Evans,WR,TB,1,58,58,82,0,9,3,9,2.5,4.3,14,2017
Brandin Cooks,WR,NE,1,60,60,98,0,12,2,12,3.8,6.3,14,2017
Davante Adams,WR,GB,1,64,64,84,0,22,16,22,20.4,31.9,14,2017
Jarvis Landry,WR,MIA,1,66,66,90,0,12,12,12,16.6,25.2,14,2017
Paul Richardson Jr.,WR,SEA,1,58,58,94,0,12,5,12,13.2,22.8,14,2017
Eric Ebron,TE,DET,1,42,42,62,0,26,24,26,7.4,17.6,14,2017
Trey Burton,TE,PHI,1,48,48,52,0,13,10,13,19.1,39.8,14,2017
James White,RB,NE,1,35,35,57,0,11,9,11,7.1,20.3,14,2017
Cody Latimer,WR,DEN,1,31,31,44,0,10,6,10,3.7,11.9,14,2017
Jimmy Garoppolo,QB,SF,1,73,73,100,7,0,52,52,15.1,20.7,14,2017
Jerick McKinnon,RB,MIN,1,42,42,57,17,7,21,24,5.5,13.1,14,2017
Richard Rodgers,TE,GB,1,40,40,53,0,3,0,3,0.0,0.0,14,2017
Ryan Grant,WR,WAS,1,30,30,60,0,3,3,3,2.8,9.3,14,2017
Albert Wilson,WR,KC,1,66,66,88,0,11,8,11,7.2,10.9,14,2017
Taylor Gabriel,WR,ATL,1,31,31,42,3,3,6,6,1.9,6.1,14,2017
Willie Snead IV,WR,NO,1,22,22,42,0,9,5,9,0.0,0.0,14,2017
Bennie Fowler III,WR,DEN,1,22,22,31,0,0,0,0,0.0,0.0,14,2017
Dontrelle Inman,WR,CHI,1,67,67,88,0,0,0,0,0.0,0.0,14,2017
Keith Smith,RB,DAL,1,9,9,14,0,11,11,11,0.3,3.3,14,2017
Senorise Perry,RB,MIA,1,1,1,1,0,0,0,0,0.0,0.0,14,2017
Adam Thielen,WR,MIN,1,69,69,93,0,17,9,17,16.5,23.9,14,2017
Cameron Brate,TE,TB,1,25,25,35,0,4,4,4,1.1,4.4,14,2017
Roosevelt Nix,RB,PIT,1,10,10,11,0,10,10,10,6.1,61.0,14,2017
Josh Hill,TE,NO,1,33,33,63,0,9,6,9,1.4,4.2,14,2017
Darren Fells,TE,DET,1,30,30,44,0,3,3,3,2.3,7.7,14,2017
Seth Roberts,WR,OAK,1,55,55,90,0,5,5,5,2.4,4.4,14,2017
Marcus Mariota,QB,TEN,1,60,60,100,3,0,55,55,3.5,5.8,14,2017
Jameis Winston,QB,TB,1,71,71,100,3,0,56,56,14.4,20.3,14,2017
Amari Cooper,WR,OAK,1,14,14,23,0,7,0,7,0.0,0.0,14,2017
DeVante Parker,WR,MIA,1,61,61,84,0,10,7,10,4.0,6.6,14,2017
Melvin Gordon III,RB,LAC,1,47,47,65,47,6,49,53,14.3,30.4,14,2017
Brett Hundley,QB,GB,1,76,76,100,9,0,70,70,25.7,33.8,14,2017
Todd Gurley II,RB,LAR,1,45,45,94,29,11,36,40,25.5,56.7,14,2017
Devin Funchess,WR,CAR,1,45,45,69,0,16,7,16,11.9,26.4,14,2017
Maxx Williams,TE,BAL,1,33,33,52,0,0,0,0,0.0,0.0,14,2017
Tevin Coleman,RB,ATL,1,24,24,32,38,0,38,38,3.2,13.3,14,2017
Duke Johnson Jr.,RB,CLE,1,25,25,43,24,16,40,40,10.9,43.6,14,2017
Jay Ajayi,RB,PHI,1,43,43,47,35,5,37,40,8.0,18.6,14,2017
T.J. Yeldon,RB,JAC,1,4,4,6,50,0,50,50,0.9,22.5,14,2017
Mike Davis,RB,SEA,1,30,30,48,50,7,53,57,6.5,21.7,14,2017
Malcolm Brown,RB,LAR,1,3,3,6,33,0,33,33,0.5,16.7,14,2017
Clive Walford,TE,OAK,1,8,8,13,0,50,25,50,1.3,16.3,14,2017
Nick O'Leary,TE,BUF,1,32,32,48,0,3,3,3,0.9,2.8,14,2017
Jesse James,TE,PIT,1,71,71,80,0,17,14,17,9.7,13.7,14,2017
Tyler Kroft,TE,CIN,1,45,45,83,0,2,0,2,0.0,0.0,14,2017
Nick Boyle,TE,BAL,1,41,41,64,0,2,2,2,0.1,0.2,14,2017
MyCole Pruitt,TE,HOU,1,13,13,19,0,0,0,0,0.0,0.0,14,2017
Blake Bell,TE,MIN,1,31,31,42,0,6,6,6,2.7,8.7,14,2017
Nelson Agholor,WR,PHI,1,78,78,85,0,14,10,14,6.4,8.2,14,2017
Justin Hardy,WR,ATL,1,22,22,30,0,0,0,0,0.0,0.0,14,2017
Tyler Lockett,WR,SEA,1,39,39,63,3,13,13,15,16.0,41.0,14,2017
Jamison Crowder,WR,WAS,1,41,41,82,0,15,7,15,3.4,8.3,14,2017
Stefon Diggs,WR,MIN,1,70,70,95,0,14,9,14,6.4,9.1,14,2017
Chris Manhertz,TE,CAR,1,21,21,32,0,5,5,5,0.6,2.9,14,2017
C.J. Uzomah,TE,CIN,1,14,14,26,0,7,0,7,0.0,0.0,14,2017
Trevor Siemian,QB,DEN,1,70,70,100,4,0,49,49,13.3,19.0,14,2017
James O'Shaughnessy,TE,JAC,1,16,16,24,0,6,0,6,0.0,0.0,14,2017
Geoff Swaim,TE,DAL,1,22,22,35,0,0,0,0,0.0,0.0,14,2017
Michael Burton,RB,CHI,1,19,19,25,5,0,5,5,0.0,0.0,14,2017
Damiere Byrd,WR,CAR,1,38,38,58,0,13,13,13,3.7,9.7,14,2017
J.J. Nelson,WR,ARI,1,40,40,62,0,8,5,8,2.6,6.5,14,2017
Tyrell Williams,WR,LAC,1,51,51,71,0,8,8,8,19.2,37.6,14,2017
Eric Tomlinson,TE,NYJ,1,17,17,34,0,0,0,0,0.0,0.0,14,2017
DeAndrew White,WR,HOU,1,48,48,72,0,13,2,13,2.4,5.0,14,2017
Rod Smith,RB,DAL,1,29,29,46,21,17,38,38,28.0,96.6,14,2017
Daniel Brown,TE,CHI,1,19,19,25,0,11,11,11,0.9,4.7,14,2017
Adam Humphries,WR,TB,1,38,38,54,0,8,8,8,2.5,6.6,14,2017
Ross Travis,TE,IND,1,7,7,10,0,29,0,29,0.0,0.0,14,2017
Laquon Treadwell,WR,MIN,1,32,32,43,0,13,6,13,2.3,7.2,14,2017
Jared Goff,QB,LAR,1,48,48,100,4,0,58,58,14.2,29.6,14,2017
Corey Coleman,WR,CLE,1,39,39,67,0,15,13,15,12.2,31.3,14,2017
Josh Doctson,WR,WAS,1,46,46,92,0,13,7,13,3.4,7.4,14,2017
Derrick Henry,RB,TEN,1,13,13,22,62,0,62,62,8.0,61.5,14,2017
Carson Wentz,QB,PHI,1,69,69,75,4,0,64,64,27.2,39.4,14,2017
Michael Thomas,WR,NO,1,45,45,87,0,31,22,31,17.7,39.3,14,2017
Alex Collins,RB,BAL,1,29,29,45,62,7,69,69,22.6,77.9,14,2017
Tyler Boyd,WR,CIN,1,30,30,56,0,13,3,13,1.5,5.0,14,2017
Devontae Booker,RB,DEN,1,27,27,39,33,7,41,41,3.4,12.6,14,2017
Pharoh Cooper,WR,LAR,1,7,7,15,0,29,14,29,0.1,1.4,14,2017
Hunter Henry,TE,LAC,1,42,42,58,0,14,10,14,11.0,26.2,14,2017
Sterling Shepard,WR,NYG,1,77,77,96,1,4,4,5,0.7,0.9,14,2017
Austin Hooper,TE,ATL,1,50,50,68,0,8,4,8,2.3,4.6,14,2017
