player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Adrian Peterson,RB,ARI,1,27,27,54,41,15,44,56,3.3,12.2,7,2017
Alex Smith,QB,KC,1,62,62,100,2,0,60,60,25.7,41.5,7,2017
Ben Roethlisberger,QB,PIT,1,69,69,100,4,0,39,39,16.7,24.2,7,2017
Benjamin Watson,TE,BAL,1,52,52,80,0,10,10,10,3.8,7.3,7,2017
Danny Amendola,WR,NE,1,38,38,51,0,11,8,11,1.7,4.5,7,2017
DeSean Jackson,WR,TB,1,52,52,72,0,15,10,15,7.3,14.0,7,2017
Drew Brees,QB,NO,1,76,76,100,7,0,57,57,19.1,25.1,7,2017
Drew Stanton,QB,ARI,1,24,24,48,4,0,63,63,0.9,3.8,7,2017
Eli Manning,QB,NYG,1,59,59,100,0,0,66,66,7.4,12.5,7,2017
Frank Gore,RB,IND,1,22,22,33,41,0,41,41,3.4,15.5,7,2017
Jared Cook,TE,OAK,1,67,67,81,0,10,9,10,10.7,16.0,7,2017
Jason Witten,TE,DAL,1,63,63,84,0,6,6,6,11.4,18.1,7,2017
Joe Flacco,QB,BAL,1,65,65,100,2,0,62,62,11.4,17.5,7,2017
Josh McCown,QB,NYJ,1,56,56,100,5,0,54,54,24.5,43.8,7,2017
Larry Fitzgerald,WR,ARI,1,47,47,94,0,6,6,6,2.9,6.2,7,2017
LeSean McCoy,RB,BUF,1,57,57,84,40,12,49,53,22.2,38.9,7,2017
Marcedes Lewis,TE,JAC,1,59,59,87,0,5,3,5,8.9,15.1,7,2017
Marshawn Lynch,RB,OAK,1,10,10,12,20,0,20,20,0.9,9.0,7,2017
Matt Moore,QB,MIA,1,36,36,49,0,0,58,58,13.5,37.5,7,2017
Matt Ryan,QB,ATL,1,57,57,100,5,0,63,63,17.0,29.8,7,2017
Matthew Slater,WR,NE,1,3,3,4,0,0,0,0,0.0,0.0,7,2017
Michael Crabtree,WR,OAK,1,72,72,87,0,10,4,10,8.4,11.7,7,2017
Philip Rivers,QB,LAC,1,58,58,100,0,0,45,45,15.3,26.4,7,2017
Ted Ginn Jr.,WR,NO,1,39,39,51,0,18,18,18,14.1,36.2,7,2017
Tom Brady,QB,NE,1,74,74,100,7,0,46,46,18.5,25.0,7,2017
Vernon Davis,TE,WAS,1,29,29,45,0,14,14,14,6.7,23.1,7,2017
Dez Bryant,WR,DAL,1,54,54,72,0,19,13,19,12.3,22.8,7,2017
Andre Roberts,WR,ATL,1,4,4,7,0,25,0,25,0.0,0.0,7,2017
Jimmy Graham,TE,SEA,1,48,48,63,0,13,6,13,11.1,23.1,7,2017
Rob Gronkowski,TE,NE,1,71,71,96,0,10,4,10,5.1,7.2,7,2017
Antonio Brown,WR,PIT,1,64,64,93,0,16,6,16,12.5,19.5,7,2017
Logan Paulsen,TE,SF,1,11,11,17,0,0,0,0,0.0,0.0,7,2017
A.J. Green,WR,CIN,1,45,45,88,0,13,7,13,4.1,9.1,7,2017
Julio Jones,WR,ATL,1,50,50,88,0,26,18,26,15.9,31.8,7,2017
Cam Newton,QB,CAR,1,72,72,100,13,0,60,60,7.4,10.3,7,2017
Mark Ingram II,RB,NO,1,42,42,55,52,12,62,64,17.0,40.5,7,2017
Randall Cobb,WR,GB,1,37,37,67,0,11,5,11,1.5,4.1,7,2017
Kyle Rudolph,TE,MIN,1,61,61,92,0,11,8,11,4.3,7.0,7,2017
Andy Dalton,QB,CIN,1,51,51,100,6,0,65,65,10.4,20.4,7,2017
Lance Kendricks,TE,GB,1,14,14,25,0,0,0,0,0.0,0.0,7,2017
Luke Stocker,TE,TB,1,8,8,11,0,0,0,0,0.0,0.0,7,2017
Taiwan Jones,RB,BUF,1,2,2,3,0,100,50,100,1.1,55.0,7,2017
Anthony Sherman,RB,KC,1,9,9,15,0,0,0,0,0.0,0.0,7,2017
Dion Lewis,RB,NE,1,26,26,35,50,4,54,54,8.2,31.5,7,2017
Lee Smith,TE,OAK,1,18,18,22,0,0,0,0,0.0,0.0,7,2017
Tyrod Taylor,QB,BUF,1,68,68,100,9,0,57,57,20.0,29.4,7,2017
Virgil Green,TE,DEN,1,28,28,44,0,7,4,7,0.7,2.5,7,2017
Kirk Cousins,QB,WAS,1,64,64,100,5,0,67,67,23.9,37.3,7,2017
Russell Wilson,QB,SEA,1,75,75,99,3,0,55,55,26.4,35.2,7,2017
Alshon Jeffery,WR,PHI,1,53,53,82,0,11,4,11,3.7,7.0,7,2017
Mohamed Sanu Sr.,WR,ATL,1,51,51,89,0,20,12,20,6.5,12.7,7,2017
T.Y. Hilton,WR,IND,1,57,57,85,0,14,4,14,2.7,4.7,7,2017
Travis Benjamin,WR,LAC,1,22,22,38,5,5,9,9,10.6,48.2,7,2017
Rhett Ellison,TE,NYG,1,28,28,47,0,4,0,4,0.0,0.0,7,2017
Alfred Morris,RB,DAL,1,9,9,12,22,11,33,33,2.4,26.7,7,2017
Derek Carrier,TE,LAR,1,22,22,28,0,5,0,5,0.0,0.0,7,2017
Case Keenum,QB,MIN,1,66,66,100,2,0,48,48,6.4,9.7,7,2017
Cole Beasley,WR,DAL,1,34,34,45,0,6,3,6,2.4,7.1,7,2017
Chris Hogan,WR,NE,1,60,60,81,0,10,7,10,7.1,11.8,7,2017
Garrett Celek,TE,SF,1,18,18,27,0,6,6,6,1.1,6.1,7,2017
Jermaine Kearse,WR,NYJ,1,51,51,91,0,8,2,8,8.9,17.5,7,2017
Josh Bellamy,WR,CHI,1,3,3,8,0,0,0,0,0.0,0.0,7,2017
Travis Kelce,TE,KC,1,58,58,94,0,9,7,9,9.3,16.0,7,2017
Marquise Goodwin,WR,SF,1,39,39,59,0,21,10,21,8.0,20.5,7,2017
Russell Shepard,WR,CAR,1,37,37,51,0,8,5,8,2.0,5.4,7,2017
Robert Woods,WR,LAR,1,69,69,86,1,10,9,12,6.3,9.1,7,2017
Kenny Stills,WR,MIA,1,72,72,99,0,13,8,13,20.5,28.5,7,2017
Cordarrelle Patterson,RB,OAK,1,18,18,22,0,17,6,17,0.9,5.0,7,2017
Keenan Allen,WR,LAC,1,47,47,81,0,15,6,15,4.1,8.7,7,2017
Tavon Austin,WR,LAR,1,19,19,24,16,11,26,26,4.2,22.1,7,2017
Giovani Bernard,RB,CIN,1,23,23,45,13,13,17,26,0.7,3.0,7,2017
Le'Veon Bell,RB,PIT,1,61,61,88,57,5,62,62,19.2,31.5,7,2017
Chris Thompson,RB,WAS,1,37,37,58,19,14,32,32,12.4,33.5,7,2017
Rex Burkhead,RB,NE,1,13,13,18,46,8,54,54,4.2,32.3,7,2017
Kenjon Barner,RB,PHI,1,4,4,6,50,0,50,50,0.4,10.0,7,2017
Zach Ertz,TE,PHI,1,53,53,82,0,9,9,9,14.9,28.1,7,2017
Jordan Reed,TE,WAS,1,50,50,78,0,20,16,20,18.4,36.8,7,2017
Levine Toilolo,TE,ATL,1,19,19,33,0,0,0,0,0.0,0.0,7,2017
Vance McDonald,TE,PIT,1,29,29,42,0,10,7,10,3.7,12.8,7,2017
Luke Willson,TE,SEA,1,31,31,41,0,3,3,3,1.3,4.2,7,2017
Latavius Murray,RB,MIN,1,31,31,47,58,0,58,58,17.3,55.8,7,2017
Demetrius Harris,TE,KC,1,31,31,50,0,10,6,10,1.6,5.2,7,2017
Zach Line,RB,NO,1,18,18,24,0,6,0,6,0.0,0.0,7,2017
