team,games,first_downs_total,first_downs_rush,first_downs_pass,first_downs_penalty,third_downs_made,third_downs_att,third_downs_percentage,fourth_downs_made,fourth_downs_att,fourth_downs_percentage,penalties,penalties_yds,year
NO,16,395,101,258,36,98,203,48.3,8,15,53.3,80,670,2014
PIT,16,379,98,243,38,93,208,44.7,5,10,50.0,103,834,2014
IND,16,371,80,251,40,89,217,41.0,6,15,40.0,105,848,2014
MIA,16,361,99,226,36,80,200,40.0,7,19,36.8,81,635,2014
NE,16,361,96,228,37,98,221,44.3,7,13,53.9,120,1080,2014
DEN,16,360,98,227,35,94,213,44.1,6,13,46.2,120,1045,2014
GB,16,356,104,222,30,93,197,47.2,4,10,40.0,92,775,2014
PHI,16,356,109,218,29,103,237,43.5,7,11,63.6,115,995,2014
CAR,16,347,117,199,31,93,222,41.9,6,10,60.0,83,756,2014
BAL,16,345,113,194,38,84,205,41.0,9,18,50.0,111,870,2014
DAL,16,342,106,205,31,95,201,47.3,3,6,50.0,105,839,2014
NYG,16,336,83,218,35,101,235,43.0,5,16,31.3,101,896,2014
ATL,16,330,75,233,22,93,210,44.3,8,16,50.0,97,840,2014
SEA,16,328,144,160,24,90,212,42.5,3,11,27.3,130,1009,2014
LAC,16,326,75,214,37,97,215,45.1,5,11,45.5,111,967,2014
CHI,16,322,91,194,37,78,207,37.7,13,28,46.4,113,997,2014
WAS,16,318,88,186,44,62,197,31.5,4,16,25.0,120,1130,2014
CIN,16,313,122,164,27,84,211,39.8,7,13,53.9,102,812,2014
HOU,16,313,108,171,34,91,235,38.7,10,17,58.8,94,834,2014
DET,16,310,72,210,28,86,223,38.6,10,20,50.0,118,989,2014
KC,16,309,92,184,33,80,201,39.8,5,12,41.7,88,681,2014
SF,16,303,104,165,34,86,213,40.4,10,18,55.6,116,937,2014
ARI,16,302,67,191,44,90,224,40.2,3,4,75.0,91,707,2014
CLE,16,294,88,179,27,61,207,29.5,5,14,35.7,116,932,2014
NYJ,16,289,112,154,23,91,234,38.9,9,16,56.3,109,932,2014
LAR,16,288,79,189,20,68,192,35.4,4,10,40.0,123,1139,2014
MIN,16,288,90,171,27,82,211,38.9,6,12,50.0,100,836,2014
BUF,16,273,65,186,22,84,229,36.7,6,14,42.9,124,1031,2014
JAC,16,271,86,154,31,69,216,31.9,7,19,36.8,73,573,2014
TB,16,263,72,162,29,76,203,37.4,4,12,33.3,118,939,2014
TEN,16,258,75,159,24,59,196,30.1,6,17,35.3,111,961,2014
LV,16,248,56,173,19,80,236,33.9,9,15,60.0,116,939,2014
