player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,week,position
Derrick HenryTEN,24.4,119.8,1.1,2.1,18.3,0.1,0.2,20.3,TEN,7,RB
Alvin KamaraNO,20.1,88.2,0.7,4.8,43.7,0.3,0.1,18.8,NO,7,RB
Darrell Henderson Jr.LAR,18.2,79.5,0.7,2.3,22.2,0.2,0.1,15.4,LAR,7,RB
Aaron JonesGB,14.4,67.5,0.7,3.6,30.6,0.3,0.1,15.2,GB,7,RB
Chuba HubbardCAR,17.4,70.7,0.6,2.9,24.0,0.1,0.1,13.7,CAR,7,RB
Leonard FournetteTB,16.3,63.3,0.6,3.6,28.3,0.1,0.1,13.3,TB,7,RB
Jonathan TaylorIND,15.4,71.4,0.6,2.4,21.2,0.1,0.1,13.1,IND,7,RB
Josh JacobsLV,17.2,67.7,0.7,2.6,19.9,0.1,0.1,13.0,LV,7,RB
Joe MixonCIN,16.9,67.9,0.6,2.5,20.7,0.1,0.1,12.6,CIN,7,RB
Damien HarrisNE,17.6,73.8,0.6,1.1,9.2,0.0,0.2,11.9,NE,7,RB
Darrel WilliamsKC,14.7,56.1,0.6,2.4,19.5,0.1,0.1,11.7,KC,7,RB
James ConnerARI,14.2,62.0,0.7,1.0,8.0,0.0,0.1,11.6,ARI,7,RB
D'Andre SwiftDET,10.7,43.8,0.3,5.3,43.4,0.2,0.1,11.4,DET,7,RB
Elijah MitchellSF,14.7,61.4,0.5,1.6,14.2,0.1,0.1,11.0,SF,7,RB
Antonio GibsonWAS,13.8,59.0,0.5,1.9,15.2,0.1,0.1,10.8,WAS,7,RB
D'Ernest JohnsonCLE,14.9,62.3,0.5,1.4,10.8,0.0,0.1,10.7,CLE,7,RB
Devontae BookerNYG,14.8,58.0,0.4,2.5,17.0,0.1,0.1,10.5,NYG,7,RB
Cordarrelle PattersonATL,9.4,37.8,0.2,3.9,36.9,0.3,0.1,10.3,ATL,7,RB
Miles SandersPHI,12.2,56.0,0.3,2.9,23.0,0.1,0.1,9.9,PHI,7,RB
Alex CollinsSEA,13.7,52.9,0.5,1.4,11.2,0.0,0.1,9.4,SEA,7,RB
Chase EdmondsARI,9.1,41.4,0.2,3.3,27.4,0.2,0.1,8.9,ARI,7,RB
Mike DavisATL,13.0,48.7,0.3,2.9,20.1,0.1,0.1,8.8,ATL,7,RB
Melvin Gordon IIIDEN,10.9,48.3,0.4,1.9,13.3,0.0,0.1,8.8,IIDEN,7,RB
Michael CarterNYJ,12.6,49.4,0.3,1.9,15.3,0.0,0.1,8.4,NYJ,7,RB
Myles GaskinMIA,9.1,38.7,0.2,3.7,27.9,0.1,0.1,8.4,MIA,7,RB
Javonte WilliamsDEN,10.3,43.6,0.2,1.9,15.3,0.1,0.1,7.5,DEN,7,RB
Khalil HerbertCHI,10.6,42.9,0.2,1.7,12.9,0.1,0.1,7.2,CHI,7,RB
Devonta FreemanBAL,8.4,38.5,0.3,1.7,12.3,0.1,0.1,7.0,BAL,7,RB
J.D. McKissicWAS,5.6,23.5,0.1,4.1,29.0,0.2,0.1,6.9,KissicWAS,7,RB
AJ DillonGB,9.4,39.7,0.2,1.2,10.8,0.1,0.1,6.7,GB,7,RB
Damien WilliamsCHI,9.3,33.2,0.2,1.9,15.0,0.1,0.1,6.5,CHI,7,RB
Jamaal WilliamsDET,8.9,34.2,0.2,2.0,14.5,0.1,0.1,6.1,DET,7,RB
Mark Ingram IINO,10.9,45.1,0.2,0.6,4.1,0.0,0.1,5.9,INO,7,RB
