Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Cooper KuppLAR,8.2,110.2,0.8,0.4,2.1,0.0,0.0,16.1
Davante AdamsGB,7.6,96.1,0.8,0.0,0.1,0.0,0.0,14.4
Stefon DiggsBUF,6.3,82.2,0.7,0.0,0.0,0.0,0.0,12.6
Tyreek HillKC,6.3,81.2,0.6,0.6,2.7,0.0,0.0,12.2
Justin JeffersonMIN,6.7,92.4,0.5,0.2,1.3,0.0,0.0,12.1
Deebo SamuelSF,4.0,57.0,0.3,4.0,31.4,0.3,0.1,11.9
A.J. BrownTEN,5.9,81.7,0.6,0.0,0.4,0.0,0.0,11.6
Tee HigginsCIN,5.6,78.7,0.6,0.0,0.3,0.0,0.0,11.4
Diontae JohnsonPIT,6.6,73.9,0.6,0.5,2.6,0.0,0.1,11.0
Ja'Marr ChaseCIN,5.1,71.9,0.6,0.2,1.4,0.0,0.0,10.7
Keenan AllenLAC,6.4,72.8,0.6,0.0,0.1,0.0,0.0,10.6
Tyler LockettSEA,5.1,70.4,0.6,0.0,0.0,0.0,0.0,10.3
CeeDee LambDAL,5.3,67.4,0.5,0.5,2.9,0.0,0.0,10.3
Brandin CooksHOU,5.9,71.7,0.5,0.3,1.3,0.0,0.0,10.2
Jaylen WaddleMIA,6.6,69.2,0.5,0.1,0.5,0.0,0.1,9.8
Amari CooperDAL,4.7,61.0,0.6,0.0,0.1,0.0,0.0,9.5
Christian KirkARI,5.2,68.0,0.4,0.0,0.4,0.0,0.0,9.4
Michael Pittman Jr.IND,5.0,61.8,0.5,0.4,2.1,0.0,0.0,9.4
Amon-Ra St. BrownDET,6.2,64.8,0.4,0.3,2.0,0.0,0.0,9.2
Hunter RenfrowLV,6.7,74.6,0.3,0.1,0.4,0.0,0.1,9.2
Odell Beckham Jr.LAR,4.0,55.2,0.5,0.4,1.8,0.0,0.0,8.9
Mike WilliamsLAC,4.2,58.6,0.5,0.0,0.0,0.0,0.0,8.8
Jarvis LandryCLE,4.8,58.6,0.4,0.4,2.2,0.0,0.0,8.7
D.K. MetcalfSEA,4.4,62.5,0.4,0.0,0.0,0.0,0.0,8.5
Darnell MooneyCHI,4.5,55.4,0.4,0.5,2.9,0.0,0.0,8.3
DJ MooreCAR,5.2,67.7,0.2,0.2,0.9,0.0,0.0,8.0
Marquise BrownBAL,5.7,63.6,0.3,0.0,0.1,0.0,0.0,7.8
DeVonta SmithPHI,4.1,59.3,0.3,0.0,0.0,0.0,0.0,7.8
Terry McLaurinWAS,4.9,61.0,0.2,0.0,0.1,0.0,0.0,7.5
Russell GageATL,5.6,60.3,0.2,0.0,0.1,0.0,0.1,7.1
Allen LazardGB,3.2,42.1,0.4,0.3,1.6,0.0,0.0,7.0
Jakobi MeyersNE,5.0,56.9,0.2,0.0,0.4,0.0,0.0,7.0
DeVante ParkerMIA,4.4,55.4,0.2,0.0,0.0,0.0,0.0,6.9
Chase ClaypoolPIT,3.4,49.7,0.2,0.9,4.9,0.0,0.0,6.9
Kenny GolladayNYG,4.0,55.8,0.2,0.0,0.0,0.0,0.0,6.7
Kendrick BourneNE,3.5,47.2,0.3,0.3,2.2,0.0,0.0,6.7
Courtland SuttonDEN,4.0,54.7,0.2,0.0,0.0,0.0,0.0,6.6
Cole BeasleyBUF,4.6,49.3,0.3,0.0,0.0,0.0,0.0,6.6
Tyler BoydCIN,4.3,51.9,0.2,0.2,0.9,0.0,0.0,6.6
Mike EvansTB,3.5,48.0,0.3,0.0,0.1,0.0,0.0,6.6
A.J. GreenARI,3.6,53.3,0.2,0.0,0.1,0.0,0.0,6.5
Van JeffersonLAR,3.3,46.6,0.3,0.2,1.3,0.0,0.0,6.5
Michael GallupDAL,3.5,47.5,0.3,0.0,0.1,0.0,0.0,6.3
Braxton BerriosNYJ,4.6,47.9,0.2,0.3,1.7,0.0,0.0,6.1
Marvin Jones Jr.JAC,4.1,51.0,0.1,0.0,0.0,0.0,0.0,5.9
Brandon AiyukSF,3.4,42.5,0.2,0.3,1.5,0.0,0.0,5.9
Robby AndersonCAR,4.1,47.0,0.2,0.3,1.6,0.0,0.0,5.8
Marquez Valdes-ScantlingGB,2.7,43.8,0.2,0.0,0.1,0.0,0.0,5.8
Gabriel DavisBUF,2.8,40.9,0.3,0.0,0.0,0.0,0.0,5.8
Marquez CallawayNO,3.2,44.6,0.2,0.0,0.0,0.0,0.0,5.6
Donovan Peoples-JonesCLE,2.8,43.6,0.2,0.0,0.0,0.0,0.0,5.5
K.J. OsbornMIN,3.8,44.6,0.2,0.0,0.1,0.0,0.0,5.5
Allen Robinson IICHI,3.5,41.9,0.2,0.0,0.0,0.0,0.0,5.3
T.Y. HiltonIND,3.0,38.7,0.2,0.0,0.0,0.0,0.0,5.3
Deonte HartyNO,2.9,37.5,0.2,0.2,1.8,0.0,0.0,5.2
Laviska Shenault Jr.JAC,3.8,38.0,0.1,0.8,5.3,0.0,0.0,5.2
Laquon TreadwellJAC,3.6,42.3,0.1,0.0,0.0,0.0,0.0,4.8
Keelan Cole Sr.NYJ,3.1,39.2,0.1,0.0,0.0,0.0,0.0,4.8
Byron PringleKC,2.8,36.5,0.2,0.0,0.1,0.0,0.0,4.7
Olamide ZaccheausATL,2.8,37.1,0.2,0.0,0.3,0.0,0.0,4.7
Quez WatkinsPHI,2.5,35.7,0.2,0.0,0.2,0.0,0.0,4.6
Rashod BatemanBAL,3.3,38.5,0.1,0.0,0.1,0.0,0.0,4.6
