player,receiving_rec,receiving_yds,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,fantasy_points,team,week,position
Tyreek HillKC,6.5,93.8,0.8,0.8,4.6,0.0,0.1,14.6,KC,1,WR
Davante AdamsGB,7.5,93.5,0.8,0.0,0.0,0.0,0.1,14.1,GB,1,WR
Calvin RidleyATL,6.0,89.0,0.7,0.3,1.5,0.0,0.1,13.1,ATL,1,WR
Stefon DiggsBUF,6.6,85.9,0.7,0.1,0.7,0.0,0.1,12.8,BUF,1,WR
DeAndre HopkinsARI,7.3,87.6,0.6,0.0,0.2,0.0,0.1,12.5,ARI,1,WR
D.K. MetcalfSEA,5.4,83.8,0.7,0.0,0.2,0.0,0.0,12.4,SEA,1,WR
A.J. BrownTEN,5.3,77.8,0.8,0.1,0.8,0.0,0.0,12.4,TEN,1,WR
Justin JeffersonMIN,5.7,86.0,0.5,0.1,0.2,0.0,0.1,11.5,MIN,1,WR
Adam ThielenMIN,5.3,69.1,0.7,0.2,0.9,0.0,0.0,11.2,MIN,1,WR
Terry McLaurinWAS,5.8,78.3,0.6,0.2,0.8,0.0,0.0,11.2,LaurinWAS,1,WR
Tyler LockettSEA,6.0,71.9,0.6,0.1,0.3,0.0,0.0,11.0,SEA,1,WR
Mike EvansTB,4.7,69.0,0.7,0.0,0.0,0.0,0.0,11.0,TB,1,WR
Amari CooperDAL,5.7,72.5,0.6,0.2,0.8,0.0,0.1,10.8,DAL,1,WR
Tee HigginsCIN,5.3,72.1,0.6,0.1,0.8,0.0,0.1,10.6,CIN,1,WR
Julio JonesTEN,5.0,70.3,0.6,0.0,0.0,0.0,0.0,10.6,TEN,1,WR
CeeDee LambDAL,5.6,69.9,0.5,0.5,2.8,0.0,0.1,10.5,DAL,1,WR
DJ MooreCAR,5.0,71.9,0.5,0.2,1.3,0.0,0.0,10.5,CAR,1,WR
Chris GodwinTB,5.1,67.6,0.6,0.0,0.2,0.0,0.0,10.4,TB,1,WR
Deebo SamuelSF,4.7,64.1,0.5,1.0,8.1,0.0,0.1,10.3,SF,1,WR
