team,games,first_downs_total,first_downs_rush,first_downs_pass,first_downs_penalty,third_downs_made,third_downs_att,third_downs_percentage,fourth_downs_made,fourth_downs_att,fourth_downs_percentage,penalties,penalties_yds,year
DEN,16,435,107,293,35,95,205,46.3,8,9,88.9,117,1000,2013
NE,16,378,110,225,43,83,221,37.6,7,15,46.7,69,625,2013
LAC,16,373,104,230,39,101,206,49.0,5,6,83.3,95,765,2013
NO,16,359,87,244,28,97,221,43.9,9,19,47.4,95,817,2013
PHI,16,355,133,197,25,83,213,39.0,7,14,50.0,95,846,2013
GB,16,351,119,201,31,89,216,41.2,9,13,69.2,86,801,2013
DET,16,350,106,221,23,95,221,43.0,5,14,35.7,110,925,2013
CHI,16,344,102,215,27,83,197,42.1,8,13,61.5,85,708,2013
ATL,16,330,64,227,39,89,207,43.0,6,14,42.9,91,788,2013
CIN,16,330,101,205,24,92,225,40.9,12,21,57.1,102,1000,2013
ARI,16,329,84,205,40,74,210,35.2,5,9,55.6,97,744,2013
WAS,16,329,112,198,19,95,235,40.4,6,20,30.0,99,802,2013
DAL,16,325,80,213,32,63,180,35.0,4,6,66.7,102,867,2013
KC,16,323,110,179,34,74,213,34.7,4,11,36.4,101,774,2013
CAR,16,319,122,169,28,91,208,43.8,10,13,76.9,80,671,2013
IND,16,318,88,191,39,80,213,37.6,3,10,30.0,66,576,2013
PIT,16,312,81,207,24,82,216,38.0,9,15,60.0,80,677,2013
TEN,16,311,103,172,36,94,227,41.4,11,17,64.7,101,900,2013
MIN,16,309,106,173,30,78,214,36.5,10,19,52.6,70,695,2013
SEA,16,307,116,160,31,76,204,37.3,6,11,54.6,128,1183,2013
HOU,16,307,90,198,19,83,231,35.9,6,17,35.3,112,1138,2013
BUF,16,301,113,149,39,83,244,34.0,4,14,28.6,110,952,2013
CLE,16,301,77,200,24,83,237,35.0,14,31,45.2,104,920,2013
BAL,16,295,68,189,38,92,253,36.4,6,16,37.5,112,942,2013
SF,16,286,115,148,23,77,211,36.5,7,11,63.6,103,845,2013
LAR,16,282,82,165,35,73,212,34.4,6,18,33.3,123,1009,2013
NYG,16,280,77,176,27,69,211,32.7,6,12,50.0,91,786,2013
NYJ,16,280,105,154,21,90,231,39.0,1,8,12.5,108,837,2013
MIA,16,278,61,205,12,76,217,35.0,3,12,25.0,70,598,2013
LV,16,275,90,168,17,78,223,35.0,7,12,58.3,116,912,2013
JAC,16,271,71,176,24,70,225,31.1,13,30,43.3,96,797,2013
TB,16,269,75,157,37,69,221,31.2,8,22,36.4,121,1136,2013
