,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,52,52,90,4,0,63,63,43.8,84.2
1,Adrian Peterson,RB,WAS,1,29,29,64,69,0,69,69,6.1,21.0
2,Benjamin Watson,TE,NE,1,62,62,76,0,8,5,8,1.8,2.9
3,Danny Amendola,WR,DET,1,53,53,71,0,21,15,21,10.5,19.8
4,Frank Gore,RB,BUF,1,30,30,55,37,3,40,40,6.6,22.0
5,Jason Witten,TE,DAL,1,52,52,75,0,8,8,8,3.3,6.3
6,Joe Flacco,QB,DEN,1,67,67,99,0,0,51,51,6.5,9.7
7,Julian Edelman,WR,NE,1,73,73,89,4,16,14,21,6.7,9.2
8,Larry Fitzgerald,WR,ARI,1,47,47,73,0,6,2,6,1.2,2.6
9,LeSean McCoy,RB,KC,1,26,26,41,46,8,54,54,7.6,29.2
10,Marcedes Lewis,TE,GB,1,23,23,40,0,0,0,0,0.0,0.0
11,Matt Moore,QB,KC,1,41,41,65,2,0,49,49,8.6,21.0
12,Matt Ryan,QB,ATL,1,46,46,82,2,0,61,61,3.6,7.8
13,Matt Schaub,QB,ATL,1,9,9,16,11,0,78,78,6.5,72.2
14,Matthew Slater,WR,NE,1,2,2,2,0,0,0,0,0.0,0.0
15,Matthew Stafford,QB,DET,1,75,75,100,0,0,60,60,29.6,39.5
16,Philip Rivers,QB,LAC,1,63,63,100,0,0,60,60,21.2,33.7
17,Ryan Fitzpatrick,QB,MIA,1,72,72,99,8,0,57,57,21.6,30.0
18,Ted Ginn Jr.,WR,NO,1,53,53,69,0,9,4,9,4.8,9.1
19,Tom Brady,QB,NE,1,77,77,94,0,0,58,58,13.0,16.9
20,Golden Tate,WR,NYG,1,69,69,99,0,16,9,16,8.0,11.6
21,Andre Roberts,WR,BUF,1,7,7,13,0,14,0,14,0.0,0.0
22,Emmanuel Sanders,WR,DEN,1,59,59,87,0,10,8,10,6.0,10.2
23,Jimmy Graham,TE,GB,1,32,32,55,0,13,13,13,12.5,39.1
24,Julio Jones,WR,ATL,1,41,41,73,0,22,15,22,9.3,22.7
25,Mark Ingram II,RB,BAL,1,30,30,52,40,3,43,43,5.3,17.7
26,Randall Cobb,WR,DAL,1,33,33,48,0,9,6,9,2.9,8.8
