rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,New England Patriots,2,4,0,0,1,0,2,1,34.0,34.0,93.2,NE,DST,4,2010
2,New York Giants,10,2,1,3,0,0,0,1,26.0,26.0,4.5,NYG,DST,4,2010
3,Green Bay Packers,3,2,1,1,1,0,0,1,25.0,25.0,60.6,GB,DST,4,2010
4,San Francisco 49ers,3,2,0,0,0,0,0,1,24.0,24.0,79.5,SF,DST,4,2010
5,Houston Texans,4,2,1,2,0,0,0,1,20.0,20.0,6.4,HOU,DST,4,2010
6,Arizona Cardinals,1,0,1,1,1,0,0,1,19.0,19.0,60.9,ARI,DST,4,2010
7,Cleveland Browns,4,0,2,1,0,0,0,1,19.0,19.0,40.8,CLE,DST,4,2010
8,Tennessee Titans,6,1,0,1,0,0,1,1,18.0,18.0,48.4,TEN,DST,4,2010
9,Chicago Bears,2,0,3,2,0,0,0,1,18.0,18.0,35.9,CHI,DST,4,2010
10,Detroit Lions,2,2,2,0,0,0,0,1,17.0,17.0,1.1,DET,DST,4,2010
11,New York Jets,3,0,2,1,0,0,0,1,17.0,17.0,3.3,NYJ,DST,4,2010
12,Carolina Panthers,2,0,2,3,0,0,0,1,16.0,16.0,27.8,CAR,DST,4,2010
13,Seattle Seahawks,4,1,0,0,0,0,0,1,16.0,16.0,39.4,SEA,DST,4,2010
14,Denver Broncos,2,0,2,1,0,0,0,1,16.0,16.0,48.5,DEN,DST,4,2010
15,Pittsburgh Steelers,1,1,1,2,0,0,0,1,15.0,15.0,44.6,PIT,DST,4,2010
16,New Orleans Saints,3,0,1,0,0,0,0,1,15.0,15.0,79.3,NO,DST,4,2010
17,Washington Commanders,1,1,1,3,0,0,0,1,15.0,15.0,27.5,WAS,DST,4,2010
18,Jacksonville Jaguars,1,1,1,1,0,0,0,1,15.0,15.0,6.9,JAC,DST,4,2010
19,Atlanta Falcons,1,2,1,1,0,0,0,1,14.0,14.0,5.8,ATL,DST,4,2010
20,Baltimore Ravens,2,1,0,0,0,0,0,1,14.0,14.0,51.9,BAL,DST,4,2010
21,Philadelphia Eagles,1,1,0,0,0,0,0,1,13.0,13.0,52.5,PHI,DST,4,2010
22,Cincinnati Bengals,1,1,0,1,0,0,0,1,13.0,13.0,14.7,CIN,DST,4,2010
23,Indianapolis Colts,0,0,0,0,0,0,0,1,10.0,10.0,66.4,IND,DST,4,2010
24,Buffalo Bills,0,0,0,0,0,0,0,1,10.0,10.0,95.9,BUF,DST,4,2010
25,Miami Dolphins,3,0,0,0,0,0,0,1,10.0,10.0,60.2,MIA,DST,4,2010
26,Minnesota Vikings,0,0,0,0,0,0,0,0,0.0,0.0,28.0,MIN,DST,4,2010
27,Kansas City Chiefs,0,0,0,0,0,0,0,0,0.0,0.0,45.7,KC,DST,4,2010
28,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,4,2010
29,Dallas Cowboys,0,0,0,0,0,0,0,0,0.0,0.0,82.9,DAL,DST,4,2010
30,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,4,2010
31,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,4,2010
32,Tampa Bay Buccaneers,0,0,0,0,0,0,0,0,0.0,0.0,98.0,TB,DST,4,2010
