rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,Rob Gronkowski,8.0,8.0,90.0,11.3,20.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,21.0,21.0,97.7,TB,TE,1,2021
2.0,Travis Kelce,6.0,7.0,76.0,12.7,19.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,19.6,19.6,100.0,KC,TE,1,2021
3.0,T.J. Hockenson,8.0,11.0,97.0,12.1,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.7,17.7,57.4,DET,TE,1,2021
4.0,Darren Waller,10.0,19.0,105.0,10.5,24.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.5,16.5,92.6,LV,TE,1,2021
5.0,Juwan Johnson,3.0,3.0,21.0,7.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,14.1,14.1,1.9,NO,TE,1,2021
6.0,Dallas Goedert,4.0,5.0,42.0,10.5,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.2,10.2,89.8,PHI,TE,1,2021
7.0,Logan Thomas,3.0,3.0,30.0,10.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,27.1,WAS,TE,1,2021
8.0,Chris Manhertz,1.0,1.0,22.0,22.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.2,8.2,0.0,JAC,TE,1,2021
9.0,Gerald Everett,2.0,2.0,20.0,10.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,35.7,SEA,TE,1,2021
10.0,George Kittle,4.0,5.0,78.0,19.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.8,7.8,99.7,SF,TE,1,2021
11.0,David Njoku,3.0,5.0,76.0,25.3,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.6,7.6,12.9,CLE,TE,1,2021
12.0,Tyler Higbee,5.0,6.0,68.0,13.6,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,77.4,LAR,TE,1,2021
13.0,Pharaoh Brown,4.0,5.0,67.0,16.8,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.7,6.7,0.1,HOU,TE,1,2021
14.0,Noah Fant,6.0,8.0,62.0,10.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.2,6.2,80.3,DEN,TE,1,2021
15.0,Albert Okwuegbunam,3.0,3.0,16.0,5.3,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.6,5.6,1.0,DEN,TE,1,2021
