player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,year
Aaron Rodgers,QB,GB,7,417,60,87,6,0,63,63,129.5,31.1,2017
Adrian Peterson,RB,ARI,10,301,30,45,52,6,55,58,67.9,22.6,2017
Alex Smith,QB,KC,15,961,64,100,6,0,59,59,295.1,30.7,2017
Ben Roethlisberger,QB,PIT,15,1038,69,99,3,0,57,57,260.6,25.1,2017
Benjamin Watson,TE,BAL,16,700,44,65,0,11,9,11,76.2,10.9,2017
Brian Hoyer,QB,NE,11,382,35,50,2,0,58,58,64.0,16.8,2017
Chad Henne,QB,JAC,2,23,12,16,22,0,30,30,-0.5,-2.2,2017
Chase Daniel,QB,NO,1,5,5,6,60,0,60,60,-0.2,-4.0,2017
Danny Amendola,WR,NE,15,568,38,53,0,15,11,15,77.9,13.7,2017
Darren Sproles,RB,PHI,3,89,30,41,17,13,25,30,11.4,12.8,2017
DeSean Jackson,WR,TB,14,609,44,65,0,15,9,15,88.6,14.5,2017
Drew Brees,QB,NO,16,1032,65,100,3,0,55,55,262.6,25.4,2017
Drew Stanton,QB,ARI,5,320,64,92,3,0,53,53,50.3,15.7,2017
Eli Manning,QB,NYG,15,1017,68,100,1,0,57,57,187.3,18.4,2017
Frank Gore,RB,IND,16,555,35,54,47,7,52,54,144.6,26.1,2017
Greg Olsen,TE,CAR,7,358,51,77,0,11,5,11,25.1,7.0,2017
Jared Cook,TE,OAK,16,791,49,78,0,11,7,11,78.7,9.9,2017
Jason Witten,TE,DAL,16,1048,66,98,0,8,6,8,84.0,8.0,2017
Joe Flacco,QB,BAL,16,1026,64,95,2,0,56,56,184.9,18.0,2017
Josh McCown,QB,NYJ,13,820,63,97,5,0,53,53,205.6,25.1,2017
Larry Fitzgerald,WR,ARI,16,1071,67,95,0,15,10,15,152.4,14.2,2017
LeSean McCoy,RB,BUF,16,720,45,68,40,11,48,51,204.6,28.4,2017
Marcedes Lewis,TE,JAC,16,895,56,79,0,5,3,5,63.8,7.1,2017
Marshawn Lynch,RB,OAK,15,460,31,49,45,7,49,52,144.3,31.4,2017
Matt Moore,QB,MIA,4,203,51,77,1,0,64,64,41.3,20.3,2017
Matt Ryan,QB,ATL,16,1025,64,100,3,0,55,55,228.1,22.3,2017
Matthew Slater,WR,NE,9,13,1,2,0,0,0,0,0.0,0.0,2017
Matthew Stafford,QB,DET,16,1032,65,99,3,0,58,58,273.8,26.5,2017
