rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Cincinnati Bengals,4,3,1,2,1,0,1,1,26.0,26.0,14.7,CIN,DST,11,2013
2,Buffalo Bills,4,3,1,1,1,0,0,1,19.0,19.0,95.9,BUF,DST,11,2013
3,Seattle Seahawks,2,3,1,1,1,0,0,1,17.0,17.0,39.4,SEA,DST,11,2013
4,New York Giants,0,3,0,0,1,0,0,1,16.0,16.0,4.5,NYG,DST,11,2013
5,Tampa Bay Buccaneers,3,2,1,1,1,0,0,1,15.0,15.0,98.0,TB,DST,11,2013
6,Chicago Bears,3,2,0,1,1,0,0,1,14.0,14.0,35.9,CHI,DST,11,2013
7,Cleveland Browns,0,2,0,0,1,0,0,1,9.0,9.0,40.8,CLE,DST,11,2013
8,Philadelphia Eagles,4,1,1,2,0,0,0,1,9.0,9.0,52.5,PHI,DST,11,2013
9,Pittsburgh Steelers,2,1,2,2,0,0,0,1,8.0,8.0,44.6,PIT,DST,11,2013
10,Arizona Cardinals,2,2,0,0,0,0,0,1,7.0,7.0,60.9,ARI,DST,11,2013
11,Carolina Panthers,2,1,1,1,0,0,0,1,7.0,7.0,27.8,CAR,DST,11,2013
12,New Orleans Saints,3,1,0,0,0,0,0,1,6.0,6.0,79.3,NO,DST,11,2013
13,Miami Dolphins,3,1,0,0,0,0,0,1,6.0,6.0,60.2,MIA,DST,11,2013
14,Green Bay Packers,4,1,0,0,0,0,0,1,6.0,6.0,60.6,GB,DST,11,2013
15,Denver Broncos,3,0,1,1,0,0,0,1,6.0,6.0,48.5,DEN,DST,11,2013
16,San Francisco 49ers,1,1,1,1,0,0,0,1,5.0,5.0,79.5,SF,DST,11,2013
17,Indianapolis Colts,2,0,1,0,0,0,0,1,4.0,4.0,66.4,IND,DST,11,2013
18,Baltimore Ravens,2,0,0,1,0,0,0,1,3.0,3.0,51.9,BAL,DST,11,2013
19,Jacksonville Jaguars,3,0,0,0,0,0,0,1,3.0,3.0,6.9,JAC,DST,11,2013
20,Washington Commanders,3,0,0,0,0,0,0,1,3.0,3.0,27.5,WAS,DST,11,2013
21,New England Patriots,3,0,0,0,0,0,0,1,3.0,3.0,93.2,NE,DST,11,2013
22,Kansas City Chiefs,0,0,1,0,0,0,0,1,2.0,2.0,45.7,KC,DST,11,2013
23,Houston Texans,2,0,0,0,0,0,1,1,1.0,1.0,6.4,HOU,DST,11,2013
24,New York Jets,1,0,0,0,0,0,0,1,0.0,0.0,3.3,NYJ,DST,11,2013
25,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,11,2013
26,Dallas Cowboys,0,0,0,0,0,0,0,0,0.0,0.0,82.9,DAL,DST,11,2013
27,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,11,2013
28,Tennessee Titans,1,0,0,0,0,0,0,1,0.0,0.0,48.4,TEN,DST,11,2013
29,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,11,2013
30,Atlanta Falcons,2,0,0,0,0,0,0,1,-2.0,-2.0,5.8,ATL,DST,11,2013
31,Detroit Lions,1,0,0,0,0,0,0,1,-3.0,-3.0,1.1,DET,DST,11,2013
32,Minnesota Vikings,1,0,0,1,0,0,0,1,-3.0,-3.0,28.0,MIN,DST,11,2013
