player,field_goal,field_goal_att,XPT,fantasy_points,team,week,position
Ryan Succop,2.0,2.4,2.8,8.8,TB,18,K
Harrison Butker,1.9,2.2,2.6,8.3,KC,18,K
Matt Prater,1.8,2.2,2.7,8.1,ARI,18,K
Randy Bullock,1.8,2.2,2.6,8.1,TEN,18,K
Michael Badgley,1.8,2.2,2.8,8.1,IND,18,K
Mason Crosby,1.7,2.1,2.7,7.9,GB,18,K
Greg Zuerlein,1.7,2.2,2.6,7.8,DAL,18,K
Robbie Gould,1.8,2.1,2.3,7.8,SF,18,K
Dustin Hopkins,1.7,2.1,2.5,7.7,LAC,18,K
Tyler Bass,1.5,1.8,3.1,7.7,BUF,18,K
Evan McPherson,1.8,2.0,2.2,7.6,CIN,18,K
Greg Joseph,1.7,2.0,2.3,7.5,MIN,18,K
Matt Gay,1.7,2.0,2.5,7.5,LAR,18,K
Nick Folk,1.6,1.9,2.4,7.3,NE,18,K
Justin Tucker,1.7,1.9,2.3,7.3,BAL,18,K
Daniel Carlson,1.6,1.9,2.3,7.2,LV,18,K
Cairo Santos,1.7,2.0,1.9,7.1,CHI,18,K
Jake Elliott,1.8,2.1,1.7,7.1,PHI,18,K
Joey Slye,1.7,2.0,1.9,7.1,WAS,18,K
Jason Myers,1.7,2.0,2.0,7.0,SEA,18,K
Brett Maher,1.6,1.9,2.1,7.0,NO,18,K
Chris Boswell,1.7,2.0,1.7,6.9,PIT,18,K
Brian Johnson,1.6,1.7,2.0,6.6,WAS,18,K
Jason Sanders,1.6,2.0,1.7,6.6,MIA,18,K
Riley Patterson,1.6,1.9,1.8,6.5,DET,18,K
Chris Naggar,1.5,1.7,2.0,6.5,DAL,18,K
Younghoe Koo,1.5,1.7,1.8,6.4,ATL,18,K
Ka'imi Fairbairn,1.5,1.9,1.6,6.2,HOU,18,K
Brandon McManus,1.5,1.7,1.8,6.2,DEN,18,K
Chase McLaughlin,1.4,1.6,1.9,6.2,CLE,18,K
Matthew Wright,1.5,1.8,1.2,5.8,JAC,18,K
Eddy Pineiro,1.5,1.7,1.2,5.8,NYJ,18,K
Graham Gano,1.5,1.7,1.3,5.7,NYG,18,K
Lirim Hajrullahu,1.4,1.6,1.5,5.6,CAR,18,K
