rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Christian McCaffrey,287.0,1387.0,4.8,84.0,6.0,15.0,116.0,142.0,1005.0,8.7,4.0,0.0,16.0,355.2,22.2,47.2,CAR,RB,2019
2.0,Derrick Henry,303.0,1540.0,5.1,74.0,9.0,16.0,18.0,24.0,206.0,11.4,2.0,3.0,15.0,276.6,18.4,78.0,TEN,RB,2019
3.0,Aaron Jones,236.0,1084.0,4.6,56.0,5.0,16.0,49.0,68.0,474.0,9.7,3.0,2.0,16.0,265.8,16.6,98.9,GB,RB,2019
4.0,Ezekiel Elliott,301.0,1357.0,4.5,33.0,4.0,12.0,54.0,71.0,420.0,7.8,2.0,2.0,16.0,257.7,16.1,99.7,DAL,RB,2019
5.0,Dalvin Cook,250.0,1135.0,4.5,75.0,7.0,13.0,53.0,63.0,519.0,9.8,0.0,2.0,14.0,239.4,17.1,100.0,MIN,RB,2019
6.0,Nick Chubb,298.0,1494.0,5.0,88.0,11.0,8.0,36.0,49.0,278.0,7.7,0.0,3.0,16.0,219.2,13.7,99.8,CLE,RB,2019
7.0,Austin Ekeler,132.0,557.0,4.2,35.0,4.0,3.0,92.0,108.0,993.0,10.8,8.0,2.0,16.0,217.0,13.6,99.9,LAC,RB,2019
9.0,Chris Carson,278.0,1230.0,4.4,59.0,8.0,7.0,37.0,47.0,266.0,7.2,2.0,4.0,15.0,195.6,13.0,31.7,SEA,RB,2019
10.0,Saquon Barkley,217.0,1003.0,4.6,68.0,8.0,6.0,52.0,73.0,438.0,8.4,2.0,0.0,13.0,192.1,14.8,97.6,NYG,RB,2019
11.0,Joe Mixon,278.0,1137.0,4.1,41.0,6.0,5.0,35.0,45.0,287.0,8.2,3.0,0.0,16.0,190.4,11.9,98.1,CIN,RB,2019
13.0,Leonard Fournette,265.0,1152.0,4.3,81.0,7.0,3.0,76.0,100.0,522.0,6.9,0.0,1.0,15.0,183.4,12.2,74.8,JAC,RB,2019
14.0,Josh Jacobs,242.0,1150.0,4.8,51.0,8.0,7.0,20.0,27.0,166.0,8.3,0.0,1.0,13.0,171.6,13.2,98.0,OAK,RB,2019
15.0,Miles Sanders,179.0,818.0,4.6,65.0,5.0,3.0,50.0,63.0,509.0,10.2,3.0,1.0,16.0,168.7,10.5,77.0,PHI,RB,2019
16.0,Alvin Kamara,171.0,797.0,4.7,40.0,5.0,5.0,81.0,97.0,533.0,6.6,1.0,1.0,14.0,167.5,12.0,100.0,NO,RB,2019
17.0,Marlon Mack,247.0,1091.0,4.4,63.0,9.0,8.0,14.0,17.0,82.0,5.9,0.0,0.0,14.0,167.3,12.0,1.6,IND,RB,2019
18.0,Kenyan Drake,170.0,817.0,4.8,80.0,4.0,8.0,50.0,68.0,345.0,6.9,0.0,1.0,14.0,164.2,11.7,29.4,CIN,RB,2019
19.0,Phillip Lindsay,224.0,1011.0,4.5,40.0,7.0,7.0,35.0,48.0,196.0,5.6,0.0,0.0,16.0,162.7,10.2,9.0,DEN,RB,2019
20.0,Raheem Mostert,137.0,772.0,5.6,41.0,3.0,8.0,14.0,22.0,180.0,12.9,2.0,2.0,16.0,151.2,9.5,13.0,SF,RB,2019
21.0,Le'Veon Bell,245.0,789.0,3.2,19.0,0.0,3.0,66.0,78.0,461.0,7.0,1.0,1.0,15.0,149.0,9.9,5.4,NYJ,RB,2019
22.0,David Montgomery,242.0,889.0,3.7,55.0,3.0,6.0,25.0,35.0,185.0,7.4,1.0,2.0,16.0,145.4,9.1,98.7,CHI,RB,2019
23.0,Carlos Hyde,245.0,1070.0,4.4,58.0,8.0,6.0,10.0,16.0,42.0,4.2,0.0,2.0,16.0,143.2,9.0,6.9,HOU,RB,2019
24.0,Sony Michel,247.0,912.0,3.7,26.0,3.0,7.0,12.0,20.0,94.0,7.8,0.0,1.0,16.0,140.6,8.8,89.4,NE,RB,2019
26.0,Devonta Freeman,184.0,656.0,3.6,28.0,3.0,2.0,59.0,70.0,410.0,6.9,4.0,2.0,14.0,138.6,9.9,74.2,ATL,RB,2019
28.0,Adrian Peterson,211.0,898.0,4.3,32.0,6.0,5.0,17.0,23.0,142.0,8.4,0.0,2.0,16.0,130.0,8.1,4.9,WAS,RB,2019
29.0,James White,67.0,263.0,3.9,32.0,1.0,1.0,72.0,95.0,645.0,9.0,5.0,1.0,15.0,128.2,8.5,7.9,NE,RB,2019
30.0,Latavius Murray,146.0,637.0,4.4,30.0,3.0,5.0,34.0,43.0,235.0,6.9,1.0,0.0,16.0,123.2,7.7,22.2,NO,RB,2019
31.0,Devin Singletary,151.0,775.0,5.1,38.0,7.0,2.0,29.0,41.0,194.0,6.7,2.0,1.0,12.0,118.9,9.9,89.1,BUF,RB,2019
32.0,Tevin Coleman,137.0,544.0,4.0,48.0,4.0,6.0,21.0,30.0,180.0,8.6,1.0,0.0,14.0,114.4,8.2,18.5,SF,RB,2019
33.0,James Conner,116.0,464.0,4.0,25.0,2.0,4.0,34.0,38.0,251.0,7.4,3.0,1.0,10.0,111.5,11.2,94.6,PIT,RB,2019
