Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Todd Gurley II(FA),279,"1,305",4.7,57,8,13,64,87,788,12.3,6,2,15,319.3,21.3,0.4%
2,Le'Veon Bell(FA),321,"1,291",4.0,27,3,9,85,106,655,7.7,2,2,15,256.6,17.1,5.4%
3,Kareem Hunt(CLE),272,"1,327",4.9,69,12,8,53,63,455,8.6,3,1,16,242.2,15.1,82.1%
4,Alvin Kamara(NO),120,728,6.1,74,5,8,81,100,826,10.2,5,1,16,233.4,14.6,100.0%
5,Melvin Gordon III(DEN),284,"1,105",3.9,87,5,8,58,83,476,8.2,4,0,16,230.1,14.4,87.8%
6,Mark Ingram II(NO),230,"1,124",4.9,72,11,12,58,71,416,7.2,0,3,16,220.0,13.8,39.1%
7,LeSean McCoy(FA),287,"1,138",4.0,48,12,6,59,77,448,7.6,2,1,16,204.6,12.8,2.0%
8,Leonard Fournette(TB),268,"1,040",3.9,90,4,9,36,48,302,8.4,1,0,13,194.2,14.9,74.8%
9,Ezekiel Elliott(DAL),242,983,4.1,30,5,7,26,38,269,10.3,2,1,10,177.2,17.7,99.7%
10,Jordan Howard(PHI),276,"1,122",4.1,53,5,9,23,32,125,5.4,0,1,16,176.5,11.0,18.7%
11,Carlos Hyde(JAC),240,938,3.9,61,6,8,59,88,350,5.9,0,1,16,175.0,10.9,6.9%
12,Dion Lewis(FA),180,896,5.0,44,7,6,32,35,214,6.7,3,0,16,165.0,10.3,2.0%
13,Devonta Freeman(BAL),196,865,4.4,44,5,7,36,47,317,8.8,1,1,14,164.2,11.7,74.2%
14,Lamar Miller(FA),238,888,3.7,21,1,3,36,45,327,9.1,3,0,16,157.5,9.8,0.0%
15,Christian McCaffrey(CAR),117,435,3.7,40,1,2,80,113,651,8.1,5,1,16,148.6,9.3,47.2%
16,Alex Collins(SEA),212,973,4.6,50,6,6,23,36,187,8.1,0,2,15,148.0,9.9,18.8%
17,C.J. Anderson(FA),245,"1,007",4.1,40,7,3,28,40,224,8.0,1,1,16,147.1,9.2,1.0%
18,Frank Gore(FA),261,961,3.7,21,1,3,29,38,245,8.4,1,0,16,144.6,9.0,12.2%
19,Marshawn Lynch(FA),207,891,4.3,51,5,7,20,31,151,7.6,0,1,15,144.3,9.6,0.3%
20,Latavius Murray(BAL),216,842,3.9,46,7,8,15,17,103,6.9,0,0,16,142.4,8.9,22.2%
21,Duke Johnson Jr.(MIA),82,348,4.2,19,0,4,74,93,693,9.4,3,2,16,142.1,8.9,7.4%
22,Tevin Coleman(NYJ),156,628,4.0,52,6,5,27,39,299,11.1,3,0,15,140.9,9.4,18.5%
23,DeMarco Murray(FA),184,659,3.6,75,3,6,39,47,266,6.8,1,1,15,132.5,8.8,0.1%
24,Jerick McKinnon(KC),150,570,3.8,58,2,3,51,68,421,8.3,2,2,16,127.1,7.9,0.8%
25,Derrick Henry(TEN),176,744,4.2,75,5,5,11,17,136,12.4,1,0,16,124.0,7.8,78.0%
