rank,player,passing_cmp,passing_att,passing_pct,passing_yds,passing_ya,passing_td,passing_int,passing_sacks,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
1,Mitchell Trubisky,23,30,76.7,355,11.8,3,0,1,3,18,1,0,1,36.0,36.0,0.4,BUF,10,QB
2,Ben Roethlisberger,22,25,88.0,328,13.1,5,0,1,3,27,0,0,1,35.8,35.8,23.8,FA,10,QB
3,Drew Brees,22,25,88.0,265,10.6,3,0,0,2,3,1,0,1,28.9,28.9,35.7,FA,10,QB
4,Russell Wilson,17,26,65.4,176,6.8,3,0,4,9,92,0,1,1,26.2,26.2,90.4,SEA,10,QB
5,Baker Mayfield,17,20,85.0,216,10.8,3,0,0,6,20,0,0,1,22.6,22.6,26.4,CLE,10,QB
6,Dak Prescott,26,36,72.2,270,7.5,1,0,4,6,9,1,0,1,21.7,21.7,98.2,DAL,10,QB
7,Blake Bortles,26,38,68.4,320,8.4,2,0,0,2,8,0,0,1,21.6,21.6,0.1,NO,10,QB
8,Marcus Mariota,16,24,66.7,228,9.5,2,0,2,2,21,0,0,1,21.3,21.3,0.2,LV,10,QB
9,Andrew Luck,21,29,72.4,285,9.8,3,1,0,5,-2,0,0,1,21.2,21.2,2.2,FA,10,QB
10,Carson Wentz,32,44,72.7,360,8.2,2,1,2,2,7,0,0,1,21.1,21.1,44.0,IND,10,QB
11,Jared Goff,28,39,71.8,318,8.2,2,0,2,3,3,0,0,1,21.0,21.0,5.3,DET,10,QB
12,Matt Ryan,38,52,73.1,330,6.3,2,0,2,3,13,0,1,1,20.5,20.5,36.3,ATL,10,QB
13,Patrick Mahomes II,21,28,75.0,249,8.9,2,0,5,4,21,0,0,1,20.1,20.1,100.0,KC,10,QB
14,Eli Manning,19,31,61.3,188,6.1,3,0,1,0,0,0,0,1,19.5,19.5,2.3,FA,10,QB
15,Aaron Rodgers,19,28,67.9,199,7.1,2,0,2,6,21,0,0,1,18.1,18.1,97.4,GB,10,QB
16,Matt Barkley,15,25,60.0,232,9.3,2,0,1,3,-2,0,0,1,17.1,17.1,0.0,FA,10,QB
17,Matthew Stafford,25,42,59.5,274,6.5,2,2,6,2,9,0,0,1,15.9,15.9,97.2,LAR,10,QB
18,Philip Rivers,18,26,69.2,223,8.6,2,1,1,1,1,0,0,1,15.0,15.0,20.6,FA,10,QB
19,Cam Newton,23,29,79.3,193,6.7,2,1,5,2,10,0,0,1,14.7,14.7,20.3,CAR,10,QB
20,Ryan Fitzpatrick,29,41,70.7,406,9.9,0,2,2,8,35,0,1,1,13.7,13.7,6.1,WAS,10,QB
21,Alex Smith,19,27,70.4,178,6.6,1,0,3,2,16,0,0,1,12.7,12.7,5.0,FA,10,QB
22,Jeff Driskel,2,3,66.7,45,15.0,0,0,0,2,35,1,0,1,11.3,11.3,0.0,HOU,10,QB
23,Tom Brady,21,41,51.2,254,6.2,0,0,3,1,0,0,0,1,10.8,10.8,99.1,FA,10,QB
24,Nick Mullens,27,39,69.2,250,6.4,1,2,0,2,1,0,0,1,10.1,10.1,0.3,CLE,10,QB
25,Josh Rosen,22,39,56.4,208,5.3,1,2,5,1,-1,0,0,1,8.2,8.2,0.0,ATL,10,QB
