rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,Jack Doyle,3.0,4.0,35.0,11.7,16.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,15.5,15.5,2.2,TE,1,2016,IND
2.0,Dwayne Allen,4.0,6.0,53.0,13.3,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.3,13.3,0.0,TE,1,2016,IND
3.0,Julius Thomas,5.0,5.0,64.0,12.8,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.4,12.4,0.0,TE,1,2016,JAC
4.0,Eric Ebron,5.0,5.0,46.0,9.2,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.6,10.6,3.0,TE,1,2016,DET
5.0,Austin Seferian-Jenkins,1.0,1.0,30.0,30.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,TE,1,2016,TB
6.0,Larry Donnell,1.0,2.0,15.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,0.0,TE,1,2016,NYG
7.0,Vance McDonald,2.0,3.0,14.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.4,7.4,0.0,TE,1,2016,SF
8.0,Travis Kelce,6.0,7.0,74.0,12.3,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4,7.4,100.0,TE,1,2016,KC
9.0,Greg Olsen,7.0,9.0,73.0,10.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.3,7.3,7.0,TE,1,2016,CAR
10.0,Jason Witten,9.0,14.0,66.0,7.3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6,6.6,0.1,TE,1,2016,DAL
11.0,Kyle Rudolph,4.0,8.0,65.0,16.3,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,6.5,0.3,TE,1,2016,MIN
12.0,Jordan Reed,7.0,11.0,64.0,9.1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.4,6.4,19.0,TE,1,2016,WAS
13.0,Brandon Myers,1.0,1.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.4,6.4,0.0,TE,1,2016,TB
14.0,C.J. Uzomah,2.0,5.0,59.0,29.5,54.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.9,5.9,20.8,TE,1,2016,CIN
15.0,Zach Ertz,6.0,7.0,58.0,9.7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.8,5.8,85.8,TE,1,2016,PHI
16.0,Jacob Tamme,6.0,8.0,51.0,8.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.1,5.1,0.0,TE,1,2016,ATL
17.0,Marcedes Lewis,2.0,2.0,48.0,24.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,4.8,0.2,TE,1,2016,JAC
18.0,Delanie Walker,3.0,5.0,42.0,14.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,4.2,0.1,TE,1,2016,TEN
19.0,Jermaine Gresham,4.0,4.0,41.0,10.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1,4.1,0.0,TE,1,2016,ARI
20.0,Charles Clay,2.0,3.0,40.0,20.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,TE,1,2016,BUF
21.0,Dennis Pitta,3.0,4.0,39.0,13.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,3.9,0.0,TE,1,2016,BAL
22.0,Jesse James,5.0,7.0,31.0,6.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,0.0,TE,1,2016,PIT
23.0,Cameron Brate,3.0,3.0,30.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.8,TE,1,2016,TB
24.0,Virgil Green,4.0,5.0,28.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8,2.8,0.0,TE,1,2016,DEN
25.0,Luke Willson,2.0,4.0,26.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6,2.6,0.0,TE,1,2016,SEA
26.0,Stephen Anderson,3.0,3.0,25.0,8.3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0.2,TE,1,2016,HOU
27.0,Clive Walford,3.0,5.0,25.0,8.3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0.0,TE,1,2016,OAK
28.0,Richard Rodgers,1.0,3.0,22.0,22.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.2,0.0,TE,1,2016,GB
29.0,Geoff Swaim,1.0,1.0,21.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,0.3,TE,1,2016,DAL
30.0,Hunter Henry,1.0,2.0,20.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,65.9,TE,1,2016,SD
31.0,Antonio Gates,3.0,4.0,20.0,6.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.2,TE,1,2016,SD
32.0,Demetrius Harris,2.0,3.0,20.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.1,TE,1,2016,KC
34.0,Ryan Griffin,2.0,2.0,17.0,8.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,1.7,0.6,TE,1,2016,HOU
35.0,Will Tye,3.0,3.0,16.0,5.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,0.0,TE,1,2016,NYG
36.0,Lance Kendricks,2.0,3.0,15.0,7.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0.0,TE,1,2016,LAR
37.0,Garrett Celek,1.0,4.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,0.0,TE,1,2016,SF
38.0,Martellus Bennett,3.0,5.0,14.0,4.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,23.0,TE,1,2016,NE
39.0,Austin Hooper,1.0,1.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,28.8,TE,1,2016,ATL
40.0,Zach Miller,3.0,4.0,14.0,4.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,0.0,TE,1,2016,CHI
41.0,Jimmy Graham,1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,1.1,0.8,TE,1,2016,SEA
42.0,Brent Celek,1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,1.1,0.0,TE,1,2016,PHI
43.0,Jared Cook,1.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,50.2,TE,1,2016,GB
44.0,Jordan Cameron,2.0,3.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.1,TE,1,2016,MIA
45.0,Coby Fleener,1.0,4.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.0,TE,1,2016,NO
46.0,C.J. Fiedorowicz,1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.0,TE,1,2016,HOU
47.0,Cole Wick,1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,TE,1,2016,DET
48.0,Crockett Gillmore,1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,TE,1,2016,BAL
