,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Sam Darnold(CAR),26,39,66.7,301,7.7,2,2,5,6,35,2,0,1,33.5,33.5,5.5%
1,2,Patrick Mahomes II(KC),24,30,80.0,267,8.9,5,1,1,5,26,0,0,1,32.3,32.3,100.0%
2,3,Matt Ryan(ATL),25,42,59.5,283,6.7,4,0,1,1,17,0,0,1,29.0,29.0,36.3%
3,4,Jalen Hurts(PHI),32,48,66.7,387,8.1,2,0,3,8,47,0,0,1,28.2,28.2,94.4%
4,5,Taylor Heinicke(WAS),23,33,69.7,290,8.8,3,0,1,5,43,0,0,1,27.9,27.9,21.2%
5,6,Daniel Jones(NYG),28,40,70.0,402,10.1,2,1,0,4,27,0,0,1,27.8,27.8,13.6%
6,7,Dak Prescott(DAL),14,22,63.6,188,8.5,4,0,0,4,35,0,0,1,27.0,27.0,98.2%
7,8,Aaron Rodgers(GB),20,36,55.6,248,6.9,2,0,3,3,2,1,0,1,24.1,24.1,97.4%
8,9,Kyler Murray(ARI),24,32,75.0,268,8.4,2,0,3,6,39,0,0,1,22.6,22.6,99.3%
9,10,Russell Wilson(SEA),16,23,69.6,149,6.5,2,0,3,4,26,1,0,1,22.6,22.6,90.4%
10,11,Joe Burrow(CIN),25,32,78.1,348,10.9,2,0,1,3,4,0,0,1,22.3,22.3,88.3%
11,12,Justin Herbert(LAC),25,38,65.8,222,5.8,3,0,2,3,4,0,0,1,21.3,21.3,98.8%
12,13,Josh Allen(BUF),20,30,66.7,248,8.3,2,1,1,6,41,0,0,1,21.0,21.0,100.0%
13,14,Trey Lance(SF),9,18,50.0,157,8.7,2,0,1,7,41,0,0,1,20.4,20.4,26.3%
14,15,Matthew Stafford(LAR),26,41,63.4,280,6.8,2,1,0,6,21,0,0,1,20.3,20.3,97.2%
15,16,Lamar Jackson(BAL),22,37,59.5,316,8.5,1,0,3,7,28,0,0,1,19.4,19.4,94.0%
16,17,Ryan Tannehill(TEN),30,49,61.2,298,6.1,1,0,7,3,9,0,0,1,18.8,18.8,62.7%
17,18,Zach Wilson(NYJ),21,34,61.8,297,8.7,2,1,1,3,-2,0,0,1,18.7,18.7,6.6%
18,19,Mac Jones(NE),31,40,77.5,275,6.9,2,1,4,1,-1,0,0,1,17.9,17.9,28.5%
19,20,Carson Wentz(IND),24,32,75.0,228,7.1,2,0,2,5,8,0,0,1,17.9,17.9,44.0%
20,21,Trevor Lawrence(JAC),17,24,70.8,204,8.5,0,0,1,8,36,1,0,1,17.8,17.8,23.9%
21,22,Taysom Hill(NO),2,3,66.7,9,3.0,0,1,0,6,28,2,0,1,16.8,16.8,53.2%
22,23,Jared Goff(DET),24,38,63.2,299,7.9,2,0,4,3,8,0,2,1,16.8,16.8,5.3%
23,24,Derek Carr(LV),21,34,61.8,196,5.8,2,1,4,3,6,0,0,1,15.4,15.4,58.1%
24,25,Jacoby Brissett(MIA),20,30,66.7,199,6.6,2,0,3,3,8,0,1,1,14.8,14.8,0.6%
25,26,Jameis Winston(NO),17,23,73.9,226,9.8,1,0,0,0,0,0,0,1,13.0,13.0,5.2%
26,27,Tom Brady(FA),22,43,51.2,269,6.3,0,0,1,4,3,0,0,1,11.1,11.1,99.1%
27,28,Kirk Cousins(MIN),20,38,52.6,203,5.3,1,1,2,2,0,0,0,1,11.1,11.1,70.7%
28,29,Ben Roethlisberger(FA),26,40,65.0,232,5.8,1,1,2,0,0,0,1,1,10.3,10.3,23.8%
29,30,Jimmy Garoppolo(SF),14,23,60.9,165,7.2,1,1,1,0,0,0,0,1,9.6,9.6,23.3%
30,31,Baker Mayfield(CLE),15,33,45.5,155,4.7,0,0,3,2,11,0,0,1,9.3,9.3,26.4%
31,32,Justin Fields(CHI),11,17,64.7,209,12.3,0,1,1,3,9,0,0,1,8.3,8.3,21.0%
32,33,Mitchell Trubisky(BUF),1,1,100.0,8,8.0,0,0,0,4,10,1,0,1,7.3,7.3,0.4%
33,34,Teddy Bridgewater(DEN),7,16,43.8,65,4.1,1,0,2,1,2,0,0,1,6.8,6.8,15.6%
34,35,Drew Lock(DEN),12,21,57.1,113,5.4,0,1,3,0,0,0,0,1,3.5,3.5,1.5%
35,36,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,1,3,0,0,1,0.3,0.3,0.0%
36,37,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
37,38,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
38,39,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,40,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
40,41,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
41,42,Chad Henne(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
42,43,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
43,44,Brian Lewerke(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,45,Dwayne Haskins(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
45,46,Brian Brohm(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
46,47,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
47,48,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
48,49,John Wolford(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
49,50,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
50,51,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
51,52,Eric Dungey(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,53,Jake Browning(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,54,Brett Ratliff(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,55,Danny Etling(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,56,Alex McGough(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,57,Tim Boyle(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
57,58,Kurt Benkert(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
58,59,Kyle Allen(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
59,60,Gardner Minshew II(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2%
60,61,Jarrett Stidham(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
61,62,Tyler Huntley(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7%
62,63,Shane Buechele(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
63,64,Kellen Mond(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
64,65,Bryce Perkins(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
65,66,Jordan Love(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%
66,67,Steven Montez(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
67,68,Jake Luton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
68,69,James Morgan(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
69,70,Jake Fromm(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
70,71,David Blough(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
71,72,Jacob Eason(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
72,73,Tua Tagovailoa(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2%
73,74,Ryan Willis(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
74,75,Blaine Gabbert(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
75,76,Cam Newton(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3%
76,77,Andy Dalton(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6%
77,78,Tyrod Taylor(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9%
78,79,Ben Chappell(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
79,80,John David Booty(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
80,81,Erik Ainge(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
81,82,Hunter Cantwell(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
82,83,Case Keenum(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
83,84,Adam Froman(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
84,85,Nick Foles(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
85,86,Mike White(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
86,87,Joe Flacco(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
87,88,Josh Johnson(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%
88,89,Keith Null(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
89,90,Chase Daniel(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
90,91,Ryan Fitzpatrick(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1%
91,92,Nate Sudfeld(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
92,93,Kevin Hogan(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
93,94,Jeff Driskel(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
94,95,Brandon Allen(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
95,96,Deshaun Watson(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0%
96,97,Mason Rudolph(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
97,98,Josh Rosen(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
98,99,Logan Woodside(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
99,100,Brian Hoyer(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
100,101,Joshua Dobbs(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
101,102,Davis Webb(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
102,103,C.J. Beathard(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
103,104,Cooper Rush(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
104,105,Nick Mullens(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
105,106,P.J. Walker(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
106,107,Brett Smith(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
107,108,David Fales(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
108,109,Garrett Gilbert(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
109,110,AJ McCarron(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
110,111,Mike Glennon(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
111,112,Blake Bortles(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
112,113,Geno Smith(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
113,114,Sean Mannion(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
114,115,Trevor Siemian(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%
115,116,Marcus Mariota(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
116,117,Colt McCoy(ARI),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.4%
117,118,Davis Mills(HOU),11,21,52.4,87,4.1,0,4,3,1,2,0,0,1,-0.3,-0.3,3.7%
