rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,Austin Ekeler,12.0,58.0,4.8,19.0,0.0,1.0,6.0,7.0,96.0,16.0,2.0,0.0,1.0,33.4,33.4,99.9,RB,1,2019,LAC
2.0,Christian McCaffrey,19.0,128.0,6.7,23.0,1.0,2.0,10.0,11.0,81.0,8.1,0.0,0.0,1.0,32.9,32.9,47.2,RB,1,2019,CAR
3.0,Derrick Henry,19.0,84.0,4.4,18.0,0.0,1.0,1.0,2.0,75.0,75.0,1.0,0.0,1.0,27.9,27.9,78.0,RB,1,2019,TEN
4.0,Marlon Mack,25.0,174.0,7.0,63.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.4,25.4,1.6,RB,1,2019,IND
5.0,Dalvin Cook,21.0,111.0,5.3,22.0,2.0,2.0,2.0,2.0,9.0,4.5,0.0,0.0,1.0,24.0,24.0,100.0,RB,1,2019,MIN
6.0,Josh Jacobs,23.0,85.0,3.7,13.0,0.0,2.0,1.0,1.0,28.0,28.0,0.0,0.0,1.0,23.3,23.3,98.0,RB,1,2019,LV
8.0,David Johnson,18.0,82.0,4.6,18.0,0.0,0.0,6.0,7.0,55.0,9.2,1.0,0.0,1.0,19.7,19.7,35.4,RB,1,2019,ARI
9.0,Chris Carson,15.0,46.0,3.1,21.0,1.0,1.0,6.0,7.0,34.0,5.7,1.0,1.0,1.0,18.0,18.0,31.7,RB,1,2019,SEA
10.0,Malcolm Brown,11.0,53.0,4.8,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.3,17.3,3.6,RB,1,2019,LAR
11.0,Le'Veon Bell,17.0,60.0,3.5,12.0,0.0,0.0,6.0,9.0,32.0,5.3,1.0,0.0,1.0,17.2,17.2,5.4,RB,1,2019,NYJ
12.0,Alvin Kamara,13.0,97.0,7.5,28.0,2.0,0.0,7.0,8.0,72.0,10.3,0.0,0.0,1.0,16.9,16.9,100.0,RB,1,2019,NO
13.0,Saquon Barkley,11.0,120.0,10.9,59.0,1.0,0.0,4.0,6.0,19.0,4.8,0.0,0.0,1.0,13.9,13.9,97.6,RB,1,2019,NYG
14.0,Damien Williams,13.0,26.0,2.0,6.0,0.0,1.0,6.0,6.0,39.0,6.5,0.0,0.0,1.0,12.5,12.5,4.4,RB,1,2019,KC
